dataset,model,cap,seed,method,K,N,ntrue,epochs,last_epoch,ce_skip_cfg,ce_off_ep,n_ce_off,ce_min,first_sat,n_sat,sat_flips,exc0,exc_min,exc_final,exc_trend_all,exc_trend_ce_on,exc_trend_ce_off,raw_count,u_recursion_maxerr,lam0,lam_max,lam_final,lam_peak_ep,lam_decaying_eps,u_max,Uloc_max,soft0,soft_min,soft_final,soft_min_over_K,soft_final_over_K,n_ep_soft_below_K,soft_trend_ce_on,soft_trend_ce_off,soft_at_sat,soft_drop_after_sat,cstr_loss_max
tissuemnist,MobileNetV3,L50_G50,2,hounie_rcl,86,2400,171,29,29,UNSET->default True,,0,0.020386,11.0,1,1,388.0,0.0,84.0,0.03671307383928,0.03671307383928,,81,8.300000000000039e-07,0.000838,0.012892,0.012892,29,0,0.000559,0.0007820684113298529,287.12,104.89519999999996,132.16880000000032,1.2197116279069762,1.5368465116279106,0,-0.1295566502463054,,104.89519999999996,-27.273600000000357,0.003322
tissuemnist,MobileNetV3,L50_G50,3,hounie_rcl,86,2400,171,29,29,UNSET->default True,,0,0.017676,1.0,3,3,0.0,0.0,198.0,0.5986445991530135,0.5986445991530135,,84,8.299999999999768e-07,0.000294,0.007649,0.007649,29,1,0.000322,0.0004627645189510535,156.56,84.07520000000002,191.61680000000018,0.977618604651163,2.2281023255813976,1,0.3600985221674876,,156.56,-35.05680000000018,0.001712
tissuemnist,MobileNetV3,L50_G50,4,hounie_rcl,86,2400,171,29,29,UNSET->default True,,0,0.016433,1.0,4,1,0.0,0.0,266.0,0.47484018458798344,0.47484018458798344,,69,7.800000000000027e-07,0.000373,0.008659,0.008659,29,0,0.000362,0.000530070749994753,175.51999999999998,89.96960000000003,225.30799999999985,1.046158139534884,2.619860465116277,0,0.012315270935960588,,175.51999999999998,-49.78799999999987,0.00232
dermmnist,RegNetY400MF,L30_G30,1,hounie_rcl,67,2003,223,26,26,UNSET->default True,13.0,14,0.014483,22.0,5,0,248.0,0.0,0.0,-0.777496896779289,0.3636363636363637,-0.9777750027710651,11,8.599999999999884e-07,0.000853,0.011143,0.010275,21,5,0.000523,0.001013149051225929,237.8559,17.571968999999903,17.571968999999903,0.2622681940298493,0.2622681940298493,5,-0.2937062937062937,-1.0,54.58540600000013,37.01343700000022,0.00385
dermmnist,RegNetY400MF,L30_G30,2,hounie_rcl,67,2003,223,26,26,UNSET->default True,14.0,13,0.017882,22.0,5,0,128.0,0.0,0.0,-0.6537452206594475,0.5006882315714638,-0.9721393650372074,21,7.400000000000505e-07,0.0007,0.010589,0.009928,21,5,0.000498,0.0009267788301423377,207.20999999999998,25.934493999999972,25.934493999999972,0.3870819999999996,0.3870819999999996,5,-0.24725274725274726,-1.0,59.93541899999998,34.00092500000001,0.003503
dermmnist,RegNetY400MF,L30_G30,3,hounie_rcl,67,2003,223,28,28,UNSET->default True,17.0,12,0.013523,24.0,5,0,368.0,0.0,0.0,-0.7480132919101232,-0.1103753058197363,-0.9644013324700096,10,7.499999999999911e-07,0.001005,0.01242,0.01157,23,5,0.000586,0.0011281914731108367,268.30150000000003,16.696657999999942,16.696657999999942,0.2492038507462678,0.2492038507462678,5,-0.2529411764705882,-1.0,56.70458000000005,40.00792200000011,0.004545
dermmnist,RegNetY400MF,L30_G30,4,hounie_rcl,67,2003,223,26,26,UNSET->default True,14.0,13,0.014966,22.0,5,0,230.0,0.0,0.0,-0.6385356244069976,0.20329670329670327,-0.9721393650372074,15,7.899999999999704e-07,0.000856,0.011169,0.010591,22,4,0.000524,0.0010671827397404814,238.4568,23.981569000000057,23.981569000000057,0.35793386567164265,0.35793386567164265,4,-0.14835164835164835,-1.0,71.37855799999993,47.39698899999987,0.004238
octmnist,RegNetY400MF,L30_G30,1,hounie_rcl,75,1000,250,29,29,UNSET->default True,23.0,7,0.014943,28.0,2,0,187.0,0.0,0.0,-0.30391923517511304,0.30364746200493137,-0.9910312089651149,13,7.900000000000788e-07,0.001003,0.025086,0.024339,27,2,0.001161,0.00198798365184425,175.3,27.648000000000074,27.648000000000074,0.36864000000000097,0.36864000000000097,2,0.04912478825522304,-1.0,49.92399999999982,22.275999999999748,0.016043
octmnist,RegNetY400MF,L30_G30,2,hounie_rcl,75,1000,250,29,29,UNSET->default True,29.0,1,0.011551,,0,0,239.0,73.0,135.0,-0.3506784416785954,-0.3474927899069576,,112,7.600000000000402e-07,0.001205,0.023088,0.023088,29,0,0.001013,0.001724479921599553,195.5,113.52400000000011,146.4770000000001,1.5136533333333348,1.9530266666666678,0,-0.41543513957307066,,,,0.013412
octmnist,RegNetY400MF,L30_G30,3,hounie_rcl,75,1000,250,29,29,UNSET->default True,26.0,4,0.012571,,0,0,183.0,73.0,73.0,-0.16927437401064,0.02770296472856608,-1.0,88,8.79999999999978e-07,0.00112,0.028607,0.028607,29,0,0.001265,0.002167896445866361,187.0,115.92400000000015,115.92400000000015,1.5456533333333353,1.5456533333333353,0,-0.014615384615384615,-1.0,,,0.019038
