campaign,dataset,model,cap,seed,K,N,n_rows,last_ep,gate_ep,n_off,n_on,n_nan_soft,n_nan_soft_off,lam_min,lam_final,first_sat,n_sat,exc_final,soft_final,step_on,drift_on,ratio_on,npts_on,netcounts_on,step_off,drift_off,ratio_off,npts_off,netcounts_off,peak_ep_soft,last_rise_ep_soft,peak_ep_exc,last_rise_ep_exc,excratio_on,excstep_on,excdrift_on,excratio_off,excstep_off,excdrift_off,ratio_late10,npts_late10,ratio_early10,ratio_late12,npts_late12,ratio_early12,ratio_late15,npts_late15,ratio_early15,ratio_on_tail,npts_on_tail
lrc1e-4,tissuemnist,MobileNetV3,L50_G50,1,86,2400,29,28,,0,29,0,0,0.000459,0.012732,0.0,1,226.0,194.08880000000022,82.20419999999994,-0.07397142857142061,0.000899849746988848,29,-2.071199999999777,,,,,,13,27,13,27,0.045308740978348035,178.14285714285714,8.071428571428571,,,,0.04353101696954511,19,0.008547249846488265,0.00974760414150849,17,0.19934031425440824,0.045722001371447635,14,0.01732130749459936,,
lrc1e-4,tissuemnist,MobileNetV3,L50_G50,2,86,2400,29,28,,0,29,0,0,0.001014,0.012818,,0,72.0,125.52559999999986,58.902257142857124,-7.279800000000006,0.12359118908370734,29,-203.83440000000016,,,,,,0,26,6,26,0.06962025316455697,135.42857142857142,-9.428571428571429,,,,0.03320121275233499,19,0.22735782695741558,0.09477286909166575,17,0.06300786408575536,0.0418442981139382,14,0.1579920831562602,,
lrc1e-4,tissuemnist,MobileNetV3,L50_G50,3,86,2400,29,28,,0,29,0,0,0.000345,0.008757,0.0,6,108.0,138.0031999999999,58.09748571428572,-1.099885714285718,0.018931726575824342,29,-30.7968000000001,,,,,,9,27,9,27,0.037815126050420166,102.0,3.857142857142857,,,,0.09457585121683794,19,0.47365739325384687,0.10653485684940256,17,0.0851218885709676,0.2092905984629971,14,0.0719000247275217,,
lrc1e-4,tissuemnist,MobileNetV3,L50_G50,4,86,2400,29,28,,0,29,0,0,0.000307,0.009998,0.0,4,146.0,163.56319999999997,40.040399999999984,0.13868571428571283,0.00346364457612094,29,3.883199999999959,,,,,,11,28,11,28,0.06108786610878661,85.35714285714286,5.214285714285714,,,,0.02023722346175794,19,0.09882543539894699,0.04344178046273578,17,0.5067811297180747,0.14061722046736377,14,0.1087337441741267,,
lrc1e-4,dermmnist,RegNetY400MF,L30_G30,1,67,2003,29,28,21.0,8,21,0,0,0.000975,0.015408,26.0,3,0.0,27.21641400000008,36.136123000000076,-3.4199222000000007,0.09463998669696784,21,-68.39844400000001,22.103105000000017,-22.103105000000017,1.0,8.0,-154.7217350000001,12,20,12,20,0.04827586206896552,72.5,-3.5,1.0,32.0,-32.0,0.32935274404428766,19,0.2844119907763257,0.4618956926569321,17,0.17363743386072208,0.5829151358969666,14,0.13236061455213072,0.1565324534636594,8.0
lrc1e-4,dermmnist,RegNetY400MF,L30_G30,2,67,2003,25,24,15.0,10,15,0,0,0.000789,0.008991,20.0,5,0.0,11.052204000000096,26.100520714285683,-6.519478857142851,0.24978347859452948,15,-91.27270399999992,12.394563999999987,-12.394563999999987,1.0,10.0,-111.55107599999988,1,12,6,12,0.11405835543766579,53.857142857142854,-6.142857142857143,1.0,12.444444444444445,-12.444444444444445,0.7351738598637075,15,0.12204808753975746,1.0,13,0.16179012251265684,1.0,10,0.24978347859452948,0.388237156374765,10.0
lrc1e-4,dermmnist,RegNetY400MF,L30_G30,3,67,2003,21,20,13.0,8,13,0,0,0.001239,0.008109,16.0,5,0.0,17.14332700000005,45.51667274999999,-14.807678249999993,0.3253242681276609,13,-177.6921389999999,14.194402571428546,-14.194402571428546,1.0,8.0,-99.36081799999982,0,9,0,9,0.30103806228373703,96.33333333333333,-29.0,1.0,12.0,-12.0,1.0,11,0.18299539047720542,1.0,9,0.309187033692424,1.0,6,0.375579524704892,0.2546364262815707,8.0
lrc1e-4,dermmnist,RegNetY400MF,L30_G30,4,67,2003,26,25,15.0,11,15,0,0,0.000785,0.01032,21.0,5,0.0,12.564468999999754,33.75612978571437,-1.000498499999988,0.029639016864528113,15,-14.00697899999983,18.530754500000015,-18.530754500000015,1.0,11.0,-185.30754500000015,11,14,11,14,0.06912442396313363,62.0,4.285714285714286,1.0,25.4,-25.4,0.550442901604021,16,0.20498075376116034,0.7422646693268775,14,0.03264680923738722,1.0,11,0.029639016864528113,0.16114212977695483,11.0
lrc1e-4,octmnist,RegNetY400MF,L30_G30,1,75,1000,29,28,,0,29,0,0,0.000759,0.026427,,0,163.0,165.587,28.99746428571428,0.5245357142857147,0.018089020099048086,29,14.68700000000001,,,,,,21,27,21,27,0.01646542261251372,65.07142857142857,1.0714285714285714,,,,0.011175960661814107,19,0.04186776678471045,0.06993424018403838,17,0.05348451132068804,0.02993658092144577,14,0.013185464476645136,,
lrc1e-4,octmnist,RegNetY400MF,L30_G30,2,75,1000,29,28,28.0,1,28,0,0,0.00121,0.028363,,0,237.0,190.659,42.97292592592595,0.7632962962962956,0.01776226030342961,28,20.60899999999998,,,,,,15,27,19,27,0.030878859857482184,93.55555555555556,2.888888888888889,,,,0.060903297312274896,19,0.021632946988038304,0.06165947938225058,17,0.004519856651795611,0.047268013150462175,14,0.05909992062327676,,
