dataset,model,cap,method,seed,dir,K,last_epoch,n_rows,n_sat_logged,first_sat_ep,exc_first,exc_last,exc_min,ce_first,ce_last,lam_first,lam_last,raw_count,raw_excess,flips,n_globsat_logged,count_first,count_last,count_min,count_max,ratio_first,ratio_last,ratio_min,ratio_max,cross,soft_last,softhard_gap_last,acc_first,acc_last,acc_max,Lg_first,Lg_last,sat_epoch_ev,best_sat_ep_ev,min_exc_ep_ev,min_exc_ev,restored_ep,restore_kind
dermmnist,MobileNetV3,L50_G50,fioretto_ldf,1,results/headroom/headroom_b30_lrc0.0001/lane1/MobileNetV3/dermmnist/L50_G50/fioretto_ldf/seed_1,,23.0,24,6,13.0,69.0,0.0,0.0,0.481815,,0.368101,6.152846,78,0.0,33.0,,,,,,,,,,,,,,,,,,,,,,,
dermmnist,MobileNetV3,L50_G50,fioretto_ldf,2,results/headroom/headroom_b30_lrc0.0001/lane1/MobileNetV3/dermmnist/L50_G50/fioretto_ldf/seed_2,,28.0,29,0,,57.0,1.0,1.0,0.465939,,0.410326,4.535734,110,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,
tissuemnist,MobileNetV3,L50_G50,hounie_rcl,4,results/headroom/headroom_b30_lrc0.0001/lane1/MobileNetV3/tissuemnist/L50_G50/hounie_rcl/seed_4,,28.0,29,4,0.0,0.0,146.0,0.0,1.088043,0.016209,0.000307,0.009998,85,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
tissuemnist,MobileNetV3,L50_G50,hounie_rcl,3,results/headroom/headroom_b30_lrc0.0001/lane1/MobileNetV3/tissuemnist/L50_G50/hounie_rcl/seed_3,,28.0,29,6,0.0,0.0,108.0,0.0,1.07426,0.019911,0.000345,0.008757,54,0.0,32.0,,,,,,,,,,,,,,,,,,,,,,,
tissuemnist,MobileNetV3,L50_G50,hounie_rcl,1,results/headroom/headroom_b30_lrc0.0001/lane1/MobileNetV3/tissuemnist/L50_G50/hounie_rcl/seed_1,,28.0,29,1,0.0,0.0,226.0,0.0,1.102201,0.026585,0.000459,0.012732,35,0.0,51.0,,,,,,,,,,,,,,,,,,,,,,,
tissuemnist,MobileNetV3,L50_G50,hounie_rcl,2,results/headroom/headroom_b30_lrc0.0001/lane1/MobileNetV3/tissuemnist/L50_G50/hounie_rcl/seed_2,,28.0,29,0,,336.0,72.0,2.0,1.096688,0.022031,0.001014,0.012818,81,2.0,9.0,,,,,,,,,,,,,,,,,,,,,,,
tissuemnist,MobileNetV3,L50_G50,tralo,4,results/headroom/headroom_b30_lrc0.0001/lane1/MobileNetV3/tissuemnist/L50_G50/tralo/seed_4,86.0,30.0,9,5,2.0,,,,1.088043,0.018242,0.05,0.05,68,0.0,18.0,5.0,25.0,103.0,25.0,123.0,0.29069767441860467,1.197674418604651,0.29069767441860467,1.430232558139535,3.0,111.44,8.439999999999998,0.5954,0.9942,0.9942,0.12907,0.031522,2.0,15.0,2.0,0.0,15.0,fully_satisfied
tissuemnist,MobileNetV3,L50_G50,tralo,3,results/headroom/headroom_b30_lrc0.0001/lane1/MobileNetV3/tissuemnist/L50_G50/tralo/seed_3,86.0,5.0,4,4,2.0,,,,1.07426,0.577662,0.05,0.05,63,0.0,23.0,4.0,76.0,50.0,50.0,76.0,0.8837209302325582,0.5813953488372093,0.5813953488372093,0.8837209302325582,0.0,98.0,48.0,0.5982,0.7893,0.7893,0.144824,0.0109,2.0,6.0,2.0,0.0,,
tissuemnist,MobileNetV3,L50_G50,tralo,1,results/headroom/headroom_b30_lrc0.0001/lane1/MobileNetV3/tissuemnist/L50_G50/tralo/seed_1,86.0,30.0,7,2,2.0,,,,1.102201,0.01362,0.05,0.05,46,0.0,40.0,2.0,35.0,102.0,35.0,257.0,0.4069767441860465,1.186046511627907,0.4069767441860465,2.988372093023256,1.0,106.41,4.409999999999997,0.5869,0.9958,0.9958,0.183388,0.022926,2.0,5.0,2.0,0.0,5.0,fully_satisfied
tissuemnist,MobileNetV3,L50_G50,tralo,2,results/headroom/headroom_b30_lrc0.0001/lane1/MobileNetV3/tissuemnist/L50_G50/tralo/seed_2,86.0,30.0,8,2,5.0,,,,1.096688,0.020682,0.05,0.06,58,0.0,28.0,2.0,254.0,95.0,58.0,300.0,2.953488372093023,1.1046511627906976,0.6744186046511628,3.488372093023256,4.0,97.96,2.9599999999999937,0.588,0.9926,0.9926,0.259197,0.022585,5.0,28.0,5.0,0.0,28.0,fully_satisfied
