dataset,model,cap,seed,method,arm,warmup,cepochs,lr,lr_c,ce_skip,n_pool,n_true,K,count_raw,count_raw_myargmax,argmax_mismatch,count_adj,sat,ccF1eq,ccF1raw,AP,macroEq,path
dermmnist,MobileNetV3,L50_G50,4,hounie_rcl,hounie_rcl,1,29,0.0001,0.0001,,2003,223,112,52,52,0,111,0,0.4491017964071856,0.2836363636363636,0.5235007484841816,0.6120485289437388,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/dermmnist/L50_G50/hounie_rcl/seed_4
dermmnist,MobileNetV3,L50_G50,1,tralo,tralo,1,29,0.0001,0.0001,False,2003,223,112,80,80,0,111,0,0.5568862275449101,0.4620462046204621,0.6335067813669426,0.7356062435619075,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/dermmnist/L50_G50/tralo/seed_1
dermmnist,MobileNetV3,L50_G50,2,tralo,tralo,1,29,0.0001,0.0001,False,2003,223,112,95,95,0,111,0,0.5449101796407186,0.5157232704402516,0.6591550666068976,0.7296964057088104,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/dermmnist/L50_G50/tralo/seed_2
dermmnist,MobileNetV3,L50_G50,3,tralo,tralo,1,29,0.0001,0.0001,False,2003,223,112,99,99,0,111,0,0.5508982035928144,0.5341614906832298,0.6558408342846574,0.7224192154795624,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/dermmnist/L50_G50/tralo/seed_3
dermmnist,MobileNetV3,L50_G50,4,tralo,tralo,1,29,0.0001,0.0001,False,2003,223,112,66,66,0,111,0,0.5389221556886228,0.4083044982698962,0.6431543255398515,0.7340865626018778,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/dermmnist/L50_G50/tralo/seed_4
octmnist,MobileNetV3,L50_G50,1,fioretto_ldf,fioretto_ldf,1,29,0.0001,0.0001,,1000,250,125,108,108,0,125,0,0.5333333333333333,0.4972067039106145,0.721411014964216,0.7363432394430336,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/octmnist/L50_G50/fioretto_ldf/seed_1
octmnist,MobileNetV3,L50_G50,2,fioretto_ldf,fioretto_ldf,1,29,0.0001,0.0001,,1000,250,125,111,111,0,125,0,0.6186666666666667,0.5761772853185595,0.8295479341539341,0.7847110125646711,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/octmnist/L50_G50/fioretto_ldf/seed_2
octmnist,MobileNetV3,L50_G50,3,fioretto_ldf,fioretto_ldf,1,29,0.0001,0.0001,,1000,250,125,111,111,0,125,0,0.5653333333333332,0.5318559556786705,0.7650068046329774,0.7401553927277432,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/octmnist/L50_G50/fioretto_ldf/seed_3
octmnist,MobileNetV3,L50_G50,4,fioretto_ldf,fioretto_ldf,1,29,0.0001,0.0001,,1000,250,125,117,117,0,125,0,0.592,0.5776566757493188,0.8121363297280482,0.7789671003792058,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/octmnist/L50_G50/fioretto_ldf/seed_4
octmnist,MobileNetV3,L50_G50,1,hounie_rcl,hounie_rcl,1,29,0.0001,0.0001,,1000,250,125,96,96,0,125,0,0.5973333333333334,0.5144508670520231,0.7869155370059899,0.7278064789015896,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/octmnist/L50_G50/hounie_rcl/seed_1
octmnist,MobileNetV3,L50_G50,2,hounie_rcl,hounie_rcl,1,29,0.0001,0.0001,,1000,250,125,113,113,0,125,0,0.6133333333333333,0.5895316804407713,0.8263854706142544,0.7766215903763518,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/octmnist/L50_G50/hounie_rcl/seed_2
octmnist,MobileNetV3,L50_G50,3,hounie_rcl,hounie_rcl,1,29,0.0001,0.0001,,1000,250,125,86,86,0,125,0,0.5706666666666667,0.44642857142857134,0.7533586541176303,0.73790534964568,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/octmnist/L50_G50/hounie_rcl/seed_3
octmnist,MobileNetV3,L50_G50,4,hounie_rcl,hounie_rcl,1,29,0.0001,0.0001,,1000,250,125,64,64,0,125,0,0.6186666666666667,0.3949044585987261,0.8223523450487529,0.7865658664129185,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/octmnist/L50_G50/hounie_rcl/seed_4
octmnist,MobileNetV3,L50_G50,1,tralo,tralo,1,29,0.0001,0.0001,False,1000,250,125,103,103,0,125,0,0.576,0.5155807365439093,0.7708907319881605,0.7270758304154319,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/octmnist/L50_G50/tralo/seed_1
