dataset,model,cap,seed,ep,hard,soft,K,gsat,lsat,lam,ce,acc,Lg,Ll
tissuemnist,RegNetY400MF,L30_G30,3,10.0,151.0,165.95,51.0,0.0,0.0,0.07,0.110742,0.9695,1.766631,3.530806
tissuemnist,RegNetY400MF,L30_G30,3,15.0,193.0,207.0,51.0,0.0,0.0,0.08,0.053955,0.9844,3.324603,6.649153
tissuemnist,RegNetY400MF,L30_G30,3,20.0,140.0,143.94,51.0,0.0,0.0,0.09,0.065644,0.9784,4.283393,8.559095
tissuemnist,RegNetY400MF,L30_G30,3,25.0,143.0,151.46,51.0,0.0,0.0,0.1,0.040621,0.9866,6.196142,12.375706
tissuemnist,RegNetY400MF,L30_G30,3,30.0,176.0,177.96,51.0,0.0,0.0,0.11,0.034039,0.9889,8.903877,17.798935
tissuemnist,RegNetY400MF,L30_G30,1,2.0,145.0,173.72,51.0,0.0,0.0,0.05,1.12025,0.5881,0.248504,0.496818
tissuemnist,RegNetY400MF,L30_G30,1,5.0,309.0,266.28,51.0,0.0,0.0,0.06,0.525738,0.8195,0.831495,1.662954
tissuemnist,RegNetY400MF,L30_G30,1,10.0,162.0,177.78,51.0,0.0,0.0,0.07,0.097438,0.9702,1.819848,3.63708
tissuemnist,RegNetY400MF,L30_G30,1,15.0,198.0,196.58,51.0,0.0,0.0,0.08,0.061849,0.9799,3.27752,6.554484
tissuemnist,RegNetY400MF,L30_G30,1,20.0,285.0,289.51,51.0,0.0,0.0,0.09,0.049936,0.9845,5.331365,10.662345
tissuemnist,RegNetY400MF,L30_G30,1,25.0,131.0,135.18,51.0,0.0,0.0,0.1,0.034191,0.9894,5.701948,11.343172
tissuemnist,RegNetY400MF,L30_G30,1,30.0,128.0,136.22,51.0,0.0,0.0,0.11,0.038481,0.9878,7.615475,15.227449
tissuemnist,RegNetY400MF,L30_G30,2,2.0,209.0,199.18,51.0,0.0,0.0,0.05,1.173995,0.5672,0.260721,0.521435
tissuemnist,RegNetY400MF,L30_G30,2,5.0,123.0,141.9,51.0,0.0,0.0,0.06,0.553731,0.8075,0.667429,1.31403
tissuemnist,RegNetY400MF,L30_G30,2,10.0,142.0,147.1,51.0,0.0,0.0,0.07,0.100068,0.9707,1.650132,3.275379
tissuemnist,RegNetY400MF,L30_G30,2,15.0,235.0,242.64,51.0,0.0,0.0,0.08,0.039281,0.989,3.437392,6.861393
tissuemnist,RegNetY400MF,L30_G30,2,20.0,235.0,232.01,51.0,0.0,0.0,0.09,0.052832,0.984,5.163556,10.305674
tissuemnist,RegNetY400MF,L30_G30,2,25.0,165.0,166.06,51.0,0.0,0.0,0.1,0.040031,0.9877,6.513082,13.023979
tissuemnist,RegNetY400MF,L30_G30,2,30.0,316.0,310.51,51.0,0.0,0.0,0.11,0.040804,0.9861,9.960103,19.91048
octmnist,RegNetY400MF,L30_G30,4,2.0,188.0,198.73,75.0,0.0,0.0,0.05,0.455922,0.823,0.213954,0.63281
octmnist,RegNetY400MF,L30_G30,4,5.0,180.0,187.29,75.0,0.0,0.0,0.06,0.131918,0.9543,0.607777,1.794052
octmnist,RegNetY400MF,L30_G30,4,10.0,93.0,99.32,75.0,0.0,0.0,0.07,0.041645,0.986,0.21213,0.610052
