dataset,model,cap,method,seed,K,pool,n_true,count_raw,fill,final_excess_recomputed,final_feasible,count_adj,log_rows,log_epoch_max,log_exc_last,log_exc_min,ever_feasible_intrain,first_feas_ep,n_feas_ep
octmnist,RegNetY400MF,L30_G30,fioretto_ldf,1,75,1000,250,125,1.6666666666666667,99,0,75,29,28.0,255.0,99.0,0.0,,0.0
octmnist,RegNetY400MF,L30_G30,fioretto_ldf,2,75,1000,250,57,0.76,0,1,57,29,28.0,0.0,0.0,1.0,28.0,1.0
octmnist,RegNetY400MF,L30_G30,fioretto_ldf,3,75,1000,250,106,1.4133333333333333,61,0,75,29,28.0,235.0,61.0,0.0,,0.0
octmnist,RegNetY400MF,L30_G30,fioretto_ldf,4,75,1000,250,127,1.6933333333333334,103,0,75,29,28.0,187.0,103.0,0.0,,0.0
octmnist,RegNetY400MF,L30_G30,hounie_rcl,1,75,1000,250,107,1.4266666666666667,63,0,75,29,28.0,163.0,63.0,0.0,,0.0
octmnist,RegNetY400MF,L30_G30,hounie_rcl,2,75,1000,250,108,1.44,65,0,75,29,28.0,237.0,65.0,0.0,,0.0
octmnist,RegNetY400MF,L30_G30,hounie_rcl,3,75,1000,250,69,0.92,3,0,66,29,28.0,63.0,63.0,0.0,,0.0
octmnist,RegNetY400MF,L30_G30,hounie_rcl,4,75,1000,250,94,1.2533333333333334,37,0,75,29,28.0,73.0,67.0,0.0,,0.0
octmnist,RegNetY400MF,L30_G30,tralo,1,75,1000,250,121,1.6133333333333333,91,0,75,7,30.0,,,,,
octmnist,RegNetY400MF,L30_G30,tralo,2,75,1000,250,124,1.6533333333333333,97,0,75,7,30.0,,,,,
octmnist,RegNetY400MF,L30_G30,tralo,3,75,1000,250,126,1.68,101,0,75,7,30.0,,,,,
octmnist,RegNetY400MF,L30_G30,tralo,4,75,1000,250,89,1.1866666666666668,27,0,75,7,30.0,,,,,
tissuemnist,RegNetY400MF,L30_G30,fioretto_ldf,1,51,2400,171,74,1.4509803921568627,46,0,51,29,28.0,262.0,46.0,0.0,,0.0
tissuemnist,RegNetY400MF,L30_G30,fioretto_ldf,2,51,2400,171,101,1.9803921568627452,100,0,51,29,28.0,238.0,100.0,0.0,,0.0
tissuemnist,RegNetY400MF,L30_G30,fioretto_ldf,3,51,2400,171,78,1.5294117647058822,54,0,51,29,28.0,206.0,54.0,0.0,,0.0
tissuemnist,RegNetY400MF,L30_G30,fioretto_ldf,4,51,2400,171,107,2.0980392156862746,112,0,51,29,28.0,442.0,112.0,0.0,,0.0
tissuemnist,RegNetY400MF,L30_G30,hounie_rcl,1,51,2400,171,103,2.019607843137255,104,0,51,29,28.0,140.0,104.0,0.0,,0.0
tissuemnist,RegNetY400MF,L30_G30,hounie_rcl,2,51,2400,171,101,1.9803921568627452,100,0,51,29,28.0,226.0,100.0,0.0,,0.0
tissuemnist,RegNetY400MF,L30_G30,hounie_rcl,3,51,2400,171,86,1.6862745098039216,70,0,51,29,28.0,210.0,70.0,0.0,,0.0
tissuemnist,RegNetY400MF,L30_G30,hounie_rcl,4,51,2400,171,105,2.0588235294117645,108,0,51,29,28.0,182.0,108.0,0.0,,0.0
tissuemnist,RegNetY400MF,L30_G30,tralo,1,51,2400,171,105,2.0588235294117645,108,0,51,7,30.0,,,,,
tissuemnist,RegNetY400MF,L30_G30,tralo,2,51,2400,171,123,2.411764705882353,144,0,51,7,30.0,,,,,
tissuemnist,RegNetY400MF,L30_G30,tralo,3,51,2400,171,111,2.176470588235294,120,0,51,7,30.0,,,,,
tissuemnist,RegNetY400MF,L30_G30,tralo,4,51,2400,171,136,2.6666666666666665,170,0,51,7,30.0,,,,,
dermmnist,RegNetY400MF,L50_G50,fioretto_ldf,1,112,2003,223,91,0.8125,0,1,111,20,19.0,0.0,0.0,1.0,15.0,5.0
dermmnist,RegNetY400MF,L50_G50,fioretto_ldf,2,112,2003,223,69,0.6160714285714286,0,1,111,22,21.0,0.0,0.0,1.0,17.0,5.0
dermmnist,RegNetY400MF,L50_G50,fioretto_ldf,3,112,2003,223,48,0.42857142857142855,0,1,111,21,20.0,0.0,0.0,1.0,16.0,5.0
dermmnist,RegNetY400MF,L50_G50,fioretto_ldf,4,112,2003,223,99,0.8839285714285714,0,1,111,19,18.0,0.0,0.0,1.0,14.0,5.0
dermmnist,RegNetY400MF,L50_G50,hounie_rcl,1,112,2003,223,42,0.375,0,1,111,24,23.0,0.0,0.0,1.0,19.0,5.0
dermmnist,RegNetY400MF,L50_G50,hounie_rcl,2,112,2003,223,34,0.30357142857142855,0,1,111,29,28.0,0.0,0.0,1.0,24.0,5.0
dermmnist,RegNetY400MF,L50_G50,hounie_rcl,3,112,2003,223,28,0.25,0,1,111,26,25.0,0.0,0.0,1.0,21.0,5.0
dermmnist,RegNetY400MF,L50_G50,hounie_rcl,4,112,2003,223,16,0.14285714285714285,0,1,111,26,25.0,0.0,0.0,1.0,21.0,5.0
dermmnist,RegNetY400MF,L50_G50,tralo,1,112,2003,223,114,1.0178571428571428,7,0,111,7,30.0,,,,,
dermmnist,RegNetY400MF,L50_G50,tralo,2,112,2003,223,132,1.1785714285714286,41,0,111,7,30.0,,,,,
dermmnist,RegNetY400MF,L50_G50,tralo,3,112,2003,223,116,1.0357142857142858,12,0,111,7,30.0,,,,,
dermmnist,RegNetY400MF,L50_G50,tralo,4,112,2003,223,112,1.0,4,0,111,7,30.0,,,,,
octmnist,RegNetY400MF,L50_G50,fioretto_ldf,1,125,1000,250,134,1.072,20,0,125,29,28.0,168.0,20.0,0.0,,0.0
octmnist,RegNetY400MF,L50_G50,fioretto_ldf,2,125,1000,250,81,0.648,0,1,125,29,28.0,66.0,0.0,1.0,25.0,1.0
octmnist,RegNetY400MF,L50_G50,fioretto_ldf,3,125,1000,250,116,0.928,0,1,125,29,28.0,154.0,0.0,1.0,2.0,4.0
octmnist,RegNetY400MF,L50_G50,fioretto_ldf,4,125,1000,250,110,0.88,0,1,125,29,28.0,56.0,0.0,1.0,14.0,2.0
octmnist,RegNetY400MF,L50_G50,hounie_rcl,1,125,1000,250,135,1.08,20,0,125,29,28.0,114.0,20.0,0.0,,0.0
octmnist,RegNetY400MF,L50_G50,hounie_rcl,2,125,1000,250,111,0.888,0,1,125,29,28.0,76.0,0.0,1.0,2.0,5.0
octmnist,RegNetY400MF,L50_G50,hounie_rcl,3,125,1000,250,115,0.92,0,1,125,29,28.0,158.0,0.0,1.0,2.0,2.0
octmnist,RegNetY400MF,L50_G50,hounie_rcl,4,125,1000,250,99,0.792,0,1,125,29,28.0,9.0,2.0,0.0,,0.0
octmnist,RegNetY400MF,L50_G50,tralo,1,125,1000,250,110,0.88,0,1,125,8,30.0,,,,,
octmnist,RegNetY400MF,L50_G50,tralo,2,125,1000,250,108,0.864,0,1,125,9,30.0,,,,,
octmnist,RegNetY400MF,L50_G50,tralo,3,125,1000,250,109,0.872,0,1,125,8,30.0,,,,,
octmnist,RegNetY400MF,L50_G50,tralo,4,125,1000,250,112,0.896,0,1,125,9,30.0,,,,,
tissuemnist,RegNetY400MF,L50_G50,fioretto_ldf,1,86,2400,171,74,0.8604651162790697,0,1,86,29,28.0,156.0,0.0,1.0,4.0,1.0
tissuemnist,RegNetY400MF,L50_G50,fioretto_ldf,2,86,2400,171,101,1.1744186046511629,30,0,86,29,28.0,290.0,30.0,0.0,,0.0
tissuemnist,RegNetY400MF,L50_G50,fioretto_ldf,3,86,2400,171,78,0.9069767441860465,0,1,86,29,28.0,398.0,0.0,1.0,2.0,1.0
tissuemnist,RegNetY400MF,L50_G50,fioretto_ldf,4,86,2400,171,107,1.244186046511628,42,0,86,29,28.0,158.0,42.0,0.0,,0.0
tissuemnist,RegNetY400MF,L50_G50,hounie_rcl,1,86,2400,171,81,0.9418604651162791,3,0,86,29,28.0,192.0,3.0,0.0,,0.0
tissuemnist,RegNetY400MF,L50_G50,hounie_rcl,2,86,2400,171,101,1.1744186046511629,30,0,86,29,28.0,286.0,30.0,0.0,,0.0
tissuemnist,RegNetY400MF,L50_G50,hounie_rcl,3,86,2400,171,93,1.0813953488372092,14,0,86,29,28.0,266.0,14.0,0.0,,0.0
tissuemnist,RegNetY400MF,L50_G50,hounie_rcl,4,86,2400,171,102,1.186046511627907,32,0,86,29,28.0,58.0,32.0,0.0,,0.0
tissuemnist,RegNetY400MF,L50_G50,tralo,1,86,2400,171,100,1.1627906976744187,28,0,86,7,30.0,,,,,
tissuemnist,RegNetY400MF,L50_G50,tralo,2,86,2400,171,114,1.3255813953488371,56,0,86,7,30.0,,,,,
tissuemnist,RegNetY400MF,L50_G50,tralo,3,86,2400,171,82,0.9534883720930233,3,0,86,7,30.0,,,,,
tissuemnist,RegNetY400MF,L50_G50,tralo,4,86,2400,171,91,1.058139534883721,11,0,86,7,30.0,,,,,
