campaign,dataset,cap,model,seed,method,sweep,arm,warmup,cepochs,lr,lr_c,ce_skip,K,count_raw,count_adj,sat,AP,ccF1adj,ccF1eq,macroAdj,macroEq,path
results/headroom/headroom_b30,tissuemnist,L50_G50,MobileNetV3,1,heuristic,,heuristic,30,0,0.0001,5e-06,,86,288,86,0,0.39853999493550796,0.35019455252918286,0.35019455252918286,0.42422868333714003,0.42422868333714003,results/headroom/headroom_b30/lane1/MobileNetV3/tissuemnist/L50_G50/heuristic/seed_1
results/headroom/headroom_b30,tissuemnist,L50_G50,MobileNetV3,2,heuristic,,heuristic,30,0,0.0001,5e-06,,86,262,86,0,0.38482688231431644,0.35019455252918286,0.35019455252918286,0.41322398914316827,0.41322398914316827,results/headroom/headroom_b30/lane1/MobileNetV3/tissuemnist/L50_G50/heuristic/seed_2
results/headroom/headroom_b30,octmnist,L50_G50,MobileNetV3,4,hounie_rcl,,hounie_rcl,1,29,0.0001,5e-06,,125,134,125,0,0.43086635518190897,0.288,0.288,0.5096038489770972,0.5012360138649224,results/headroom/headroom_b30/lane1/MobileNetV3/octmnist/L50_G50/hounie_rcl/seed_4
results/headroom/headroom_b30,octmnist,L50_G50,MobileNetV3,3,hounie_rcl,,hounie_rcl,1,29,0.0001,5e-06,,125,132,125,0,0.5911626348643209,0.39466666666666667,0.42133333333333334,0.5531897631439018,0.5595970111795816,results/headroom/headroom_b30/lane1/MobileNetV3/octmnist/L50_G50/hounie_rcl/seed_3
results/headroom/headroom_b30,octmnist,L50_G50,MobileNetV3,1,hounie_rcl,,hounie_rcl,1,29,0.0001,5e-06,,125,164,125,0,0.7678299227915589,0.576,0.576,0.7688154867013784,0.7688154867013784,results/headroom/headroom_b30/lane1/MobileNetV3/octmnist/L50_G50/hounie_rcl/seed_1
results/headroom/headroom_b30,octmnist,L50_G50,MobileNetV3,2,hounie_rcl,,hounie_rcl,1,29,0.0001,5e-06,,125,153,125,0,0.8095806268481923,0.6026666666666667,0.6026666666666667,0.7827585427522238,0.7827585427522238,results/headroom/headroom_b30/lane1/MobileNetV3/octmnist/L50_G50/hounie_rcl/seed_2
results/headroom/headroom_b30,octmnist,L50_G50,MobileNetV3,4,tralo,,tralo,1,29,0.0001,5e-06,True,125,144,125,0,0.43410640570626075,0.2986666666666667,0.288,0.4998817779802236,0.4892222244067912,results/headroom/headroom_b30/lane1/MobileNetV3/octmnist/L50_G50/tralo/seed_4
results/headroom/headroom_b30,octmnist,L50_G50,MobileNetV3,3,tralo,,tralo,1,29,0.0001,5e-06,True,125,128,125,0,0.5573885508163413,0.3626666666666667,0.39466666666666667,0.5282366737727643,0.5371969439876547,results/headroom/headroom_b30/lane1/MobileNetV3/octmnist/L50_G50/tralo/seed_3
results/headroom/headroom_b30,octmnist,L50_G50,MobileNetV3,1,tralo,,tralo,1,29,0.0001,5e-06,True,125,161,125,0,0.7718928148594085,0.5866666666666667,0.5866666666666667,0.7754229768850335,0.7754229768850335,results/headroom/headroom_b30/lane1/MobileNetV3/octmnist/L50_G50/tralo/seed_1
results/headroom/headroom_b30,octmnist,L50_G50,MobileNetV3,2,tralo,,tralo,1,29,0.0001,5e-06,True,125,151,125,0,0.8079092098115036,0.6026666666666667,0.6026666666666667,0.7808264801215512,0.7808264801215512,results/headroom/headroom_b30/lane1/MobileNetV3/octmnist/L50_G50/tralo/seed_2
