dataset,model,cap,seed,fioretto_ldf,hounie_rcl,tralo,clip,bestdual,tralo_m_clip,bestdual_m_clip,tralo_m_bestdual,fio_m_clip,hou_m_clip,metric
tissuemnist,MobileNetV3,L50_G50,2,0.3616882355063031,0.337777312890084,0.42791533550486804,0.38482688231431644,0.3616882355063031,0.0430884531905516,-0.023138646808013363,0.06622709999856496,-0.023138646808013363,-0.04704956942423244,AP
tissuemnist,MobileNetV3,L50_G50,3,0.34349446917416493,0.231607236675273,0.3976203801948647,0.411828463207173,0.34349446917416493,-0.014208083012308304,-0.06833399403300805,0.054125911020699746,-0.06833399403300805,-0.18022122653189998,AP
tissuemnist,MobileNetV3,L50_G50,4,0.3111756289946287,0.27084350661726264,0.3278875194271938,0.38274006452985887,0.3111756289946287,-0.05485254510266507,-0.07156443553523018,0.016711890432565102,-0.07156443553523018,-0.11189655791259623,AP
tissuemnist,RegNetY400MF,L30_G30,1,0.36602478743763034,0.3865354881989905,0.3517354705612637,0.3815545842815669,0.3865354881989905,-0.029819113720303214,0.0049809039174235625,-0.03480001763772678,-0.015529796843936572,0.0049809039174235625,AP
tissuemnist,RegNetY400MF,L30_G30,2,0.41595866292658606,0.41595866292658606,0.4170239495472287,0.3462893098101365,0.41595866292658606,0.07073463973709221,0.06966935311644956,0.001065286620642647,0.06966935311644956,0.06966935311644956,AP
tissuemnist,RegNetY400MF,L30_G30,3,0.4160321002580541,0.4429713849593309,0.4104309011286234,0.3973471766257748,0.4429713849593309,0.013083724502848615,0.04562420833355613,-0.03254048383070751,0.018684923632279304,0.04562420833355613,AP
tissuemnist,RegNetY400MF,L30_G30,4,0.38487164601217827,0.3562319557558725,0.36359285552718557,0.4114904495777295,0.38487164601217827,-0.047897594050543946,-0.02661880356555124,-0.021278790484992705,-0.02661880356555124,-0.05525849382185699,AP
tissuemnist,RegNetY400MF,L50_G50,1,0.36602478743763034,0.3585065445090276,0.3974722289625047,0.3815545842815669,0.36602478743763034,0.015917644680937815,-0.015529796843936572,0.03144744152487439,-0.015529796843936572,-0.02304803977253933,AP
tissuemnist,RegNetY400MF,L50_G50,2,0.41595866292658606,0.41595866292658606,0.4229122626676135,0.3462893098101365,0.41595866292658606,0.076622952857477,0.06966935311644956,0.006953599741027439,0.06966935311644956,0.06966935311644956,AP
tissuemnist,RegNetY400MF,L50_G50,3,0.4160321002580541,0.4244925949660376,0.333484059597683,0.3973471766257748,0.4244925949660376,-0.06386311702809178,0.027145418340262795,-0.09100853536835457,0.018684923632279304,0.027145418340262795,AP
tissuemnist,RegNetY400MF,L50_G50,4,0.38487164601217827,0.3541704193938009,0.3578201538927332,0.4114904495777295,0.38487164601217827,-0.053670295684996316,-0.02661880356555124,-0.027051492119445075,-0.02661880356555124,-0.057320030183928616,AP
