campaign,dataset,model,cap,method,n_seeds,K,n_pool,n_true_cls,K_frac_pool,clip_raw,clip_raw_min,clip_raw_max,natural_rate,K_over_clip_raw,binds,ccF1eq,AP,macroEq,count_raw,count_adj,sat,n_collapsed,d_vs_bestdual,d_vs_clip,constraint_epochs_run,last_epoch,warmup,cepochs,ce_skip,lr,lr_constraint,stable_thr
headroom_b30,octmnist,MobileNetV3,L50_G50,hounie_rcl,4,125,1000,250,0.125,160.25,113,191,0.16025,0.7800312012480499,yes,0.472,0.6498598849214953,0.6531017636245265,145.75,125.0,0.0,0,-0.005333333333333343,-0.10266666666666666,29.0,28.0,1,29,,0.0001,5e-06,
headroom_b30,octmnist,MobileNetV3,L50_G50,tralo,4,125,1000,250,0.125,160.25,113,191,0.16025,0.7800312012480499,yes,0.46799999999999997,0.6428242452983786,0.6456671563502576,146.0,125.0,0.0,0,-0.005333333333333343,-0.10266666666666666,29.0,30.0,1,29,True,0.0001,5e-06,
headroom_b30,octmnist,RegNetY400MF,L30_G30,danits_lp,4,75,1000,250,0.075,154.5,133,167,0.1545,0.4854368932038835,yes,0.39692307692307693,0.7242574182167882,0.7015555297146724,154.5,75.0,0.0,0,-0.0015384615384615302,-0.006153846153846149,0.0,,30,0,,0.0001,5e-06,
headroom_b30,octmnist,RegNetY400MF,L30_G30,fioretto_ldf,4,75,1000,250,0.075,154.5,133,167,0.1545,0.4854368932038835,yes,0.38769230769230767,0.7042405002129178,0.6924020253377776,155.25,75.0,0.0,0,-0.0015384615384615302,-0.006153846153846149,29.0,28.0,1,29,,0.0001,5e-06,
headroom_b30,octmnist,RegNetY400MF,L30_G30,heuristic,4,75,1000,250,0.075,154.5,133,167,0.1545,0.4854368932038835,yes,0.39692307692307693,0.7242574182167882,0.7015555297146724,154.5,75.0,0.0,0,-0.0015384615384615302,-0.006153846153846149,0.0,,30,0,,0.0001,5e-06,
headroom_b30,octmnist,RegNetY400MF,L30_G30,hounie_rcl,4,75,1000,250,0.075,154.5,133,167,0.1545,0.4854368932038835,yes,0.38923076923076927,0.7083539050431389,0.6937864390507611,154.75,75.0,0.0,0,-0.0015384615384615302,-0.006153846153846149,29.0,28.0,1,29,,0.0001,5e-06,
headroom_b30,octmnist,RegNetY400MF,L30_G30,tralo,4,75,1000,250,0.075,154.5,133,167,0.1545,0.4854368932038835,yes,0.39076923076923076,0.7104716979523602,0.6929539395262923,155.0,75.0,0.0,0,-0.0015384615384615302,-0.006153846153846149,29.0,30.0,1,29,True,0.0001,5e-06,
headroom_b30,octmnist,RegNetY400MF,L50_G50,danits_lp,4,125,1000,250,0.125,154.5,133,167,0.1545,0.8090614886731392,yes,0.5413333333333333,0.7242574182167882,0.7476490273443215,154.5,125.0,0.0,0,-0.010666666666666644,-0.030666666666666634,0.0,,30,0,,0.0001,5e-06,
headroom_b30,octmnist,RegNetY400MF,L50_G50,fioretto_ldf,4,125,1000,250,0.125,154.5,133,167,0.1545,0.8090614886731392,yes,0.5146666666666666,0.7078697109745975,0.728700274366012,151.75,125.0,0.0,0,-0.010666666666666644,-0.030666666666666634,29.0,28.0,1,29,,0.0001,5e-06,
headroom_b30,octmnist,RegNetY400MF,L50_G50,heuristic,4,125,1000,250,0.125,154.5,133,167,0.1545,0.8090614886731392,yes,0.5413333333333333,0.7242574182167882,0.7476490273443215,154.5,125.0,0.0,0,-0.010666666666666644,-0.030666666666666634,0.0,,30,0,,0.0001,5e-06,
