dataset,model,cap,seed,ep,hard,soft,K,gsat,lsat,lam,ce,ongrid
tissuemnist,MobileNetV3,L30_G30,4,10.0,79.0,86.78,51.0,0.0,0.0,0.05,0.122287,1
tissuemnist,MobileNetV3,L30_G30,4,15.0,74.0,74.62,51.0,0.0,0.0,0.05,0.050574,1
tissuemnist,MobileNetV3,L30_G30,4,20.0,202.0,208.6,51.0,0.0,0.0,0.05,0.039506,1
tissuemnist,MobileNetV3,L30_G30,4,25.0,96.0,100.73,51.0,0.0,0.0,0.05,0.034957,1
tissuemnist,MobileNetV3,L30_G30,4,30.0,141.0,146.23,51.0,0.0,0.0,0.05,0.014856,1
dermmnist,MobileNetV3,L50_G50,1,2.0,146.0,185.62,112.0,0.0,0.0,0.05,0.481815,0
dermmnist,MobileNetV3,L50_G50,1,4.0,87.0,96.93,112.0,1.0,1.0,0.05,0.172749,0
dermmnist,MobileNetV3,L50_G50,1,5.0,146.0,152.13,112.0,0.0,0.0,0.05,0.097388,1
dermmnist,MobileNetV3,L50_G50,1,10.0,116.0,113.6,112.0,0.0,0.0,0.05,0.02964,1
dermmnist,MobileNetV3,L50_G50,1,11.0,100.0,100.04,112.0,1.0,1.0,0.05,0.021565,0
dermmnist,MobileNetV3,L50_G50,1,15.0,190.0,192.4,112.0,0.0,0.0,0.05,0.021373,1
dermmnist,MobileNetV3,L50_G50,1,16.0,79.0,80.91,112.0,1.0,1.0,0.05,0.014698,0
dermmnist,MobileNetV3,L50_G50,1,19.0,100.0,100.98,112.0,1.0,1.0,0.05,0.015539,0
dermmnist,MobileNetV3,L50_G50,1,20.0,199.0,203.25,112.0,0.0,0.0,0.05,0.0097,1
dermmnist,MobileNetV3,L50_G50,1,22.0,94.0,91.69,112.0,1.0,1.0,0.05,0.012449,0
dermmnist,MobileNetV3,L50_G50,1,25.0,131.0,129.56,112.0,0.0,0.0,0.05,0.015925,1
dermmnist,MobileNetV3,L50_G50,1,26.0,80.0,83.13,112.0,1.0,1.0,0.05,0.007288,0
dermmnist,MobileNetV3,L50_G50,1,30.0,101.0,101.19,112.0,1.0,0.0,0.05,0.003776,1
dermmnist,MobileNetV3,L50_G50,2,2.0,140.0,194.07,112.0,0.0,0.0,0.05,0.465939,0
dermmnist,MobileNetV3,L50_G50,2,3.0,90.0,110.46,112.0,1.0,1.0,0.05,0.294986,0
dermmnist,MobileNetV3,L50_G50,2,5.0,136.0,141.37,112.0,0.0,0.0,0.05,0.092339,1
dermmnist,MobileNetV3,L50_G50,2,6.0,82.0,86.06,112.0,1.0,1.0,0.05,0.066574,0
dermmnist,MobileNetV3,L50_G50,2,9.0,80.0,80.63,112.0,1.0,1.0,0.05,0.030229,0
dermmnist,MobileNetV3,L50_G50,2,10.0,155.0,155.21,112.0,0.0,0.0,0.05,0.02856,1
dermmnist,MobileNetV3,L50_G50,2,13.0,96.0,94.38,112.0,1.0,1.0,0.05,0.014513,0
dermmnist,MobileNetV3,L50_G50,2,15.0,123.0,126.34,112.0,0.0,0.0,0.05,0.020828,1
dermmnist,MobileNetV3,L50_G50,2,16.0,74.0,76.08,112.0,1.0,1.0,0.05,0.026037,0
dermmnist,MobileNetV3,L50_G50,2,19.0,93.0,96.46,112.0,1.0,1.0,0.05,0.01079,0
dermmnist,MobileNetV3,L50_G50,2,20.0,262.0,260.53,112.0,0.0,0.0,0.05,0.009856,1
dermmnist,MobileNetV3,L50_G50,2,23.0,97.0,100.64,112.0,1.0,1.0,0.05,0.028514,0
dermmnist,MobileNetV3,L50_G50,2,25.0,134.0,136.01,112.0,0.0,0.0,0.05,0.029699,1
dermmnist,MobileNetV3,L50_G50,2,26.0,106.0,112.04,112.0,1.0,1.0,0.05,0.008201,0
dermmnist,MobileNetV3,L50_G50,2,27.0,102.0,101.93,112.0,1.0,1.0,0.05,0.010738,0
dermmnist,MobileNetV3,L50_G50,2,30.0,86.0,83.39,112.0,1.0,1.0,0.05,0.003582,1
