campaign,dataset,cap,model,seed,method,sweep,arm,warmup,cepochs,lr,lr_c,ce_skip,cls,n_pool,n_true,K,K_local_sum,n_groups,count_raw,count_adj,count_eq,deficit,AP,ccF1adj,ccF1eq,macroAdj,macroEq,path
warmup1_probe_s34,tissuemnist,L50_G50,MobileNetV3,4,danits_lp,,,1,300,0.0001,5e-06,,4,2400,171,86,86,2,145,86,86,0,0.30554255283796516,0.26459143968871596,0.3035019455252918,0.28879965274466385,0.28288124388277136,results/pending_runs/warmup1_probe_s34/MobileNetV3/tissuemnist/L50_G50/w1/danits_lp/seed_4
warmup1_probe_s34,tissuemnist,L50_G50,MobileNetV3,3,fioretto_ldf,,,1,300,0.0001,5e-06,,4,2400,171,86,86,2,70,86,86,0,0.3667687261508999,0.311284046692607,0.311284046692607,0.3999469550293774,0.3999469550293774,results/pending_runs/warmup1_probe_s34/MobileNetV3/tissuemnist/L50_G50/w1/fioretto_ldf/seed_3
warmup1_probe_s34,tissuemnist,L50_G50,MobileNetV3,4,fioretto_ldf,,,1,300,0.0001,5e-06,,4,2400,171,86,86,2,68,86,86,0,0.27797669076880893,0.28793774319066145,0.28793774319066145,0.3830994234663784,0.3830994234663784,results/pending_runs/warmup1_probe_s34/MobileNetV3/tissuemnist/L50_G50/w1/fioretto_ldf/seed_4
warmup1_probe_s34,tissuemnist,L50_G50,MobileNetV3,3,heuristic,,,1,300,0.0001,5e-06,,4,2400,171,86,86,2,249,86,86,0,0.3513048384589492,0.28793774319066145,0.28793774319066145,0.29501773910234175,0.29501773910234175,results/pending_runs/warmup1_probe_s34/MobileNetV3/tissuemnist/L50_G50/w1/heuristic/seed_3
warmup1_probe_s34,tissuemnist,L50_G50,MobileNetV3,4,heuristic,,,1,300,0.0001,5e-06,,4,2400,171,86,86,2,145,86,86,0,0.30554255283796516,0.3035019455252918,0.3035019455252918,0.28288124388277136,0.28288124388277136,results/pending_runs/warmup1_probe_s34/MobileNetV3/tissuemnist/L50_G50/w1/heuristic/seed_4
warmup1_probe_s34,tissuemnist,L50_G50,MobileNetV3,3,hounie_rcl,,,1,300,0.0001,5e-06,,4,2400,171,86,86,2,53,86,86,0,0.35360693460561393,0.3346303501945525,0.3346303501945525,0.39626949148824264,0.39626949148824264,results/pending_runs/warmup1_probe_s34/MobileNetV3/tissuemnist/L50_G50/w1/hounie_rcl/seed_3
warmup1_probe_s34,tissuemnist,L50_G50,MobileNetV3,4,hounie_rcl,,,1,300,0.0001,5e-06,,4,2400,171,86,86,2,50,86,86,0,0.2739915225263363,0.26459143968871596,0.26459143968871596,0.37455539607472144,0.37455539607472144,results/pending_runs/warmup1_probe_s34/MobileNetV3/tissuemnist/L50_G50/w1/hounie_rcl/seed_4
warmup1_probe_s34,tissuemnist,L50_G50,MobileNetV3,3,tralo,,,1,300,0.0001,5e-06,True,4,2400,171,86,86,2,72,86,86,0,0.3668519435100269,0.3346303501945525,0.3346303501945525,0.40417415684206826,0.40417415684206826,results/pending_runs/warmup1_probe_s34/MobileNetV3/tissuemnist/L50_G50/w1/tralo/seed_3
warmup1_probe_s34,tissuemnist,L50_G50,MobileNetV3,4,tralo,,,1,300,0.0001,5e-06,True,4,2400,171,86,86,2,59,86,86,0,0.28228013465698043,0.28793774319066145,0.28793774319066145,0.3718978513933304,0.3718978513933304,results/pending_runs/warmup1_probe_s34/MobileNetV3/tissuemnist/L50_G50/w1/tralo/seed_4
warmup1_probe_s34,tissuemnist,L50_G50,MobileNetV3,3,tralo_bounded,,,1,300,0.0001,5e-06,True,4,2400,171,86,86,2,72,86,86,0,0.3731366825156888,0.3424124513618677,0.35019455252918286,0.4134560147176408,0.41497379083456165,results/pending_runs/warmup1_probe_s34/MobileNetV3/tissuemnist/L50_G50/w1/tralo_bounded/seed_3
warmup1_probe_s34,tissuemnist,L50_G50,MobileNetV3,4,tralo_bounded,,,1,300,0.0001,5e-06,True,4,2400,171,86,86,2,73,86,86,0,0.3626481869851762,0.31906614785992216,0.3424124513618677,0.3145315567026705,0.32208824657394114,results/pending_runs/warmup1_probe_s34/MobileNetV3/tissuemnist/L50_G50/w1/tralo_bounded/seed_4
warmup1_probe_s34,dermmnist,L30_G30,RegNetY400MF,3,danits_lp,,,1,300,0.0001,5e-06,,4,2003,223,67,67,3,333,67,67,0,0.44743382637786155,0.2827586206896552,0.25517241379310346,0.32725395375114313,0.32276518543072,results/pending_runs/warmup1_probe_s34/RegNetY400MF/dermmnist/L30_G30/w1/danits_lp/seed_3
warmup1_probe_s34,dermmnist,L30_G30,RegNetY400MF,4,danits_lp,,,1,300,0.0001,5e-06,,4,2003,223,67,67,3,135,67,67,0,0.5229278588030769,0.32413793103448274,0.33793103448275863,0.3822260405910747,0.385539862696823,results/pending_runs/warmup1_probe_s34/RegNetY400MF/dermmnist/L30_G30/w1/danits_lp/seed_4
