dataset,model,cap,seed,method,K,N,ntrue,epochs,last_epoch,ce_skip_cfg,ce_off_ep,n_ce_off,ce_min,first_sat,n_sat,sat_flips,exc0,exc_min,exc_final,exc_trend_all,exc_trend_ce_on,exc_trend_ce_off,raw_count,lam0,lam_max,lam_final,soft0,soft_min,soft_final,n_ep_lam_frozen,cstr_loss_max,u_recursion_maxerr,lam_peak_ep,lam_decaying_eps,u_max,Uloc_max,soft_min_over_K,soft_final_over_K,n_ep_soft_below_K,soft_trend_ce_on,soft_trend_ce_off,soft_at_sat,soft_drop_after_sat
octmnist,MobileNetV3,L50_G50,4,hounie_rcl,125,1000,250,29,29,UNSET->default True,23.0,7,0.012698,8.0,4,2,12.0,0.0,0.0,-0.0759932048783734,0.16723166510767634,-0.9910312089651149,64,0.000232,0.011016,0.010307,148.2,83.09000000000009,83.09000000000009,,0.00716,7.800000000000027e-07,26.0,5.0,0.000495,0.0008717224328879005,0.6647200000000008,0.6647200000000008,5.0,0.025409373235460195,-1.0,112.06200000000001,28.971999999999923
tissuemnist,MobileNetV3,L50_G50,1,fioretto_ldf,86,2400,171,29,29,UNSET->default True,28.0,2,0.015266,1.0,1,1,0.0,0.0,46.0,0.08104446421862758,0.177988095494551,,61,0.550705,12.972226,12.972226,196.141,99.11040000000006,113.88339999999998,0.0,4071.0,,,,,,,,,,,,
tissuemnist,MobileNetV3,L50_G50,2,fioretto_ldf,86,2400,171,29,29,UNSET->default True,,0,0.021017,11.0,2,2,336.0,0.0,28.0,-0.16952077047935998,-0.16952077047935998,,83,1.216942,16.706546,16.706546,329.3884,88.67519999999983,96.16059999999968,1.0,5283.682343,,,,,,,,,,,,
tissuemnist,MobileNetV3,L50_G50,3,fioretto_ldf,86,2400,171,29,29,UNSET->default True,,0,0.014613,1.0,5,3,0.0,0.0,132.0,0.4201052796266429,0.4201052796266429,,66,0.414106,11.184887,11.184887,168.82119999999998,90.73620000000001,160.2971999999998,1.0,2740.790344,,,,,,,,,,,,
tissuemnist,MobileNetV3,L50_G50,4,fioretto_ldf,86,2400,171,29,29,UNSET->default True,,0,0.019087,1.0,5,2,0.0,0.0,214.0,0.47227558695611205,0.47227558695611205,,77,0.368874,11.050336,11.050336,159.7748,86.6748,199.68779999999992,1.0,2546.517097,,,,,,,,,,,,
tissuemnist,MobileNetV3,L50_G50,1,hounie_rcl,86,2400,171,29,29,UNSET->default True,,0,0.015323,1.0,1,1,0.0,0.0,226.0,0.24026617013702795,0.24026617013702795,,35,0.000459,0.012732,0.012732,196.16,106.64239999999987,194.08880000000022,,0.003264,8.399999999999987e-07,29.0,0.0,0.000557,0.0007820684113298529,1.2400279069767426,2.2568465116279097,0.0,-0.09310344827586205,,196.16,2.071199999999777
tissuemnist,MobileNetV3,L50_G50,2,hounie_rcl,86,2400,171,29,29,UNSET->default True,,0,0.020736,,0,0,336.0,2.0,72.0,-0.34047796056691654,-0.34047796056691654,,81,0.001014,0.012818,0.012818,329.36,89.16319999999983,125.52559999999986,,0.003375,8.099999999999601e-07,29.0,0.0,0.000583,0.000822337521945825,1.0367813953488352,1.4595999999999982,0.0,-0.5532019704433496,,,
tissuemnist,MobileNetV3,L50_G50,3,hounie_rcl,86,2400,171,29,29,UNSET->default True,,0,0.019911,1.0,6,3,0.0,0.0,108.0,0.39238390066762274,0.39238390066762274,,54,0.000345,0.008757,0.008757,168.8,63.78799999999992,138.0031999999999,,0.001574,7.799999999999993e-07,29.0,2.0,0.000382,0.0005247770955367621,0.7417209302325571,1.6046883720930223,2.0,0.16551724137931031,,168.8,30.796800000000104
tissuemnist,MobileNetV3,L50_G50,4,hounie_rcl,86,2400,171,29,29,UNSET->default True,,0,0.016209,1.0,4,2,0.0,0.0,146.0,0.3818455094764667,0.3818455094764667,,85,0.000307,0.009998,0.009998,159.68,92.65759999999996,163.56319999999997,,0.001883,6.700000000000325e-07,29.0,0.0,0.000435,0.0006409173113592735,1.0774139534883715,1.9018976744186042,0.0,0.18965517241379307,,159.68,-3.8831999999999596
dermmnist,RegNetY400MF,L30_G30,1,fioretto_ldf,67,2003,223,21,21,UNSET->default True,15.0,7,0.015644,17.0,5,0,310.0,0.0,0.0,-0.7777943911038032,-0.27472527472527475,-0.8017837257372733,21,0.976578,9.217104,9.217104,262.3156,70.90120000000032,,5.0,2704.876892,,,,,,,,,,,,
dermmnist,RegNetY400MF,L30_G30,2,fioretto_ldf,67,2003,223,19,19,UNSET->default True,14.0,6,0.014131,15.0,5,0,210.0,0.0,0.0,-0.7221521719128844,-0.16483516483516483,-0.6546536707079772,51,0.790504,7.436964,7.436964,225.1008,96.3526,,5.0,1581.470734,,,,,,,,,,,,
dermmnist,RegNetY400MF,L30_G30,3,fioretto_ldf,67,2003,223,20,20,UNSET->default True,14.0,7,0.015071,16.0,5,0,480.0,0.0,0.0,-0.6237408552873899,0.10729033533674226,-0.8017837257372733,51,1.241131,9.420796,9.420796,315.2262,109.86739999999973,,5.0,2396.596268,,,,,,,,,,,,
dermmnist,RegNetY400MF,L30_G30,4,fioretto_ldf,67,2003,223,29,29,UNSET->default True,14.0,16,0.015097,,0,0,222.0,2.0,2.0,-0.8475349231105964,-0.07427792446389848,-0.5752237416355278,52,0.785684,8.068637,8.068637,224.1368,98.95760000000014,,14.0,1654.30748,,,,,,,,,,,,
dermmnist,RegNetY400MF,L30_G30,1,hounie_rcl,67,2003,223,29,29,UNSET->default True,22.0,8,0.007044,27.0,3,0,310.0,0.0,0.0,-0.5902650535082202,-0.050016241676569345,-0.9759000729485332,16,0.000975,0.015795,0.015408,262.2925,27.21641400000008,27.21641400000008,,0.006463,8.599999999999884e-07,26.0,3.0,0.000744,0.001433651282564906,0.4062151343283594,0.4062151343283594,3.0,-0.22207792207792207,-1.0,59.813235999999726,32.59682199999965
