path,dataset,model,cap,method,seed,NCE,max_e_logged,rows,E_lit,maxrun_lit,n_sat_lit,E_inf,maxrun_inf,n_sat_inf,inferred_tail,early_stop,first_sat,sat_epoch_csv,final_sat_csv,flips,enable_ce_skip_cfg,n_sat_epochs_logged,sat_epochs_with_CE_off,sat_epochs_with_zero_cstr,sat_epochs_fully_frozen,ce_skip_first_e,cnt_min,cnt_max
results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/tissuemnist/L50_G50/fioretto_ldf/seed_3,tissuemnist,MobileNetV3,L50_G50,fioretto_ldf,3,29,29,29,29,3,5,29,3,5,False,False,1.0,1.0,1.0,20.0,ABSENT->default True,5,0,2,0,,,
results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/tissuemnist/L50_G50/fioretto_ldf/seed_4,tissuemnist,MobileNetV3,L50_G50,fioretto_ldf,4,29,29,29,29,4,5,29,4,5,False,False,1.0,1.0,1.0,9.0,ABSENT->default True,5,0,2,0,,,
results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/tissuemnist/L50_G50/hounie_rcl/seed_1,tissuemnist,MobileNetV3,L50_G50,hounie_rcl,1,29,29,29,29,1,1,29,1,1,False,False,1.0,1.0,1.0,51.0,ABSENT->default True,1,0,1,0,,,
results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/tissuemnist/L50_G50/hounie_rcl/seed_2,tissuemnist,MobileNetV3,L50_G50,hounie_rcl,2,29,29,29,29,0,0,29,0,0,False,False,,,0.0,9.0,ABSENT->default True,0,0,0,0,,,
results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/tissuemnist/L50_G50/hounie_rcl/seed_3,tissuemnist,MobileNetV3,L50_G50,hounie_rcl,3,29,29,29,29,3,6,29,3,6,False,False,1.0,1.0,1.0,32.0,ABSENT->default True,6,0,1,0,,,
results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/tissuemnist/L50_G50/hounie_rcl/seed_4,tissuemnist,MobileNetV3,L50_G50,hounie_rcl,4,29,29,29,29,3,4,29,3,4,False,False,1.0,1.0,1.0,1.0,ABSENT->default True,4,0,1,0,,,
results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/tissuemnist/L50_G50/tralo/seed_1,tissuemnist,MobileNetV3,L50_G50,tralo,1,29,29,7,29,1,2,29,1,2,False,False,1.0,2.0,1.0,40.0,False,2,0,0,0,,35.0,257.0
results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/tissuemnist/L50_G50/tralo/seed_2,tissuemnist,MobileNetV3,L50_G50,tralo,2,29,29,8,29,1,2,29,1,2,False,False,4.0,5.0,1.0,28.0,False,2,0,1,0,,58.0,300.0
results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/tissuemnist/L50_G50/tralo/seed_3,tissuemnist,MobileNetV3,L50_G50,tralo,3,29,4,4,4,4,4,5,5,5,True,True,1.0,2.0,1.0,23.0,False,4,0,0,0,,50.0,76.0
results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/tissuemnist/L50_G50/tralo/seed_4,tissuemnist,MobileNetV3,L50_G50,tralo,4,29,29,9,29,4,5,29,4,5,False,False,1.0,2.0,1.0,18.0,False,5,0,1,0,,25.0,123.0
results/headroom/headroom_b30_lrc0.0001_noceskip/lane2/RegNetY400MF/dermmnist/L30_G30/fioretto_ldf/seed_1,dermmnist,RegNetY400MF,L30_G30,fioretto_ldf,1,29,21,21,21,5,5,21,5,5,False,True,17.0,17.0,1.0,46.0,ABSENT->default True,5,5,5,5,15.0,,
results/headroom/headroom_b30_lrc0.0001_noceskip/lane2/RegNetY400MF/dermmnist/L30_G30/fioretto_ldf/seed_2,dermmnist,RegNetY400MF,L30_G30,fioretto_ldf,2,29,19,19,19,5,5,19,5,5,False,True,15.0,15.0,1.0,16.0,ABSENT->default True,5,5,5,5,14.0,,
