E,hard,soft,lam,sat,cep,dataset,model,cap,seed
5,165,177.97,0.06,0,4,tissuemnist,RegNetY400MF,L30_G30,3
10,151,165.95,0.07,0,9,tissuemnist,RegNetY400MF,L30_G30,3
15,193,207.0,0.08,0,14,tissuemnist,RegNetY400MF,L30_G30,3
20,140,143.94,0.09,0,19,tissuemnist,RegNetY400MF,L30_G30,3
25,143,151.46,0.1,0,24,tissuemnist,RegNetY400MF,L30_G30,3
30,176,177.96,0.11,0,29,tissuemnist,RegNetY400MF,L30_G30,3
2,145,173.72,0.05,0,1,tissuemnist,RegNetY400MF,L30_G30,1
5,309,266.28,0.06,0,4,tissuemnist,RegNetY400MF,L30_G30,1
10,162,177.78,0.07,0,9,tissuemnist,RegNetY400MF,L30_G30,1
15,198,196.58,0.08,0,14,tissuemnist,RegNetY400MF,L30_G30,1
20,285,289.51,0.09,0,19,tissuemnist,RegNetY400MF,L30_G30,1
25,131,135.18,0.1,0,24,tissuemnist,RegNetY400MF,L30_G30,1
30,128,136.22,0.11,0,29,tissuemnist,RegNetY400MF,L30_G30,1
2,209,199.18,0.05,0,1,tissuemnist,RegNetY400MF,L30_G30,2
5,123,141.9,0.06,0,4,tissuemnist,RegNetY400MF,L30_G30,2
10,142,147.1,0.07,0,9,tissuemnist,RegNetY400MF,L30_G30,2
15,235,242.64,0.08,0,14,tissuemnist,RegNetY400MF,L30_G30,2
20,235,232.01,0.09,0,19,tissuemnist,RegNetY400MF,L30_G30,2
25,165,166.06,0.1,0,24,tissuemnist,RegNetY400MF,L30_G30,2
30,316,310.51,0.11,0,29,tissuemnist,RegNetY400MF,L30_G30,2
2,188,198.73,0.05,0,1,octmnist,RegNetY400MF,L30_G30,4
5,180,187.29,0.06,0,4,octmnist,RegNetY400MF,L30_G30,4
10,93,99.32,0.07,0,9,octmnist,RegNetY400MF,L30_G30,4
15,151,153.85,0.08,0,14,octmnist,RegNetY400MF,L30_G30,4
20,187,187.73,0.09,0,19,octmnist,RegNetY400MF,L30_G30,4
25,186,181.96,0.1,0,24,octmnist,RegNetY400MF,L30_G30,4
30,200,201.69,0.11,0,29,octmnist,RegNetY400MF,L30_G30,4
2,216,216.11,0.05,0,1,octmnist,RegNetY400MF,L30_G30,3
5,153,158.03,0.06,0,4,octmnist,RegNetY400MF,L30_G30,3
10,126,130.62,0.07,0,9,octmnist,RegNetY400MF,L30_G30,3
15,221,223.42,0.08,0,14,octmnist,RegNetY400MF,L30_G30,3
20,149,150.18,0.09,0,19,octmnist,RegNetY400MF,L30_G30,3
25,183,177.23,0.1,0,24,octmnist,RegNetY400MF,L30_G30,3
30,142,145.32,0.11,0,29,octmnist,RegNetY400MF,L30_G30,3
2,142,150.92,0.05,0,1,octmnist,RegNetY400MF,L30_G30,1
5,209,201.43,0.06,0,4,octmnist,RegNetY400MF,L30_G30,1
10,140,142.98,0.07,0,9,octmnist,RegNetY400MF,L30_G30,1
15,162,163.41,0.08,0,14,octmnist,RegNetY400MF,L30_G30,1
20,213,218.67,0.09,0,19,octmnist,RegNetY400MF,L30_G30,1
25,180,178.4,0.1,0,24,octmnist,RegNetY400MF,L30_G30,1
30,159,166.75,0.11,0,29,octmnist,RegNetY400MF,L30_G30,1
2,183,195.96,0.05,0,1,octmnist,RegNetY400MF,L30_G30,2
5,164,171.43,0.06,0,4,octmnist,RegNetY400MF,L30_G30,2
10,241,240.31,0.07,0,9,octmnist,RegNetY400MF,L30_G30,2
15,154,149.24,0.08,0,14,octmnist,RegNetY400MF,L30_G30,2
20,129,131.02,0.09,0,19,octmnist,RegNetY400MF,L30_G30,2
25,155,156.62,0.1,0,24,octmnist,RegNetY400MF,L30_G30,2
30,146,147.68,0.11,0,29,octmnist,RegNetY400MF,L30_G30,2
2,178,224.14,0.05,0,1,dermmnist,RegNetY400MF,L50_G50,4
5,135,144.88,0.06,0,4,dermmnist,RegNetY400MF,L50_G50,4
10,178,184.72,0.07,0,9,dermmnist,RegNetY400MF,L50_G50,4
15,250,256.13,0.08,0,14,dermmnist,RegNetY400MF,L50_G50,4
20,196,201.39,0.09,0,19,dermmnist,RegNetY400MF,L50_G50,4
25,150,149.59,0.1,0,24,dermmnist,RegNetY400MF,L50_G50,4
30,156,161.22,0.11,0,29,dermmnist,RegNetY400MF,L50_G50,4
2,307,315.23,0.05,0,1,dermmnist,RegNetY400MF,L50_G50,3
5,165,172.06,0.06,0,4,dermmnist,RegNetY400MF,L50_G50,3
10,197,197.03,0.07,0,9,dermmnist,RegNetY400MF,L50_G50,3
15,206,212.79,0.08,0,14,dermmnist,RegNetY400MF,L50_G50,3
20,215,222.75,0.09,0,19,dermmnist,RegNetY400MF,L50_G50,3
25,169,170.58,0.1,0,24,dermmnist,RegNetY400MF,L50_G50,3
30,257,256.62,0.11,0,29,dermmnist,RegNetY400MF,L50_G50,3
2,222,262.32,0.05,0,1,dermmnist,RegNetY400MF,L50_G50,1
5,205,211.95,0.06,0,4,dermmnist,RegNetY400MF,L50_G50,1
10,173,177.85,0.07,0,9,dermmnist,RegNetY400MF,L50_G50,1
15,171,170.2,0.08,0,14,dermmnist,RegNetY400MF,L50_G50,1
20,196,197.54,0.09,0,19,dermmnist,RegNetY400MF,L50_G50,1
25,154,155.59,0.1,0,24,dermmnist,RegNetY400MF,L50_G50,1
30,138,138.3,0.11,0,29,dermmnist,RegNetY400MF,L50_G50,1
2,172,225.1,0.05,0,1,dermmnist,RegNetY400MF,L50_G50,2
5,169,182.81,0.06,0,4,dermmnist,RegNetY400MF,L50_G50,2
10,196,207.6,0.07,0,9,dermmnist,RegNetY400MF,L50_G50,2
15,208,210.39,0.08,0,14,dermmnist,RegNetY400MF,L50_G50,2
20,132,136.21,0.09,0,19,dermmnist,RegNetY400MF,L50_G50,2
25,184,183.96,0.1,0,24,dermmnist,RegNetY400MF,L50_G50,2
30,204,212.03,0.11,0,29,dermmnist,RegNetY400MF,L50_G50,2
2,215,196.03,0.05,0,1,tissuemnist,RegNetY400MF,L50_G50,4
5,207,199.15,0.06,0,4,tissuemnist,RegNetY400MF,L50_G50,4
10,224,237.09,0.07,0,9,tissuemnist,RegNetY400MF,L50_G50,4
15,136,148.3,0.08,0,14,tissuemnist,RegNetY400MF,L50_G50,4
20,202,207.83,0.09,0,19,tissuemnist,RegNetY400MF,L50_G50,4
25,242,245.54,0.1,0,24,tissuemnist,RegNetY400MF,L50_G50,4
30,236,237.16,0.11,0,29,tissuemnist,RegNetY400MF,L50_G50,4
2,158,179.78,0.05,0,1,tissuemnist,RegNetY400MF,L50_G50,3
5,188,206.09,0.06,0,4,tissuemnist,RegNetY400MF,L50_G50,3
10,214,220.94,0.07,0,9,tissuemnist,RegNetY400MF,L50_G50,3
15,180,180.3,0.08,0,14,tissuemnist,RegNetY400MF,L50_G50,3
20,104,113.23,0.09,0,19,tissuemnist,RegNetY400MF,L50_G50,3
25,152,156.75,0.1,0,24,tissuemnist,RegNetY400MF,L50_G50,3
30,137,141.85,0.11,0,29,tissuemnist,RegNetY400MF,L50_G50,3
2,145,173.72,0.05,0,1,tissuemnist,RegNetY400MF,L50_G50,1
5,243,230.46,0.06,0,4,tissuemnist,RegNetY400MF,L50_G50,1
10,235,228.21,0.07,0,9,tissuemnist,RegNetY400MF,L50_G50,1
15,226,223.21,0.08,0,14,tissuemnist,RegNetY400MF,L50_G50,1
20,302,307.72,0.09,0,19,tissuemnist,RegNetY400MF,L50_G50,1
25,147,160.0,0.1,0,24,tissuemnist,RegNetY400MF,L50_G50,1
30,206,208.41,0.11,0,29,tissuemnist,RegNetY400MF,L50_G50,1
2,209,199.18,0.05,0,1,tissuemnist,RegNetY400MF,L50_G50,2
5,153,174.86,0.06,0,4,tissuemnist,RegNetY400MF,L50_G50,2
10,182,187.13,0.07,0,9,tissuemnist,RegNetY400MF,L50_G50,2
15,146,141.88,0.08,0,14,tissuemnist,RegNetY400MF,L50_G50,2
20,213,217.39,0.09,0,19,tissuemnist,RegNetY400MF,L50_G50,2
25,253,264.36,0.1,0,24,tissuemnist,RegNetY400MF,L50_G50,2
30,249,248.09,0.11,0,29,tissuemnist,RegNetY400MF,L50_G50,2
2,188,198.73,0.05,0,1,octmnist,RegNetY400MF,L50_G50,4
5,280,276.26,0.06,0,4,octmnist,RegNetY400MF,L50_G50,4
8,76,85.36,0.06,1,7,octmnist,RegNetY400MF,L50_G50,4
10,151,150.2,0.06,0,9,octmnist,RegNetY400MF,L50_G50,4
15,109,115.02,0.06,1,14,octmnist,RegNetY400MF,L50_G50,4
20,170,167.25,0.06,0,19,octmnist,RegNetY400MF,L50_G50,4
22,116,116.02,0.06,1,21,octmnist,RegNetY400MF,L50_G50,4
25,125,127.18,0.06,1,24,octmnist,RegNetY400MF,L50_G50,4
30,141,139.56,0.06,0,29,octmnist,RegNetY400MF,L50_G50,4
2,216,216.11,0.05,0,1,octmnist,RegNetY400MF,L50_G50,3
4,109,125.12,0.05,1,3,octmnist,RegNetY400MF,L50_G50,3
5,150,152.68,0.05,0,4,octmnist,RegNetY400MF,L50_G50,3
10,142,146.23,0.05,0,9,octmnist,RegNetY400MF,L50_G50,3
15,179,179.3,0.05,0,14,octmnist,RegNetY400MF,L50_G50,3
20,129,134.23,0.05,0,19,octmnist,RegNetY400MF,L50_G50,3
25,210,207.79,0.05,0,24,octmnist,RegNetY400MF,L50_G50,3
30,148,152.56,0.05,0,29,octmnist,RegNetY400MF,L50_G50,3
2,142,150.92,0.05,0,1,octmnist,RegNetY400MF,L50_G50,1
5,213,220.99,0.06,0,4,octmnist,RegNetY400MF,L50_G50,1
10,187,181.92,0.07,0,9,octmnist,RegNetY400MF,L50_G50,1
15,134,133.08,0.08,0,14,octmnist,RegNetY400MF,L50_G50,1
16,110,115.74,0.08,1,15,octmnist,RegNetY400MF,L50_G50,1
20,212,209.46,0.08,0,19,octmnist,RegNetY400MF,L50_G50,1
25,200,202.25,0.08,0,24,octmnist,RegNetY400MF,L50_G50,1
30,255,251.94,0.08,0,29,octmnist,RegNetY400MF,L50_G50,1
2,183,195.96,0.05,0,1,octmnist,RegNetY400MF,L50_G50,2
5,238,234.97,0.06,0,4,octmnist,RegNetY400MF,L50_G50,2
7,108,112.49,0.06,1,6,octmnist,RegNetY400MF,L50_G50,2
10,167,160.4,0.06,0,9,octmnist,RegNetY400MF,L50_G50,2
15,136,140.71,0.06,0,14,octmnist,RegNetY400MF,L50_G50,2
20,148,147.48,0.06,0,19,octmnist,RegNetY400MF,L50_G50,2
22,107,106.1,0.06,1,21,octmnist,RegNetY400MF,L50_G50,2
25,147,152.51,0.06,0,24,octmnist,RegNetY400MF,L50_G50,2
30,110,107.48,0.06,1,29,octmnist,RegNetY400MF,L50_G50,2
2,174,211.61,0.05,0,1,dermmnist,MobileNetV3,L30_G30,4
5,112,129.06,0.06,0,4,dermmnist,MobileNetV3,L30_G30,4
10,72,80.72,0.07,0,9,dermmnist,MobileNetV3,L30_G30,4
15,144,147.39,0.08,0,14,dermmnist,MobileNetV3,L30_G30,4
20,88,89.11,0.09,0,19,dermmnist,MobileNetV3,L30_G30,4
25,139,138.74,0.1,0,24,dermmnist,MobileNetV3,L30_G30,4
30,109,109.99,0.11,0,29,dermmnist,MobileNetV3,L30_G30,4
2,268,285.26,0.05,0,1,dermmnist,MobileNetV3,L30_G30,3
5,160,160.02,0.06,0,4,dermmnist,MobileNetV3,L30_G30,3
10,92,90.92,0.07,0,9,dermmnist,MobileNetV3,L30_G30,3
13,49,52.11,0.07,1,12,dermmnist,MobileNetV3,L30_G30,3
15,123,125.83,0.07,0,14,dermmnist,MobileNetV3,L30_G30,3
20,97,99.9,0.07,0,19,dermmnist,MobileNetV3,L30_G30,3
25,119,121.29,0.07,0,24,dermmnist,MobileNetV3,L30_G30,3
30,101,102.15,0.07,0,29,dermmnist,MobileNetV3,L30_G30,3
2,146,185.62,0.05,0,1,dermmnist,MobileNetV3,L30_G30,1
5,68,73.79,0.06,0,4,dermmnist,MobileNetV3,L30_G30,1
10,126,127.01,0.07,0,9,dermmnist,MobileNetV3,L30_G30,1
15,124,123.96,0.08,0,14,dermmnist,MobileNetV3,L30_G30,1
20,142,145.16,0.09,0,19,dermmnist,MobileNetV3,L30_G30,1
25,87,86.22,0.1,0,24,dermmnist,MobileNetV3,L30_G30,1
30,95,92.43,0.11,0,29,dermmnist,MobileNetV3,L30_G30,1
2,140,194.07,0.05,0,1,dermmnist,MobileNetV3,L30_G30,2
5,124,132.57,0.06,0,4,dermmnist,MobileNetV3,L30_G30,2
6,63,66.52,0.06,1,5,dermmnist,MobileNetV3,L30_G30,2
10,123,121.68,0.06,0,9,dermmnist,MobileNetV3,L30_G30,2
15,93,95.6,0.06,0,14,dermmnist,MobileNetV3,L30_G30,2
20,150,153.61,0.06,0,19,dermmnist,MobileNetV3,L30_G30,2
25,88,89.1,0.06,0,24,dermmnist,MobileNetV3,L30_G30,2
30,92,100.96,0.06,0,29,dermmnist,MobileNetV3,L30_G30,2
2,25,159.77,0.05,1,1,tissuemnist,MobileNetV3,L30_G30,4
4,32,78.96,0.05,1,3,tissuemnist,MobileNetV3,L30_G30,4
5,42,76.18,0.05,1,4,tissuemnist,MobileNetV3,L30_G30,4
10,79,86.78,0.05,0,9,tissuemnist,MobileNetV3,L30_G30,4
15,74,74.62,0.05,0,14,tissuemnist,MobileNetV3,L30_G30,4
20,202,208.6,0.05,0,19,tissuemnist,MobileNetV3,L30_G30,4
25,96,100.73,0.05,0,24,tissuemnist,MobileNetV3,L30_G30,4
30,141,146.23,0.05,0,29,tissuemnist,MobileNetV3,L30_G30,4
2,76,168.82,0.05,0,1,tissuemnist,MobileNetV3,L30_G30,3
5,70,104.87,0.06,0,4,tissuemnist,MobileNetV3,L30_G30,3
9,30,34.27,0.06,1,8,tissuemnist,MobileNetV3,L30_G30,3
10,203,194.27,0.06,0,9,tissuemnist,MobileNetV3,L30_G30,3
15,130,136.72,0.06,0,14,tissuemnist,MobileNetV3,L30_G30,3
17,36,42.35,0.06,1,16,tissuemnist,MobileNetV3,L30_G30,3
20,124,131.07,0.06,0,19,tissuemnist,MobileNetV3,L30_G30,3
25,200,204.39,0.06,0,24,tissuemnist,MobileNetV3,L30_G30,3
30,121,123.71,0.06,0,29,tissuemnist,MobileNetV3,L30_G30,3
2,35,196.14,0.05,1,1,tissuemnist,MobileNetV3,L30_G30,1
5,54,101.42,0.05,0,4,tissuemnist,MobileNetV3,L30_G30,1
10,196,201.14,0.05,0,9,tissuemnist,MobileNetV3,L30_G30,1
15,221,218.93,0.05,0,14,tissuemnist,MobileNetV3,L30_G30,1
20,183,187.25,0.05,0,19,tissuemnist,MobileNetV3,L30_G30,1
25,247,250.63,0.05,0,24,tissuemnist,MobileNetV3,L30_G30,1
30,209,213.86,0.05,0,29,tissuemnist,MobileNetV3,L30_G30,1
2,254,329.39,0.05,0,1,tissuemnist,MobileNetV3,L30_G30,2
5,84,123.69,0.06,0,4,tissuemnist,MobileNetV3,L30_G30,2
10,150,157.68,0.07,0,9,tissuemnist,MobileNetV3,L30_G30,2
15,151,154.47,0.08,0,14,tissuemnist,MobileNetV3,L30_G30,2
20,119,126.15,0.09,0,19,tissuemnist,MobileNetV3,L30_G30,2
25,131,132.85,0.1,0,24,tissuemnist,MobileNetV3,L30_G30,2
30,107,105.8,0.11,0,29,tissuemnist,MobileNetV3,L30_G30,2
