campaign,dataset,model,cap,seed,K,gated,gate_ep,n_off,n_rows,satisfied,first_sat,n_sat,exc_final,exc_min,soft_final,soft_min,raw_count,lam_peak_ep,lam_max,lam_final,lam_still_rising,overshoot_final,undercount_raw,tail4,tail5,tail7,tail9,tail11,tail13,ratio_after_lampeak,npts_after_lampeak,ratio_before_lampeak
lrc1e-4,tissuemnist,RegNetY400MF,L30_G30,3,51,0,,0,29,0,,0,210.0,70.0,163.0272000000005,115.77119999999992,86,28,0.016514,0.016514,1,-2.1966117647058923,-0.6862745098039216,1.0,0.00765684343074921,0.03707741680221498,0.013424547572979034,0.0132533319173783,0.09959369590962877,,,0.014034568769786334
lrc1e-4,tissuemnist,RegNetY400MF,L30_G30,4,51,0,,0,29,0,,0,182.0,108.0,154.17839999999995,103.86240000000039,105,28,0.016056,0.016056,1,-2.02310588235294,-1.0588235294117647,0.39540809104549235,0.16170618048232938,0.14768928591663702,0.10739872917693602,0.09800045032428875,0.007386617730966868,,,0.031758685797159646
lrc1e-4,dermmnist,RegNetY400MF,L50_G50,1,112,1,14.0,10,24,1,19.0,5,0.0,0.0,49.58451699999997,49.58451699999997,42,17,0.007413,0.006312,0,0.557281098214286,0.625,1.0,1.0,1.0000000000000002,1.0,0.9999999999999998,0.9999999999999997,1.0000000000000002,7.0,0.26961633589428047
lrc1e-4,dermmnist,RegNetY400MF,L50_G50,2,112,1,18.0,11,29,1,24.0,5,0.0,0.0,41.476372999999924,41.476372999999924,34,23,0.008477,0.007298,0,0.6296752410714292,0.6964285714285714,1.0,1.0,1.0000000000000002,1.0,1.0000000000000002,1.0,1.0000000000000002,6.0,0.18677566120000144
lrc1e-4,dermmnist,RegNetY400MF,L50_G50,3,112,1,16.0,10,26,1,21.0,5,0.0,0.0,36.1664200000001,36.1664200000001,28,19,0.007449,0.006131,0,0.6770855357142848,0.75,1.0,1.0,1.0000000000000002,1.0,1.0000000000000002,0.6955548516524125,1.0000000000000002,7.0,0.2269186166466274
lrc1e-4,dermmnist,RegNetY400MF,L50_G50,4,112,1,17.0,9,26,1,21.0,5,0.0,0.0,25.54050500000008,25.54050500000008,16,19,0.007456,0.005995,0,0.7719597767857136,0.8571428571428571,1.0,1.0,1.0,1.0,1.0,0.7178382187529643,1.0,7.0,0.14543848753709857
lrc1e-4,octmnist,RegNetY400MF,L50_G50,1,125,0,,0,29,0,,0,114.0,20.0,181.55700000000004,134.46099999999993,135,28,0.015889,0.015889,1,-0.45245600000000036,-0.08,0.28213589710276676,0.13885059076074768,0.12005565831226377,0.02100765134905371,0.12126976826833631,0.07289701856617223,,,0.03483951910849381
lrc1e-4,octmnist,RegNetY400MF,L50_G50,2,125,0,,0,29,1,2.0,5,76.0,0.0,162.17800000000003,82.45500000000001,111,28,0.008697,0.008697,1,-0.2974240000000002,0.112,0.5204870678161964,0.1248721096787393,0.2718489389111126,0.12354824231138738,0.01418684310094866,0.014113863744640376,,,0.036457513662674745
lrc1e-4,octmnist,RegNetY400MF,L50_G50,3,125,0,,0,29,1,2.0,2,158.0,0.0,210.84499999999997,117.95899999999999,115,28,0.013855,0.013855,1,-0.6867599999999998,0.08,0.18805752162678324,0.2803198534171135,0.2639060916563453,0.06793075695363368,0.11117933241408018,0.11769069564733592,,,0.004172015659150709
lrc1e-4,octmnist,RegNetY400MF,L50_G50,4,125,0,,0,29,0,,0,9.0,2.0,122.22099999999999,111.03999999999995,99,27,0.011981,0.011948,0,0.022232000000000085,0.208,0.1197695752530136,0.4445385055897209,0.29309479745013295,0.13386008503517882,0.1668922125169161,0.09223560506567896,,,0.026330903362796317
lrc1e-4,tissuemnist,RegNetY400MF,L50_G50,1,86,0,,0,29,0,,0,192.0,3.0,192.47600000000006,94.69519999999997,81,28,0.01144,0.01144,1,-1.2380930232558145,0.05813953488372093,0.025052582379059794,0.16129834122090014,0.08197714295894581,0.01848886832540987,0.13699240982168176,0.04546259620648562,,,0.011758363732451454
