Epoch,hard,soft,lam,sat,lg,cep,dataset,model,cap,seed
25,165,166.06,0.1,0,6.513082,24,tissuemnist,RegNetY400MF,L30_G30,2
30,316,310.51,0.11,0,9.960103,29,tissuemnist,RegNetY400MF,L30_G30,2
2,188,198.73,0.05,0,0.213954,1,octmnist,RegNetY400MF,L30_G30,4
5,180,187.29,0.06,0,0.607777,4,octmnist,RegNetY400MF,L30_G30,4
10,93,99.32,0.07,0,0.21213,9,octmnist,RegNetY400MF,L30_G30,4
15,151,153.85,0.08,0,1.93756,14,octmnist,RegNetY400MF,L30_G30,4
20,187,187.73,0.09,0,3.864789,19,octmnist,RegNetY400MF,L30_G30,4
25,186,181.96,0.1,0,5.227166,24,octmnist,RegNetY400MF,L30_G30,4
30,200,201.69,0.11,0,7.658709,29,octmnist,RegNetY400MF,L30_G30,4
2,216,216.11,0.05,0,0.227582,1,octmnist,RegNetY400MF,L30_G30,3
5,153,158.03,0.06,0,0.486685,4,octmnist,RegNetY400MF,L30_G30,3
10,126,130.62,0.07,0,0.758928,9,octmnist,RegNetY400MF,L30_G30,3
15,221,223.42,0.08,0,2.931378,14,octmnist,RegNetY400MF,L30_G30,3
20,149,150.18,0.09,0,2.800202,19,octmnist,RegNetY400MF,L30_G30,3
25,183,177.23,0.1,0,5.069741,24,octmnist,RegNetY400MF,L30_G30,3
30,142,145.32,0.11,0,4.847481,29,octmnist,RegNetY400MF,L30_G30,3
2,142,150.92,0.05,0,0.151675,1,octmnist,RegNetY400MF,L30_G30,1
5,209,201.43,0.06,0,0.649351,4,octmnist,RegNetY400MF,L30_G30,1
10,140,142.98,0.07,0,0.960359,9,octmnist,RegNetY400MF,L30_G30,1
15,162,163.41,0.08,0,2.144279,14,octmnist,RegNetY400MF,L30_G30,1
20,213,218.67,0.09,0,4.379494,19,octmnist,RegNetY400MF,L30_G30,1
25,180,178.4,0.1,0,5.109874,24,octmnist,RegNetY400MF,L30_G30,1
30,159,166.75,0.11,0,6.204234,29,octmnist,RegNetY400MF,L30_G30,1
2,183,195.96,0.05,0,0.211442,1,octmnist,RegNetY400MF,L30_G30,2
5,164,171.43,0.06,0,0.548867,4,octmnist,RegNetY400MF,L30_G30,2
10,241,240.31,0.07,0,1.75346,9,octmnist,RegNetY400MF,L30_G30,2
15,154,149.24,0.08,0,1.827783,14,octmnist,RegNetY400MF,L30_G30,2
20,129,131.02,0.09,0,2.0068,19,octmnist,RegNetY400MF,L30_G30,2
25,155,156.62,0.1,0,4.232004,24,octmnist,RegNetY400MF,L30_G30,2
30,146,147.68,0.11,0,5.017308,29,octmnist,RegNetY400MF,L30_G30,2
2,178,224.14,0.05,0,0.150168,1,dermmnist,RegNetY400MF,L50_G50,4
5,135,144.88,0.06,0,0.078612,4,dermmnist,RegNetY400MF,L50_G50,4
10,178,184.72,0.07,0,0.636738,9,dermmnist,RegNetY400MF,L50_G50,4
15,250,256.13,0.08,0,2.297651,14,dermmnist,RegNetY400MF,L50_G50,4
20,196,201.39,0.09,0,2.178772,19,dermmnist,RegNetY400MF,L50_G50,4
25,150,149.59,0.1,0,0.804851,24,dermmnist,RegNetY400MF,L50_G50,4
30,156,161.22,0.11,0,1.692114,29,dermmnist,RegNetY400MF,L50_G50,4
2,307,315.23,0.05,0,0.223994,1,dermmnist,RegNetY400MF,L50_G50,3
5,165,172.06,0.06,0,0.204976,4,dermmnist,RegNetY400MF,L50_G50,3
10,197,197.03,0.07,0,0.781543,9,dermmnist,RegNetY400MF,L50_G50,3
15,206,212.79,0.08,0,1.654313,14,dermmnist,RegNetY400MF,L50_G50,3
20,215,222.75,0.09,0,2.76247,19,dermmnist,RegNetY400MF,L50_G50,3
25,169,170.58,0.1,0,1.689735,24,dermmnist,RegNetY400MF,L50_G50,3
30,257,256.62,0.11,0,6.468711,29,dermmnist,RegNetY400MF,L50_G50,3
2,222,262.32,0.05,0,0.189406,1,dermmnist,RegNetY400MF,L50_G50,1
