dataset,model,cap,method,seed,nrows,max_ep0,ce_skip_in_cfg,path,epochs_run,dense,n_ce_off,ce_off_ep,nan_suffix,frac_ce_off,first_sat,train_acc_max,train_acc_final,tralo_would_gate
dermmnist,RegNetY400MF,L30_G30,fioretto_ldf,4,29,28,ABSENT->trainer default True,results/headroom/headroom_b30_lrc0.0001_noceskip/lane2/RegNetY400MF/dermmnist/L30_G30/fioretto_ldf/seed_4,29,True,16,14.0,True,0.5517241379310345,,,,
dermmnist,RegNetY400MF,L30_G30,hounie_rcl,1,29,28,ABSENT->trainer default True,results/headroom/headroom_b30_lrc0.0001_noceskip/lane2/RegNetY400MF/dermmnist/L30_G30/hounie_rcl/seed_1,29,True,8,22.0,True,0.27586206896551724,27.0,,,
dermmnist,RegNetY400MF,L30_G30,hounie_rcl,2,25,24,ABSENT->trainer default True,results/headroom/headroom_b30_lrc0.0001_noceskip/lane2/RegNetY400MF/dermmnist/L30_G30/hounie_rcl/seed_2,25,True,10,16.0,True,0.4,21.0,,,
dermmnist,RegNetY400MF,L30_G30,hounie_rcl,3,21,20,ABSENT->trainer default True,results/headroom/headroom_b30_lrc0.0001_noceskip/lane2/RegNetY400MF/dermmnist/L30_G30/hounie_rcl/seed_3,21,True,8,14.0,True,0.38095238095238093,17.0,,,
dermmnist,RegNetY400MF,L30_G30,hounie_rcl,4,26,25,ABSENT->trainer default True,results/headroom/headroom_b30_lrc0.0001_noceskip/lane2/RegNetY400MF/dermmnist/L30_G30/hounie_rcl/seed_4,26,True,11,16.0,True,0.4230769230769231,22.0,,,
dermmnist,RegNetY400MF,L30_G30,tralo,1,7,30,False,results/headroom/headroom_b30_lrc0.0001_noceskip/lane2/RegNetY400MF/dermmnist/L30_G30/tralo/seed_1,30,False,0,,False,0.0,,0.999,0.999,True
dermmnist,RegNetY400MF,L30_G30,tralo,2,7,30,False,results/headroom/headroom_b30_lrc0.0001_noceskip/lane2/RegNetY400MF/dermmnist/L30_G30/tralo/seed_2,30,False,0,,False,0.0,,0.998,0.998,True
dermmnist,RegNetY400MF,L30_G30,tralo,3,7,30,False,results/headroom/headroom_b30_lrc0.0001_noceskip/lane2/RegNetY400MF/dermmnist/L30_G30/tralo/seed_3,30,False,0,,False,0.0,,0.9981,0.9971,True
dermmnist,RegNetY400MF,L30_G30,tralo,4,7,30,False,results/headroom/headroom_b30_lrc0.0001_noceskip/lane2/RegNetY400MF/dermmnist/L30_G30/tralo/seed_4,30,False,0,,False,0.0,,0.9974,0.9958,True
octmnist,RegNetY400MF,L30_G30,fioretto_ldf,1,29,28,ABSENT->trainer default True,results/headroom/headroom_b30_lrc0.0001_noceskip/lane2/RegNetY400MF/octmnist/L30_G30/fioretto_ldf/seed_1,29,True,0,,False,0.0,,,,
