dataset,model,cap,seed,method,K,raw_count,max_epoch,log_rows,warmup,cep,AP,ccF1eq,k_used,TP,n_true,fill,AP_ce,ccF1eq_ce,TP_ce,raw_ce,AP_ce_lp,ccF1eq_ce_lp,TP_ce_lp,raw_ce_lp,dAP,dcc
dermmnist,RegNetY400MF,L50_G50,4,hounie_rcl,112,16,25.0,26,1,29,0.5026997410940586,0.46107784431137727,111,77,223,0.14285714285714285,0.7005271208528738,0.5508982035928144,92,182,0.7005271208528738,0.5508982035928144,92,182,-0.19782737975881526,-0.08982035928143711
dermmnist,RegNetY400MF,L50_G50,3,hounie_rcl,112,28,25.0,26,1,29,0.5308312386335917,0.46706586826347307,111,78,223,0.25,0.7020126218145958,0.5449101796407185,91,153,0.7020126218145958,0.5449101796407185,91,153,-0.17118138318100407,-0.07784431137724546
dermmnist,RegNetY400MF,L50_G50,1,hounie_rcl,112,42,23.0,24,1,29,0.5129203106947028,0.4550898203592814,111,76,223,0.375,0.7013511596879296,0.562874251497006,94,170,0.7013511596879296,0.562874251497006,94,170,-0.18843084899322682,-0.10778443113772457
dermmnist,RegNetY400MF,L50_G50,2,hounie_rcl,112,34,28.0,29,1,29,0.5211105933433501,0.46107784431137727,111,77,223,0.30357142857142855,0.640130894062552,0.5269461077844312,88,184,0.640130894062552,0.5269461077844312,88,184,-0.11902030071920189,-0.06586826347305391
dermmnist,RegNetY400MF,L50_G50,4,tralo,112,112,30.0,7,1,29,0.6757518935962892,0.5568862275449101,111,93,223,1.0,0.7005271208528738,0.5508982035928144,92,182,0.7005271208528738,0.5508982035928144,92,182,-0.024775227256584653,0.0059880239520957446
dermmnist,RegNetY400MF,L50_G50,3,tralo,112,116,30.0,7,1,29,0.630866696444342,0.5209580838323353,111,87,223,1.0357142857142858,0.7020126218145958,0.5449101796407185,91,153,0.7020126218145958,0.5449101796407185,91,153,-0.07114592537025377,-0.0239520958083832
dermmnist,RegNetY400MF,L50_G50,1,tralo,112,114,30.0,7,1,29,0.6470455530065607,0.5149700598802395,111,86,223,1.0178571428571428,0.7013511596879296,0.562874251497006,94,170,0.7013511596879296,0.562874251497006,94,170,-0.054305606681368856,-0.04790419161676651
dermmnist,RegNetY400MF,L50_G50,2,tralo,112,132,30.0,7,1,29,0.6200126260675138,0.5029940119760479,111,84,223,1.1785714285714286,0.640130894062552,0.5269461077844312,88,184,0.640130894062552,0.5269461077844312,88,184,-0.02011826799503813,-0.02395209580838331
dermmnist,RegNetY400MF,L50_G50,4,fioretto_ldf,112,99,18.0,19,1,29,0.5969347987551573,0.46706586826347307,111,78,223,0.8839285714285714,0.7005271208528738,0.5508982035928144,92,182,0.7005271208528738,0.5508982035928144,92,182,-0.10359232209771652,-0.08383233532934131
dermmnist,RegNetY400MF,L50_G50,3,fioretto_ldf,112,48,20.0,21,1,29,0.6050725719671165,0.5149700598802395,111,86,223,0.42857142857142855,0.7020126218145958,0.5449101796407185,91,153,0.7020126218145958,0.5449101796407185,91,153,-0.09694004984747928,-0.029940119760479056
