path,dataset,model,cap,method,seed,NCE,max_e_logged,rows,E_lit,maxrun_lit,n_sat_lit,E_inf,maxrun_inf,n_sat_inf,inferred_tail,early_stop,first_sat,sat_epoch_csv,final_sat_csv,flips,enable_ce_skip_cfg,n_sat_epochs_logged,sat_epochs_with_CE_off,sat_epochs_with_zero_cstr,sat_epochs_fully_frozen,ce_skip_first_e,cnt_min,cnt_max
results/headroom/headroom_b30_lrc5e-05/lane3/RegNetY400MF/dermmnist/L50_G50/hounie_rcl/seed_2,dermmnist,RegNetY400MF,L50_G50,hounie_rcl,2,29,28,28,28,5,5,28,5,5,False,True,24.0,24.0,1.0,78.0,ABSENT->default True,5,5,0,0,15.0,,
results/headroom/headroom_b30_lrc5e-05/lane3/RegNetY400MF/dermmnist/L50_G50/hounie_rcl/seed_3,dermmnist,RegNetY400MF,L50_G50,hounie_rcl,3,29,25,25,25,5,5,25,5,5,False,True,21.0,21.0,1.0,64.0,ABSENT->default True,5,5,0,0,16.0,,
results/headroom/headroom_b30_lrc5e-05/lane3/RegNetY400MF/dermmnist/L50_G50/hounie_rcl/seed_4,dermmnist,RegNetY400MF,L50_G50,hounie_rcl,4,29,24,24,24,5,5,24,5,5,False,True,20.0,20.0,1.0,68.0,ABSENT->default True,5,5,0,0,13.0,,
results/headroom/headroom_b30_lrc5e-05/lane3/RegNetY400MF/dermmnist/L50_G50/tralo/seed_1,dermmnist,RegNetY400MF,L50_G50,tralo,1,29,25,11,25,4,6,26,5,7,True,True,16.0,17.0,1.0,111.0,True,6,0,6,0,,0.0,663.0
results/headroom/headroom_b30_lrc5e-05/lane3/RegNetY400MF/dermmnist/L50_G50/tralo/seed_2,dermmnist,RegNetY400MF,L50_G50,tralo,2,29,23,10,23,4,6,24,5,7,True,True,14.0,15.0,1.0,111.0,True,6,0,6,0,,0.0,177.0
results/headroom/headroom_b30_lrc5e-05/lane3/RegNetY400MF/dermmnist/L50_G50/tralo/seed_3,dermmnist,RegNetY400MF,L50_G50,tralo,3,29,24,11,24,4,6,25,5,7,True,True,16.0,17.0,1.0,47.0,True,6,0,6,0,,23.0,559.0
results/headroom/headroom_b30_lrc5e-05/lane3/RegNetY400MF/dermmnist/L50_G50/tralo/seed_4,dermmnist,RegNetY400MF,L50_G50,tralo,4,29,23,11,23,4,6,24,5,7,True,True,15.0,16.0,1.0,111.0,True,6,0,5,0,,0.0,381.0
results/headroom/headroom_b30_lrc5e-05/lane3/RegNetY400MF/octmnist/L50_G50/fioretto_ldf/seed_1,octmnist,RegNetY400MF,L50_G50,fioretto_ldf,1,29,29,29,29,2,3,29,2,3,False,False,16.0,16.0,1.0,15.0,ABSENT->default True,3,2,3,2,26.0,,
results/headroom/headroom_b30_lrc5e-05/lane3/RegNetY400MF/octmnist/L50_G50/fioretto_ldf/seed_2,octmnist,RegNetY400MF,L50_G50,fioretto_ldf,2,29,29,29,29,2,2,29,2,2,False,False,28.0,28.0,1.0,19.0,ABSENT->default True,2,2,2,2,26.0,,
results/headroom/headroom_b30_lrc5e-05/lane3/RegNetY400MF/octmnist/L50_G50/fioretto_ldf/seed_3,octmnist,RegNetY400MF,L50_G50,fioretto_ldf,3,29,29,29,29,0,0,29,0,0,False,False,,,0.0,17.0,ABSENT->default True,0,0,0,0,29.0,,
results/headroom/headroom_b30_lrc5e-05/lane3/RegNetY400MF/octmnist/L50_G50/fioretto_ldf/seed_4,octmnist,RegNetY400MF,L50_G50,fioretto_ldf,4,29,29,29,29,0,0,29,0,0,False,False,,,0.0,17.0,ABSENT->default True,0,0,0,0,29.0,,
results/headroom/headroom_b30_lrc5e-05/lane3/RegNetY400MF/octmnist/L50_G50/hounie_rcl/seed_1,octmnist,RegNetY400MF,L50_G50,hounie_rcl,1,29,29,29,29,1,1,29,1,1,False,False,29.0,29.0,1.0,39.0,ABSENT->default True,1,1,0,0,26.0,,
results/headroom/headroom_b30_lrc5e-05/lane3/RegNetY400MF/octmnist/L50_G50/hounie_rcl/seed_2,octmnist,RegNetY400MF,L50_G50,hounie_rcl,2,29,29,29,29,5,5,29,5,5,False,False,25.0,25.0,1.0,93.0,ABSENT->default True,5,5,0,0,22.0,,
results/headroom/headroom_b30_lrc5e-05/lane3/RegNetY400MF/octmnist/L50_G50/hounie_rcl/seed_3,octmnist,RegNetY400MF,L50_G50,hounie_rcl,3,29,29,29,29,0,0,29,0,0,False,False,,,0.0,12.0,ABSENT->default True,0,0,0,0,,,
results/headroom/headroom_b30_lrc5e-05/lane3/RegNetY400MF/octmnist/L50_G50/hounie_rcl/seed_4,octmnist,RegNetY400MF,L50_G50,hounie_rcl,4,29,29,29,29,4,4,29,4,4,False,False,26.0,26.0,1.0,84.0,ABSENT->default True,4,4,0,0,26.0,,
results/headroom/headroom_b30_lrc5e-05/lane3/RegNetY400MF/octmnist/L50_G50/tralo/seed_1,octmnist,RegNetY400MF,L50_G50,tralo,1,29,29,7,29,1,1,29,1,1,False,False,29.0,30.0,1.0,41.0,True,1,0,1,0,,99.0,183.0
results/headroom/headroom_b30_lrc5e-05/lane3/RegNetY400MF/octmnist/L50_G50/tralo/seed_2,octmnist,RegNetY400MF,L50_G50,tralo,2,29,29,9,29,2,2,29,2,2,False,False,27.0,28.0,1.0,20.0,True,2,0,2,0,,105.0,736.0
results/headroom/headroom_b30_lrc5e-05/lane3/RegNetY400MF/octmnist/L50_G50/tralo/seed_3,octmnist,RegNetY400MF,L50_G50,tralo,3,29,29,7,29,0,0,29,0,0,False,False,,,0.0,10.0,True,0,0,0,0,,131.0,204.0
results/headroom/headroom_b30_lrc5e-05/lane3/RegNetY400MF/octmnist/L50_G50/tralo/seed_4,octmnist,RegNetY400MF,L50_G50,tralo,4,29,29,8,29,2,2,29,2,2,False,False,28.0,29.0,1.0,45.0,True,2,0,2,0,,80.0,194.0
results/headroom/headroom_b30_lrc5e-05/lane3/RegNetY400MF/tissuemnist/L50_G50/fioretto_ldf/seed_1,tissuemnist,RegNetY400MF,L50_G50,fioretto_ldf,1,29,29,29,29,0,0,29,0,0,False,False,,,0.0,36.0,ABSENT->default True,0,0,0,0,,,
results/headroom/headroom_b30_lrc5e-05/lane3/RegNetY400MF/tissuemnist/L50_G50/fioretto_ldf/seed_2,tissuemnist,RegNetY400MF,L50_G50,fioretto_ldf,2,29,29,29,29,0,0,29,0,0,False,False,,,0.0,34.0,ABSENT->default True,0,0,0,0,,,
results/headroom/headroom_b30_lrc5e-05/lane3/RegNetY400MF/tissuemnist/L50_G50/fioretto_ldf/seed_3,tissuemnist,RegNetY400MF,L50_G50,fioretto_ldf,3,29,29,29,29,0,0,29,0,0,False,False,,,0.0,32.0,ABSENT->default True,0,0,0,0,,,
results/headroom/headroom_b30_lrc5e-05/lane3/RegNetY400MF/tissuemnist/L50_G50/fioretto_ldf/seed_4,tissuemnist,RegNetY400MF,L50_G50,fioretto_ldf,4,29,29,29,29,0,0,29,0,0,False,False,,,0.0,21.0,ABSENT->default True,0,0,0,0,,,
results/headroom/headroom_b30_lrc5e-05/lane3/RegNetY400MF/tissuemnist/L50_G50/hounie_rcl/seed_1,tissuemnist,RegNetY400MF,L50_G50,hounie_rcl,1,29,29,29,29,0,0,29,0,0,False,False,,,0.0,18.0,ABSENT->default True,0,0,0,0,,,
results/headroom/headroom_b30_lrc5e-05/lane3/RegNetY400MF/tissuemnist/L50_G50/hounie_rcl/seed_2,tissuemnist,RegNetY400MF,L50_G50,hounie_rcl,2,29,29,29,29,0,0,29,0,0,False,False,,,0.0,40.0,ABSENT->default True,0,0,0,0,,,
results/headroom/headroom_b30_lrc5e-05/lane3/RegNetY400MF/tissuemnist/L50_G50/hounie_rcl/seed_3,tissuemnist,RegNetY400MF,L50_G50,hounie_rcl,3,29,29,29,29,0,0,29,0,0,False,False,,,0.0,32.0,ABSENT->default True,0,0,0,0,,,
results/headroom/headroom_b30_lrc5e-05/lane3/RegNetY400MF/tissuemnist/L50_G50/hounie_rcl/seed_4,tissuemnist,RegNetY400MF,L50_G50,hounie_rcl,4,29,29,29,29,0,0,29,0,0,False,False,,,0.0,35.0,ABSENT->default True,0,0,0,0,,,
results/headroom/headroom_b30_lrc5e-05/lane3/RegNetY400MF/tissuemnist/L50_G50/tralo/seed_1,tissuemnist,RegNetY400MF,L50_G50,tralo,1,29,29,7,29,0,0,29,0,0,False,False,,,0.0,39.0,True,0,0,0,0,,134.0,256.0
results/headroom/headroom_b30_lrc5e-05/lane3/RegNetY400MF/tissuemnist/L50_G50/tralo/seed_2,tissuemnist,RegNetY400MF,L50_G50,tralo,2,29,29,7,29,0,0,29,0,0,False,False,,,0.0,47.0,True,0,0,0,0,,133.0,214.0
results/headroom/headroom_b30_lrc5e-05/lane3/RegNetY400MF/tissuemnist/L50_G50/tralo/seed_3,tissuemnist,RegNetY400MF,L50_G50,tralo,3,29,29,7,29,0,0,29,0,0,False,False,,,0.0,32.0,True,0,0,0,0,,110.0,227.0
results/headroom/headroom_b30_lrc5e-05/lane3/RegNetY400MF/tissuemnist/L50_G50/tralo/seed_4,tissuemnist,RegNetY400MF,L50_G50,tralo,4,29,29,7,29,0,0,29,0,0,False,False,,,0.0,18.0,True,0,0,0,0,,131.0,231.0
