dataset,model,cap,seed,method,dir,n_log_rows,max_cep,excess_first,excess_last,excess_min,first_sat_cep,n_sat_rows,lam_last,ce_last,hard_first,hard_last,hard_min,soft_first,soft_last,soft_minus_hard_last,lam_max,tracc_last,tracc_first
octmnist,RegNetY400MF,L50_G50,2,hounie_rcl,results/headroom/headroom_b30_lrc0.0001_noceskip/lane3/RegNetY400MF/octmnist/L50_G50/hounie_rcl/seed_2,29,29.0,116.0,76.0,0.0,3.0,5,,0.014896,,,,,,,,,
octmnist,RegNetY400MF,L50_G50,4,tralo,results/headroom/headroom_b30_lrc0.0001_noceskip/lane3/RegNetY400MF/octmnist/L50_G50/tralo/seed_4,9,29.0,,,,7.0,4,0.06,0.017271,188.0,141.0,76.0,198.73,139.56,-1.4399999999999977,0.06,0.9937,0.823
octmnist,RegNetY400MF,L50_G50,3,tralo,results/headroom/headroom_b30_lrc0.0001_noceskip/lane3/RegNetY400MF/octmnist/L50_G50/tralo/seed_3,8,29.0,,,,3.0,1,0.05,0.018497,216.0,148.0,109.0,216.11,152.56,4.560000000000002,0.05,0.9939,0.8063
octmnist,RegNetY400MF,L50_G50,1,tralo,results/headroom/headroom_b30_lrc0.0001_noceskip/lane3/RegNetY400MF/octmnist/L50_G50/tralo/seed_1,8,29.0,,,,15.0,1,0.08,0.011734,142.0,255.0,110.0,150.92,251.94,-3.0600000000000023,0.08,0.9958,0.8193
octmnist,RegNetY400MF,L50_G50,2,tralo,results/headroom/headroom_b30_lrc0.0001_noceskip/lane3/RegNetY400MF/octmnist/L50_G50/tralo/seed_2,9,29.0,,,,6.0,3,0.06,0.023276,183.0,110.0,107.0,195.96,107.48,-2.519999999999996,0.06,0.9928,0.8204
octmnist,RegNetY400MF,L50_G50,4,fioretto_ldf,results/headroom/headroom_b30_lrc0.0001_noceskip/lane3/RegNetY400MF/octmnist/L50_G50/fioretto_ldf/seed_4,29,29.0,126.0,56.0,0.0,15.0,2,6.31548,0.017372,,,,,,,,,
octmnist,RegNetY400MF,L50_G50,3,fioretto_ldf,results/headroom/headroom_b30_lrc0.0001_noceskip/lane3/RegNetY400MF/octmnist/L50_G50/fioretto_ldf/seed_3,29,29.0,182.0,154.0,0.0,3.0,4,6.372962,0.019606,,,,,,,,,
octmnist,RegNetY400MF,L50_G50,1,fioretto_ldf,results/headroom/headroom_b30_lrc0.0001_noceskip/lane3/RegNetY400MF/octmnist/L50_G50/fioretto_ldf/seed_1,29,29.0,34.0,168.0,20.0,,0,8.872518,0.013149,,,,,,,,,
octmnist,RegNetY400MF,L50_G50,2,fioretto_ldf,results/headroom/headroom_b30_lrc0.0001_noceskip/lane3/RegNetY400MF/octmnist/L50_G50/fioretto_ldf/seed_2,29,29.0,116.0,66.0,0.0,26.0,1,5.80123,0.01794,,,,,,,,,
dermmnist,MobileNetV3,L30_G30,4,hounie_rcl,results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/dermmnist/L30_G30/hounie_rcl/seed_4,27,27.0,214.0,0.0,0.0,23.0,5,,,,,,,,,,,
dermmnist,MobileNetV3,L30_G30,3,hounie_rcl,results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/dermmnist/L30_G30/hounie_rcl/seed_3,22,22.0,402.0,0.0,0.0,18.0,5,,,,,,,,,,,
dermmnist,MobileNetV3,L30_G30,1,hounie_rcl,results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/dermmnist/L30_G30/hounie_rcl/seed_1,28,28.0,158.0,0.0,0.0,24.0,5,,,,,,,,,,,
dermmnist,MobileNetV3,L30_G30,2,hounie_rcl,results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/dermmnist/L30_G30/hounie_rcl/seed_2,29,29.0,146.0,0.0,0.0,25.0,5,,,,,,,,,,,
dermmnist,MobileNetV3,L30_G30,4,tralo,results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/dermmnist/L30_G30/tralo/seed_4,7,29.0,,,,,0,0.11,0.009167,174.0,109.0,72.0,211.61,109.99,0.9899999999999949,0.11,0.9971,0.8191
dermmnist,MobileNetV3,L30_G30,3,tralo,results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/dermmnist/L30_G30/tralo/seed_3,8,29.0,,,,12.0,1,0.07,0.013064,268.0,101.0,49.0,285.26,102.15,1.1500000000000057,0.07,0.9956,0.8274
dermmnist,MobileNetV3,L30_G30,1,tralo,results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/dermmnist/L30_G30/tralo/seed_1,7,29.0,,,,,0,0.11,0.010808,146.0,95.0,68.0,185.62,92.43,-2.569999999999993,0.11,0.996,0.8255
dermmnist,MobileNetV3,L30_G30,2,tralo,results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/dermmnist/L30_G30/tralo/seed_2,8,29.0,,,,5.0,1,0.06,0.007822,140.0,92.0,63.0,194.07,100.96,8.959999999999994,0.06,0.9968,0.826
dermmnist,MobileNetV3,L30_G30,4,fioretto_ldf,results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/dermmnist/L30_G30/fioretto_ldf/seed_4,23,23.0,214.0,0.0,0.0,19.0,5,9.962893,,,,,,,,,,
dermmnist,MobileNetV3,L30_G30,3,fioretto_ldf,results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/dermmnist/L30_G30/fioretto_ldf/seed_3,22,22.0,402.0,0.0,0.0,18.0,5,10.408058,,,,,,,,,,
dermmnist,MobileNetV3,L30_G30,1,fioretto_ldf,results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/dermmnist/L30_G30/fioretto_ldf/seed_1,26,26.0,158.0,0.0,0.0,22.0,5,10.463698,,,,,,,,,,
dermmnist,MobileNetV3,L30_G30,2,fioretto_ldf,results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/dermmnist/L30_G30/fioretto_ldf/seed_2,23,23.0,146.0,0.0,0.0,19.0,5,8.564764,,,,,,,,,,
tissuemnist,MobileNetV3,L30_G30,4,hounie_rcl,results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/tissuemnist/L30_G30/hounie_rcl/seed_4,29,29.0,0.0,122.0,0.0,1.0,2,,0.032616,,,,,,,,,
tissuemnist,MobileNetV3,L30_G30,3,hounie_rcl,results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/tissuemnist/L30_G30/hounie_rcl/seed_3,29,29.0,50.0,168.0,4.0,,0,,0.026111,,,,,,,,,
tissuemnist,MobileNetV3,L30_G30,1,hounie_rcl,results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/tissuemnist/L30_G30/hounie_rcl/seed_1,29,29.0,0.0,226.0,0.0,1.0,1,,0.026836,,,,,,,,,
tissuemnist,MobileNetV3,L30_G30,2,hounie_rcl,results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/tissuemnist/L30_G30/hounie_rcl/seed_2,29,29.0,406.0,184.0,58.0,,0,,0.024844,,,,,,,,,
tissuemnist,MobileNetV3,L30_G30,4,tralo,results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/tissuemnist/L30_G30/tralo/seed_4,8,29.0,,,,1.0,3,0.05,0.014856,25.0,141.0,25.0,159.77,146.23,5.22999999999999,0.05,0.9953,0.5954
tissuemnist,MobileNetV3,L30_G30,3,tralo,results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/tissuemnist/L30_G30/tralo/seed_3,9,29.0,,,,8.0,2,0.06,0.02691,76.0,121.0,30.0,168.82,123.71,2.7099999999999937,0.06,0.9914,0.5982
tissuemnist,MobileNetV3,L30_G30,1,tralo,results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/tissuemnist/L30_G30/tralo/seed_1,7,29.0,,,,1.0,1,0.05,0.027931,35.0,209.0,35.0,196.14,213.86,4.860000000000014,0.05,0.9905,0.5869
tissuemnist,MobileNetV3,L30_G30,2,tralo,results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/tissuemnist/L30_G30/tralo/seed_2,7,29.0,,,,,0,0.11,0.032971,254.0,107.0,84.0,329.39,105.8,-1.2000000000000028,0.11,0.9893,0.588
tissuemnist,MobileNetV3,L30_G30,4,fioretto_ldf,results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/tissuemnist/L30_G30/fioretto_ldf/seed_4,29,29.0,0.0,280.0,0.0,1.0,3,15.939243,0.04709,,,,,,,,,
tissuemnist,MobileNetV3,L30_G30,3,fioretto_ldf,results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/tissuemnist/L30_G30/fioretto_ldf/seed_3,29,29.0,50.0,44.0,0.0,24.0,1,15.221057,0.019214,,,,,,,,,
tissuemnist,MobileNetV3,L30_G30,1,fioretto_ldf,results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/tissuemnist/L30_G30/fioretto_ldf/seed_1,29,29.0,0.0,186.0,0.0,1.0,1,16.668755,0.025781,,,,,,,,,
tissuemnist,MobileNetV3,L30_G30,2,fioretto_ldf,results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/tissuemnist/L30_G30/fioretto_ldf/seed_2,29,29.0,406.0,260.0,9.0,,0,20.279484,0.035172,,,,,,,,,
octmnist,MobileNetV3,L30_G30,4,hounie_rcl,results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/octmnist/L30_G30/hounie_rcl/seed_4,29,29.0,111.0,139.0,41.0,,0,,,,,,,,,,,
octmnist,MobileNetV3,L30_G30,3,hounie_rcl,results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/octmnist/L30_G30/hounie_rcl/seed_3,29,29.0,321.0,209.0,33.0,,0,,0.012929,,,,,,,,,
octmnist,MobileNetV3,L30_G30,1,hounie_rcl,results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/octmnist/L30_G30/hounie_rcl/seed_1,29,29.0,335.0,207.0,5.0,,0,,,,,,,,,,,
octmnist,MobileNetV3,L30_G30,2,hounie_rcl,results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/octmnist/L30_G30/hounie_rcl/seed_2,29,29.0,59.0,123.0,15.0,,0,,,,,,,,,,,
octmnist,MobileNetV3,L30_G30,4,tralo,results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/octmnist/L30_G30/tralo/seed_4,7,29.0,,,,,0,0.11,0.022861,131.0,131.0,77.0,148.23,131.86,0.8600000000000136,0.11,0.9928,0.8363
octmnist,MobileNetV3,L30_G30,3,tralo,results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/octmnist/L30_G30/tralo/seed_3,7,29.0,,,,,0,0.11,0.016168,236.0,135.0,133.0,209.42,137.95,2.9499999999999886,0.11,0.9945,0.8393
octmnist,MobileNetV3,L30_G30,1,tralo,results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/octmnist/L30_G30/tralo/seed_1,8,29.0,,,,2.0,1,0.05,0.019466,243.0,125.0,42.0,208.91,131.46,6.460000000000008,0.05,0.9937,0.8354
octmnist,MobileNetV3,L30_G30,2,tralo,results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/octmnist/L30_G30/tralo/seed_2,8,29.0,,,,2.0,1,0.05,0.011245,105.0,213.0,55.0,151.14,211.64,-1.3600000000000136,0.05,0.9957,0.8377
octmnist,MobileNetV3,L30_G30,4,fioretto_ldf,results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/octmnist/L30_G30/fioretto_ldf/seed_4,29,29.0,111.0,0.0,0.0,29.0,1,12.819699,,,,,,,,,,
octmnist,MobileNetV3,L30_G30,3,fioretto_ldf,results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/octmnist/L30_G30/fioretto_ldf/seed_3,29,29.0,321.0,193.0,53.0,,0,13.152993,0.020758,,,,,,,,,
octmnist,MobileNetV3,L30_G30,1,fioretto_ldf,results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/octmnist/L30_G30/fioretto_ldf/seed_1,29,29.0,335.0,93.0,2.0,,0,13.142254,,,,,,,,,,
octmnist,MobileNetV3,L30_G30,2,fioretto_ldf,results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/octmnist/L30_G30/fioretto_ldf/seed_2,29,29.0,59.0,0.0,0.0,28.0,2,9.593503,,,,,,,,,,
