path,dataset,model,cap,method,seed,cls,n_pool,K_cfg,count_raw,E,max_e,inferred,nrows,n_sat,first_sat,n_down,s,sat_epoch_csv,restore_kind,gp_raw,K,key,klass
results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/dermmnist/L50_G50/fioretto_ldf/seed_4,dermmnist,MobileNetV3,L50_G50,fioretto_ldf,4,4,2003,,97,21,21,False,21,5,17.0,0,000000000000000011111,17.0,,0.5,112,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/dermmnist/L50_G50/fioretto_ldf/seed_4,LOCK_AND_HOLD
results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/dermmnist/L50_G50/hounie_rcl/seed_1,dermmnist,MobileNetV3,L50_G50,hounie_rcl,1,4,2003,,54,29,29,False,29,3,27.0,0,00000000000000000000000000111,27.0,,0.5,112,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/dermmnist/L50_G50/hounie_rcl/seed_1,SAT_THEN_DRIFT
results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/dermmnist/L50_G50/hounie_rcl/seed_2,dermmnist,MobileNetV3,L50_G50,hounie_rcl,2,4,2003,,71,29,29,False,29,4,26.0,0,00000000000000000000000001111,26.0,,0.5,112,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/dermmnist/L50_G50/hounie_rcl/seed_2,SAT_THEN_DRIFT
results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/dermmnist/L50_G50/hounie_rcl/seed_3,dermmnist,MobileNetV3,L50_G50,hounie_rcl,3,4,2003,,38,25,25,False,25,5,21.0,0,0000000000000000000011111,21.0,,0.5,112,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/dermmnist/L50_G50/hounie_rcl/seed_3,LOCK_AND_HOLD
results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/dermmnist/L50_G50/hounie_rcl/seed_4,dermmnist,MobileNetV3,L50_G50,hounie_rcl,4,4,2003,,52,28,28,False,28,6,8.0,1,0000000100000000000000011111,8.0,,0.5,112,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/dermmnist/L50_G50/hounie_rcl/seed_4,OSC_THEN_LOCK
results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/dermmnist/L50_G50/tralo/seed_1,dermmnist,MobileNetV3,L50_G50,tralo,1,4,2003,,80,29,29,False,13,6,3.0,6,00100000010000100100100010000,4.0,fully_satisfied,0.5,112,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/dermmnist/L50_G50/tralo/seed_1,SAT_THEN_DRIFT
results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/dermmnist/L50_G50/tralo/seed_2,dermmnist,MobileNetV3,L50_G50,tralo,2,4,2003,,95,29,29,False,16,10,2.0,8,01001001000100100100010011001,3.0,,0.5,112,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/dermmnist/L50_G50/tralo/seed_2,SAT_THEN_DRIFT
results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/dermmnist/L50_G50/tralo/seed_3,dermmnist,MobileNetV3,L50_G50,tralo,3,4,2003,,99,29,29,False,11,5,9.0,5,00000000100000100100010010000,10.0,,0.5,112,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/dermmnist/L50_G50/tralo/seed_3,SAT_THEN_DRIFT
results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/dermmnist/L50_G50/tralo/seed_4,dermmnist,MobileNetV3,L50_G50,tralo,4,4,2003,,66,29,29,False,14,7,3.0,7,00100100010010000101010000000,4.0,fully_satisfied,0.5,112,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/dermmnist/L50_G50/tralo/seed_4,SAT_THEN_DRIFT
results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/octmnist/L50_G50/fioretto_ldf/seed_1,octmnist,MobileNetV3,L50_G50,fioretto_ldf,1,2,1000,,108,29,29,False,29,6,2.0,4,01000000000000001100001100010,2.0,fully_satisfied,0.5,125,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/octmnist/L50_G50/fioretto_ldf/seed_1,SAT_THEN_DRIFT
