dataset,cap,model,seed,method,ep_max,warmup,cep,K,taken,count_raw,AP,ccF1adj,ccF1eq,macroEq,placeboF1,placeboAcc,path
tissuemnist,L30_G30,RegNetY400MF,2,hounie_rcl,28.0,1,29,51,51,101,0.41595866292658606,0.2972972972972973,0.2972972972972973,0.39990947208256344,0.4402966639185209,0.5684163301929116,results/headroom/headroom_b30_lrc0.0001_noceskip/lane2/RegNetY400MF/tissuemnist/L30_G30/hounie_rcl/seed_2
tissuemnist,L30_G30,RegNetY400MF,4,tralo,30.0,1,29,51,51,136,0.36359285552718557,0.2702702702702703,0.2702702702702703,0.4104444797216465,0.457778190239583,0.566621803499327,results/headroom/headroom_b30_lrc0.0001_noceskip/lane2/RegNetY400MF/tissuemnist/L30_G30/tralo/seed_4
tissuemnist,L30_G30,RegNetY400MF,3,tralo,30.0,1,29,51,51,111,0.4104309011286234,0.26126126126126126,0.26126126126126126,0.40949972362566733,0.45525756272747403,0.585464333781965,results/headroom/headroom_b30_lrc0.0001_noceskip/lane2/RegNetY400MF/tissuemnist/L30_G30/tralo/seed_3
tissuemnist,L30_G30,RegNetY400MF,1,tralo,30.0,1,29,51,51,105,0.3517354705612637,0.2702702702702703,0.2702702702702703,0.39547661531153033,0.4377128836015869,0.5545087483176312,results/headroom/headroom_b30_lrc0.0001_noceskip/lane2/RegNetY400MF/tissuemnist/L30_G30/tralo/seed_1
tissuemnist,L30_G30,RegNetY400MF,2,tralo,30.0,1,29,51,51,123,0.4170239495472287,0.26126126126126126,0.26126126126126126,0.40149016512146013,0.4484536872839352,0.5518169582772544,results/headroom/headroom_b30_lrc0.0001_noceskip/lane2/RegNetY400MF/tissuemnist/L30_G30/tralo/seed_2
tissuemnist,L30_G30,RegNetY400MF,4,fioretto_ldf,28.0,1,29,51,51,107,0.38487164601217827,0.2702702702702703,0.2702702702702703,0.41563952747503374,0.4638735467801584,0.5607895917451772,results/headroom/headroom_b30_lrc0.0001_noceskip/lane2/RegNetY400MF/tissuemnist/L30_G30/fioretto_ldf/seed_4
tissuemnist,L30_G30,RegNetY400MF,3,fioretto_ldf,28.0,1,29,51,51,78,0.4160321002580541,0.2882882882882883,0.2882882882882883,0.3888966292692315,0.4315456715834749,0.5787348586810229,results/headroom/headroom_b30_lrc0.0001_noceskip/lane2/RegNetY400MF/tissuemnist/L30_G30/fioretto_ldf/seed_3
tissuemnist,L30_G30,RegNetY400MF,1,fioretto_ldf,28.0,1,29,51,51,74,0.36602478743763034,0.23423423423423423,0.24324324324324326,0.4220430379136828,0.4738480827634762,0.5639300134589502,results/headroom/headroom_b30_lrc0.0001_noceskip/lane2/RegNetY400MF/tissuemnist/L30_G30/fioretto_ldf/seed_1
tissuemnist,L30_G30,RegNetY400MF,2,fioretto_ldf,28.0,1,29,51,51,101,0.41595866292658606,0.2972972972972973,0.2972972972972973,0.39990947208256344,0.4402966639185209,0.5684163301929116,results/headroom/headroom_b30_lrc0.0001_noceskip/lane2/RegNetY400MF/tissuemnist/L30_G30/fioretto_ldf/seed_2
octmnist,L30_G30,RegNetY400MF,4,hounie_rcl,28.0,1,29,75,75,94,0.7363880807584706,0.40615384615384614,0.40615384615384614,0.6973963865231367,0.8983845515487149,0.8973333333333333,results/headroom/headroom_b30_lrc0.0001_noceskip/lane2/RegNetY400MF/octmnist/L30_G30/hounie_rcl/seed_4
octmnist,L30_G30,RegNetY400MF,3,hounie_rcl,28.0,1,29,75,75,69,0.7309683404383006,0.37341772151898733,0.4123076923076923,0.6848567588736945,0.8747211010235855,0.8733333333333333,results/headroom/headroom_b30_lrc0.0001_noceskip/lane2/RegNetY400MF/octmnist/L30_G30/hounie_rcl/seed_3
octmnist,L30_G30,RegNetY400MF,1,hounie_rcl,28.0,1,29,75,75,107,0.7439418154228263,0.4246153846153846,0.4246153846153846,0.69349924138228,0.8812598279136769,0.88,results/headroom/headroom_b30_lrc0.0001_noceskip/lane2/RegNetY400MF/octmnist/L30_G30/hounie_rcl/seed_1
octmnist,L30_G30,RegNetY400MF,2,hounie_rcl,28.0,1,29,75,75,108,0.7354033173452216,0.40615384615384614,0.40615384615384614,0.6959558369892311,0.8943308662433643,0.8946666666666667,results/headroom/headroom_b30_lrc0.0001_noceskip/lane2/RegNetY400MF/octmnist/L30_G30/hounie_rcl/seed_2
octmnist,L30_G30,RegNetY400MF,4,tralo,30.0,1,29,75,75,89,0.7363577678094129,0.40615384615384614,0.40615384615384614,0.7122116177661988,0.9121185388174519,0.912,results/headroom/headroom_b30_lrc0.0001_noceskip/lane2/RegNetY400MF/octmnist/L30_G30/tralo/seed_4
octmnist,L30_G30,RegNetY400MF,3,tralo,30.0,1,29,75,75,126,0.7009144846064651,0.38769230769230767,0.38769230769230767,0.6868060638446836,0.8880911881185255,0.888,results/headroom/headroom_b30_lrc0.0001_noceskip/lane2/RegNetY400MF/octmnist/L30_G30/tralo/seed_3
octmnist,L30_G30,RegNetY400MF,1,tralo,30.0,1,29,75,75,121,0.7520266239331184,0.4246153846153846,0.4246153846153846,0.7206851747787016,0.9146483477443667,0.9146666666666666,results/headroom/headroom_b30_lrc0.0001_noceskip/lane2/RegNetY400MF/octmnist/L30_G30/tralo/seed_1
octmnist,L30_G30,RegNetY400MF,2,tralo,30.0,1,29,75,75,124,0.7160146073244622,0.4,0.4,0.6789038208157052,0.8671421023333767,0.868,results/headroom/headroom_b30_lrc0.0001_noceskip/lane2/RegNetY400MF/octmnist/L30_G30/tralo/seed_2
octmnist,L30_G30,RegNetY400MF,4,fioretto_ldf,28.0,1,29,75,75,127,0.7420239925268304,0.4123076923076923,0.4123076923076923,0.7072122274899808,0.9027984501049716,0.9026666666666666,results/headroom/headroom_b30_lrc0.0001_noceskip/lane2/RegNetY400MF/octmnist/L30_G30/fioretto_ldf/seed_4
octmnist,L30_G30,RegNetY400MF,3,fioretto_ldf,28.0,1,29,75,75,106,0.7169548360754253,0.39384615384615385,0.4,0.7011544069233411,0.9012860632748007,0.9013333333333333,results/headroom/headroom_b30_lrc0.0001_noceskip/lane2/RegNetY400MF/octmnist/L30_G30/fioretto_ldf/seed_3
octmnist,L30_G30,RegNetY400MF,1,fioretto_ldf,28.0,1,29,75,75,125,0.6941591535566026,0.39384615384615385,0.39384615384615385,0.6946376983280925,0.897485379737574,0.8973333333333333,results/headroom/headroom_b30_lrc0.0001_noceskip/lane2/RegNetY400MF/octmnist/L30_G30/fioretto_ldf/seed_1
octmnist,L30_G30,RegNetY400MF,2,fioretto_ldf,28.0,1,29,75,75,57,0.6921825660756759,0.34527687296416937,0.40615384615384614,0.6748218784147764,0.8544789588718219,0.8546666666666667,results/headroom/headroom_b30_lrc0.0001_noceskip/lane2/RegNetY400MF/octmnist/L30_G30/fioretto_ldf/seed_2
dermmnist,L50_G50,RegNetY400MF,4,hounie_rcl,25.0,1,29,112,111,16,0.5026997410940586,0.46107784431137727,0.46107784431137727,0.652774993303165,0.7152163369738642,0.8949438202247191,results/headroom/headroom_b30_lrc0.0001_noceskip/lane3/RegNetY400MF/dermmnist/L50_G50/hounie_rcl/seed_4
dermmnist,L50_G50,RegNetY400MF,3,hounie_rcl,25.0,1,29,112,111,28,0.5308312386335917,0.46706586826347307,0.46706586826347307,0.6878995980902278,0.7499290234109169,0.897191011235955,results/headroom/headroom_b30_lrc0.0001_noceskip/lane3/RegNetY400MF/dermmnist/L50_G50/hounie_rcl/seed_3
dermmnist,L50_G50,RegNetY400MF,1,hounie_rcl,23.0,1,29,112,111,42,0.5129203106947028,0.4550898203592814,0.4550898203592814,0.5938830807998067,0.6640672813103495,0.8612359550561798,results/headroom/headroom_b30_lrc0.0001_noceskip/lane3/RegNetY400MF/dermmnist/L50_G50/hounie_rcl/seed_1
dermmnist,L50_G50,RegNetY400MF,2,hounie_rcl,28.0,1,29,112,111,34,0.5211105933433501,0.46107784431137727,0.46107784431137727,0.6851637832017671,0.7524893647258986,0.8960674157303371,results/headroom/headroom_b30_lrc0.0001_noceskip/lane3/RegNetY400MF/dermmnist/L50_G50/hounie_rcl/seed_2
dermmnist,L50_G50,RegNetY400MF,4,tralo,30.0,1,29,112,111,112,0.6757518935962892,0.5568862275449101,0.5568862275449101,0.7237228544736592,0.7792283100979857,0.9112359550561798,results/headroom/headroom_b30_lrc0.0001_noceskip/lane3/RegNetY400MF/dermmnist/L50_G50/tralo/seed_4
dermmnist,L50_G50,RegNetY400MF,3,tralo,30.0,1,29,112,111,116,0.630866696444342,0.5269461077844312,0.5209580838323353,0.6343020630676904,0.6830572628385053,0.8938202247191012,results/headroom/headroom_b30_lrc0.0001_noceskip/lane3/RegNetY400MF/dermmnist/L50_G50/tralo/seed_3
dermmnist,L50_G50,RegNetY400MF,1,tralo,30.0,1,29,112,111,114,0.6470455530065607,0.5149700598802395,0.5149700598802395,0.7192927707375489,0.7845243488096063,0.9101123595505618,results/headroom/headroom_b30_lrc0.0001_noceskip/lane3/RegNetY400MF/dermmnist/L50_G50/tralo/seed_1
dermmnist,L50_G50,RegNetY400MF,2,tralo,30.0,1,29,112,111,132,0.6200126260675138,0.5029940119760479,0.5029940119760479,0.7106074080877033,0.7658857066612721,0.9084269662921348,results/headroom/headroom_b30_lrc0.0001_noceskip/lane3/RegNetY400MF/dermmnist/L50_G50/tralo/seed_2
dermmnist,L50_G50,RegNetY400MF,4,fioretto_ldf,18.0,1,29,112,111,99,0.5969347987551573,0.46706586826347307,0.46706586826347307,0.7014275466195878,0.7736074125393011,0.9095505617977528,results/headroom/headroom_b30_lrc0.0001_noceskip/lane3/RegNetY400MF/dermmnist/L50_G50/fioretto_ldf/seed_4
dermmnist,L50_G50,RegNetY400MF,3,fioretto_ldf,20.0,1,29,112,111,48,0.6050725719671165,0.5149700598802395,0.5149700598802395,0.6656308157008687,0.728174455530758,0.8882022471910113,results/headroom/headroom_b30_lrc0.0001_noceskip/lane3/RegNetY400MF/dermmnist/L50_G50/fioretto_ldf/seed_3
