path,dataset,model,cap,method,seed,warmup,cepochs,sct,ce_skip_cfg,n_rows,n_repeat_hdr,max_e,first_e,E,inferred_tail,n_sat,first_sat,n_down,held_tail,n_local_groups,ex_first,ex_min,sat_epoch_csv,sat_epoch_present,sat_epoch_raw,min_total_excess,min_excess_epoch,best_sat_epoch,restored_from,off_sched_unsat,off_sched_sat,missing_sched,obs_frac
results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/tissuemnist/L50_G50/fioretto_ldf/seed_2,tissuemnist,MobileNetV3,L50_G50,fioretto_ldf,2,1,29,ABSENT(5),ABSENT(True),29,0,29,1,29,False,2,11.0,2,False,,336.0,0.0,11.0,True,11,0.0,11.0,,23.0,0,0,0,1.0
results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/tissuemnist/L50_G50/fioretto_ldf/seed_3,tissuemnist,MobileNetV3,L50_G50,fioretto_ldf,3,1,29,ABSENT(5),ABSENT(True),29,0,29,1,29,False,5,1.0,3,False,,0.0,0.0,1.0,True,1,0.0,1.0,,19.0,0,0,0,1.0
results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/tissuemnist/L50_G50/fioretto_ldf/seed_4,tissuemnist,MobileNetV3,L50_G50,fioretto_ldf,4,1,29,ABSENT(5),ABSENT(True),29,0,29,1,29,False,5,1.0,2,False,,0.0,0.0,1.0,True,1,0.0,1.0,,11.0,0,0,0,1.0
results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/tissuemnist/L50_G50/hounie_rcl/seed_1,tissuemnist,MobileNetV3,L50_G50,hounie_rcl,1,1,29,ABSENT(5),ABSENT(True),29,0,29,1,29,False,1,1.0,1,False,,0.0,0.0,1.0,True,1,0.0,1.0,,1.0,0,0,0,1.0
results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/tissuemnist/L50_G50/hounie_rcl/seed_2,tissuemnist,MobileNetV3,L50_G50,hounie_rcl,2,1,29,ABSENT(5),ABSENT(True),29,0,29,1,29,False,0,,0,False,,336.0,2.0,,True,,2.0,26.0,,26.0,0,0,0,1.0
results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/tissuemnist/L50_G50/hounie_rcl/seed_3,tissuemnist,MobileNetV3,L50_G50,hounie_rcl,3,1,29,ABSENT(5),ABSENT(True),29,0,29,1,29,False,6,1.0,3,False,,0.0,0.0,1.0,True,1,0.0,1.0,,14.0,0,0,0,1.0
results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/tissuemnist/L50_G50/hounie_rcl/seed_4,tissuemnist,MobileNetV3,L50_G50,hounie_rcl,4,1,29,ABSENT(5),ABSENT(True),29,0,29,1,29,False,4,1.0,2,False,,0.0,0.0,1.0,True,1,0.0,1.0,,21.0,0,0,0,1.0
results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/tissuemnist/L50_G50/tralo/seed_1,tissuemnist,MobileNetV3,L50_G50,tralo,1,1,29,ABSENT(5),False,7,0,29,1,29,False,2,1.0,2,False,2.0,0.0,0.0,2.0,True,2,0.0,2.0,,5.0,0,0,0,0.2413793103448276
results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/tissuemnist/L50_G50/tralo/seed_2,tissuemnist,MobileNetV3,L50_G50,tralo,2,1,29,ABSENT(5),False,8,0,29,1,29,False,2,4.0,2,False,2.0,336.0,0.0,5.0,True,5,0.0,5.0,,28.0,0,1,0,0.27586206896551724
results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/tissuemnist/L50_G50/tralo/seed_3,tissuemnist,MobileNetV3,L50_G50,tralo,3,1,29,ABSENT(5),False,4,0,4,1,5,True,5,1.0,0,True,2.0,0.0,0.0,2.0,True,2.0,0.0,2.0,,,0,2,0,0.13793103448275862
results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/tissuemnist/L50_G50/tralo/seed_4,tissuemnist,MobileNetV3,L50_G50,tralo,4,1,29,ABSENT(5),False,9,0,29,1,29,False,5,1.0,2,False,2.0,0.0,0.0,2.0,True,2,0.0,2.0,,15.0,0,2,0,0.3103448275862069
results/headroom/headroom_b30_lrc0.0001_noceskip/lane2/RegNetY400MF/dermmnist/L30_G30/fioretto_ldf/seed_1,dermmnist,RegNetY400MF,L30_G30,fioretto_ldf,1,1,29,ABSENT(5),ABSENT(True),21,0,21,1,21,False,5,17.0,0,True,,310.0,0.0,17.0,True,17.0,0.0,17.0,,,0,0,0,0.7241379310344828
results/headroom/headroom_b30_lrc0.0001_noceskip/lane2/RegNetY400MF/dermmnist/L30_G30/fioretto_ldf/seed_2,dermmnist,RegNetY400MF,L30_G30,fioretto_ldf,2,1,29,ABSENT(5),ABSENT(True),19,0,19,1,19,False,5,15.0,0,True,,210.0,0.0,15.0,True,15.0,0.0,15.0,,,0,0,0,0.6551724137931034
results/headroom/headroom_b30_lrc0.0001_noceskip/lane2/RegNetY400MF/dermmnist/L30_G30/fioretto_ldf/seed_3,dermmnist,RegNetY400MF,L30_G30,fioretto_ldf,3,1,29,ABSENT(5),ABSENT(True),20,0,20,1,20,False,5,16.0,0,True,,480.0,0.0,16.0,True,16.0,0.0,16.0,,,0,0,0,0.6896551724137931
results/headroom/headroom_b30_lrc0.0001_noceskip/lane2/RegNetY400MF/dermmnist/L30_G30/fioretto_ldf/seed_4,dermmnist,RegNetY400MF,L30_G30,fioretto_ldf,4,1,29,ABSENT(5),ABSENT(True),29,0,29,1,29,False,0,,0,False,,222.0,2.0,,True,,2.0,16.0,,,0,0,0,1.0
