method,dataset,backbone,cap,seed,ce_skip,max_epoch,n_rows,n_nan,first_nan,ce_col,missing
hounie_rcl,dermmnist,MobileNetV3,L30_G30,3,UNSET,21.0,22,12,10.0,ce_loss,False
hounie_rcl,dermmnist,MobileNetV3,L30_G30,1,UNSET,27.0,28,15,13.0,ce_loss,False
hounie_rcl,dermmnist,MobileNetV3,L30_G30,2,UNSET,28.0,29,11,18.0,ce_loss,False
tralo,dermmnist,MobileNetV3,L30_G30,4,False,30.0,7,0,,L_CE,False
tralo,dermmnist,MobileNetV3,L30_G30,3,False,30.0,8,0,,L_CE,False
tralo,dermmnist,MobileNetV3,L30_G30,1,False,30.0,7,0,,L_CE,False
tralo,dermmnist,MobileNetV3,L30_G30,2,False,30.0,8,0,,L_CE,False
fioretto_ldf,dermmnist,MobileNetV3,L30_G30,4,UNSET,22.0,23,7,16.0,ce_loss,False
fioretto_ldf,dermmnist,MobileNetV3,L30_G30,3,UNSET,21.0,22,8,14.0,ce_loss,False
fioretto_ldf,dermmnist,MobileNetV3,L30_G30,1,UNSET,25.0,26,7,19.0,ce_loss,False
fioretto_ldf,dermmnist,MobileNetV3,L30_G30,2,UNSET,22.0,23,9,14.0,ce_loss,False
hounie_rcl,tissuemnist,MobileNetV3,L30_G30,4,UNSET,28.0,29,0,,ce_loss,False
hounie_rcl,tissuemnist,MobileNetV3,L30_G30,3,UNSET,28.0,29,0,,ce_loss,False
hounie_rcl,tissuemnist,MobileNetV3,L30_G30,1,UNSET,28.0,29,0,,ce_loss,False
hounie_rcl,tissuemnist,MobileNetV3,L30_G30,2,UNSET,28.0,29,0,,ce_loss,False
tralo,tissuemnist,MobileNetV3,L30_G30,4,False,30.0,8,0,,L_CE,False
tralo,tissuemnist,MobileNetV3,L30_G30,3,False,30.0,9,0,,L_CE,False
tralo,tissuemnist,MobileNetV3,L30_G30,1,False,30.0,7,0,,L_CE,False
tralo,tissuemnist,MobileNetV3,L30_G30,2,False,30.0,7,0,,L_CE,False
fioretto_ldf,tissuemnist,MobileNetV3,L30_G30,4,UNSET,28.0,29,0,,ce_loss,False
fioretto_ldf,tissuemnist,MobileNetV3,L30_G30,3,UNSET,28.0,29,0,,ce_loss,False
fioretto_ldf,tissuemnist,MobileNetV3,L30_G30,1,UNSET,28.0,29,0,,ce_loss,False
fioretto_ldf,tissuemnist,MobileNetV3,L30_G30,2,UNSET,28.0,29,0,,ce_loss,False
hounie_rcl,octmnist,MobileNetV3,L30_G30,4,UNSET,28.0,29,2,27.0,ce_loss,False
hounie_rcl,octmnist,MobileNetV3,L30_G30,3,UNSET,28.0,29,0,,ce_loss,False
hounie_rcl,octmnist,MobileNetV3,L30_G30,1,UNSET,28.0,29,1,28.0,ce_loss,False
hounie_rcl,octmnist,MobileNetV3,L30_G30,2,UNSET,28.0,29,1,28.0,ce_loss,False
tralo,octmnist,MobileNetV3,L30_G30,4,False,30.0,7,0,,L_CE,False
tralo,octmnist,MobileNetV3,L30_G30,3,False,30.0,7,0,,L_CE,False
tralo,octmnist,MobileNetV3,L30_G30,1,False,30.0,8,0,,L_CE,False
tralo,octmnist,MobileNetV3,L30_G30,2,False,30.0,8,0,,L_CE,False
fioretto_ldf,octmnist,MobileNetV3,L30_G30,4,UNSET,28.0,29,5,24.0,ce_loss,False
fioretto_ldf,octmnist,MobileNetV3,L30_G30,3,UNSET,28.0,29,0,,ce_loss,False
fioretto_ldf,octmnist,MobileNetV3,L30_G30,1,UNSET,28.0,29,1,28.0,ce_loss,False
fioretto_ldf,octmnist,MobileNetV3,L30_G30,2,UNSET,28.0,29,4,25.0,ce_loss,False
