path,model,constraint,learning_rate,lambda_strategy,lambda_global,lambda_local,lambda_step,batch_size,warmup_epochs,max_epochs,constraint_threshold,status,converged,final_epoch,global_constraint_satisfied,local_constraint_satisfied,test_accuracy,details
FTTransformer/constraint_0.9_0.8/lr_lambda_test/lr_0.0001_lambda_transfer,FTTransformer,0.9_0.8,0.0001,transfer,0.1,0.1,0.005,64,50,1000,0.02,converged,True,96,True,True,0.7217,Both constraints satisfied at epoch 96
FTTransformer/constraint_0.9_0.8/lr_lambda_test/lr_0.0005_lambda_balanced,FTTransformer,0.9_0.8,0.0005,balanced,0.1,0.1,0.005,64,50,1000,0.02,converged,True,84,True,True,0.7127,"Converged at epoch 84. Global loss: 0.011992, Local loss: 0.044517"
FTTransformer/constraint_0.9_0.8/lr_lambda_test/lr_0.0005_lambda_combined,FTTransformer,0.9_0.8,0.0005,combined,0.1,0.1,0.005,64,50,1000,0.02,converged,True,84,True,True,0.7172,"Converged at epoch 84. Global loss: 0.024137, Local loss: 0.064675"
FTTransformer/constraint_0.9_0.8/lr_lambda_test/lr_0.0005_lambda_linear,FTTransformer,0.9_0.8,0.0005,linear,0.1,0.1,0.005,64,50,1000,0.02,converged,True,89,True,True,0.724,"Converged at epoch 89. Global loss: 0.011410, Local loss: 0.074671"
FTTransformer/constraint_0.9_0.8/lr_lambda_test/lr_0.0005_lambda_transfer,FTTransformer,0.9_0.8,0.0005,transfer,0.1,0.1,0.005,64,50,1000,0.02,converged,True,86,True,True,0.7149,"Converged at epoch 86. Global loss: 0.012880, Local loss: 0.056627"
FTTransformer/constraint_0.9_0.8/lr_lambda_test/lr_0.001_lambda_balanced,FTTransformer,0.9_0.8,0.001,balanced,0.1,0.1,0.005,64,50,1000,0.02,converged,True,101,True,True,0.7014,"Converged at epoch 101. Global loss: 0.007116, Local loss: 0.037760"
FTTransformer/constraint_0.9_0.8/lr_lambda_test/lr_0.001_lambda_combined,FTTransformer,0.9_0.8,0.001,combined,0.1,0.1,0.005,64,50,1000,0.02,converged,True,86,True,True,0.7059,"Converged at epoch 86. Global loss: 0.009954, Local loss: 0.047625"
FTTransformer/constraint_0.9_0.8/lr_lambda_test/lr_0.001_lambda_linear,FTTransformer,0.9_0.8,0.001,linear,0.1,0.1,0.005,64,50,1000,0.02,converged,True,108,True,True,0.7195,"Converged at epoch 108. Global loss: 0.008792, Local loss: 0.029517"
FTTransformer/constraint_0.9_0.8/lr_lambda_test/lr_0.001_lambda_transfer,FTTransformer,0.9_0.8,0.001,transfer,0.1,0.1,0.005,64,50,1000,0.02,converged,True,92,True,True,0.7149,"Converged at epoch 92. Global loss: 0.006950, Local loss: 0.048780"
FTTransformer/constraint_0.9_0.8/lr_lambda_test/lr_5e-05_lambda_balanced,FTTransformer,0.9_0.8,5e-05,balanced,0.1,0.1,0.005,64,50,1000,0.02,converged,True,105,True,True,0.7104,"Converged at epoch 105. Global loss: 0.005898, Local loss: 0.031219"
FTTransformer/constraint_0.9_0.8/lr_lambda_test/lr_5e-05_lambda_combined,FTTransformer,0.9_0.8,5e-05,combined,0.1,0.1,0.005,64,50,1000,0.02,converged,True,95,True,True,0.7081,"Converged at epoch 95. Global loss: 0.008659, Local loss: 0.073016"
