ds,tight,method,seed,F1m,Acc,ECE,Brier,Flips,Sat%,SatEp,Time
dermmnist,L50_G50,heuristic,1,0.7576,0.8582,0.1047,0.2319,85.0,0.0,,0.4748
dermmnist,L50_G50,heuristic,2,0.7337,0.8522,0.108,0.2387,88.0,0.0,,0.4851
dermmnist,L50_G50,heuristic,3,0.7682,0.8677,0.0908,0.2199,97.0,0.0,,0.4827
dermmnist,L50_G50,heuristic,4,0.7291,0.8542,0.1012,0.2354,100.0,0.0,,0.3191
dermmnist,L50_G50,hounie_rcl,1,0.7562,0.8612,0.115,0.2542,23.0,1.0,49.0,46.5143
dermmnist,L50_G50,hounie_rcl,2,0.7546,0.8582,0.1222,0.2609,19.0,1.0,50.0,47.4237
dermmnist,L50_G50,hounie_rcl,3,0.7826,0.8667,0.1094,0.2463,21.0,1.0,38.0,38.107
dermmnist,L50_G50,hounie_rcl,4,0.7631,0.8642,0.1134,0.2504,15.0,1.0,41.0,40.4585
dermmnist,L50_G50,tralo,1,0.7649,0.8642,0.1074,0.2412,3.0,1.0,63.0,235.4295
dermmnist,L50_G50,tralo,2,0.7598,0.8592,0.1194,0.2549,0.0,1.0,63.0,165.1423
dermmnist,L50_G50,tralo,3,0.7707,0.8627,0.1086,0.2393,8.0,1.0,62.0,29.5569
dermmnist,L50_G50,tralo,4,0.7628,0.8637,0.1123,0.2445,5.0,1.0,60.0,18.275
dermmnist,L50_G50,tralo_bounded,1,0.7633,0.8642,0.1072,0.2418,7.0,0.0,,61.563
dermmnist,L50_G50,tralo_bounded,2,0.7539,0.8577,0.1185,0.2562,10.0,1.0,63.0,16.808
dermmnist,L50_G50,tralo_bounded,3,0.779,0.8662,0.1079,0.2416,17.0,1.0,62.0,16.018
dermmnist,L50_G50,tralo_bounded,4,0.7603,0.8627,0.1128,0.2451,6.0,1.0,60.0,14.9779
dermmnist,L70_G70,danits_lp,1,0.7767,0.8672,0.1047,0.2319,40.0,0.0,,0.5149
dermmnist,L70_G70,danits_lp,2,0.7499,0.8587,0.108,0.2387,43.0,0.0,,0.5177
dermmnist,L70_G70,danits_lp,3,0.7776,0.8712,0.0908,0.2199,52.0,0.0,,0.5178
dermmnist,L70_G70,danits_lp,4,0.7524,0.8637,0.1012,0.2354,55.0,0.0,,0.4043
dermmnist,L70_G70,fioretto_ldf,1,0.7826,0.8707,0.0986,0.2231,7.0,1.0,8.0,13.3035
dermmnist,L70_G70,fioretto_ldf,2,0.7837,0.8717,0.1048,0.231,19.0,1.0,8.0,12.883
dermmnist,L70_G70,fioretto_ldf,3,0.7921,0.8707,0.0991,0.2211,9.0,1.0,8.0,12.8794
dermmnist,L70_G70,fioretto_ldf,4,0.791,0.8757,0.0989,0.2249,13.0,1.0,7.0,12.1389
dermmnist,L70_G70,heuristic,1,0.7762,0.8672,0.1047,0.2319,40.0,0.0,,0.4878
dermmnist,L70_G70,heuristic,2,0.7503,0.8592,0.108,0.2387,43.0,0.0,,0.4718
dermmnist,L70_G70,heuristic,3,0.7776,0.8712,0.0908,0.2199,52.0,0.0,,0.4696
dermmnist,L70_G70,heuristic,4,0.7529,0.8637,0.1012,0.2354,55.0,0.0,,0.3527
dermmnist,L70_G70,hounie_rcl,1,0.7831,0.8707,0.0986,0.224,9.0,1.0,44.0,42.4768
dermmnist,L70_G70,hounie_rcl,2,0.7747,0.8697,0.1063,0.2331,19.0,1.0,38.0,38.1594
dermmnist,L70_G70,hounie_rcl,3,0.7955,0.8732,0.1004,0.2244,24.0,1.0,38.0,38.2467
dermmnist,L70_G70,hounie_rcl,4,0.7885,0.8752,0.1004,0.225,16.0,1.0,46.0,43.9807
dermmnist,L70_G70,tralo,1,0.7854,0.8722,0.0995,0.224,2.0,1.0,57.0,50.0213
dermmnist,L70_G70,tralo,2,0.7829,0.8722,0.1032,0.2303,2.0,1.0,57.0,236.0978
dermmnist,L70_G70,tralo,3,0.7916,0.8702,0.0973,0.221,7.0,1.0,58.0,21.3621
dermmnist,L70_G70,tralo,4,0.7938,0.8782,0.0965,0.2196,6.0,1.0,57.0,20.2965
dermmnist,L70_G70,tralo_bounded,1,0.7823,0.8702,0.0981,0.2228,5.0,1.0,57.0,12.8733
dermmnist,L70_G70,tralo_bounded,2,0.779,0.8717,0.1054,0.2303,14.0,1.0,57.0,12.8838
dermmnist,L70_G70,tralo_bounded,3,0.7925,0.8712,0.0983,0.2202,9.0,0.0,,59.4411
dermmnist,L70_G70,tralo_bounded,4,0.7885,0.8752,0.0996,0.2243,10.0,1.0,56.0,12.0832
dermmnist,L80_G80,danits_lp,1,0.7808,0.8672,0.1047,0.2319,18.0,0.0,,0.5192
dermmnist,L80_G80,danits_lp,2,0.7531,0.8607,0.108,0.2387,21.0,0.0,,0.5162
dermmnist,L80_G80,danits_lp,3,0.7782,0.8717,0.0908,0.2199,30.0,0.0,,0.5173
dermmnist,L80_G80,danits_lp,4,0.7548,0.8637,0.1012,0.2354,35.0,0.0,,0.3434
dermmnist,L80_G80,fioretto_ldf,1,0.7877,0.8737,0.0959,0.2214,15.0,1.0,6.0,10.745
