ds,model,cls,grp,tight,L,G,method,seed,f1m,f1w,acc,ece,brier,flips,sat,sat_epoch,phase
aider,MobileNetV3,0,synth_group,L50_G50,50,50,hounie_rcl,3,0.8819,0.9343,0.9412,0.0852,0.1698,42.0,1.0,54.0,paperv2_phase1
aider,MobileNetV3,0,synth_group,L50_G50,50,50,hounie_rcl,4,0.8721,0.9309,0.9387,0.0773,0.1602,38.0,1.0,89.0,paperv2_phase1
aider,MobileNetV3,0,synth_group,L50_G50,50,50,tralo,1,0.8811,0.9347,0.9412,0.0509,0.1026,0.0,1.0,74.0,paperv2_phase1
aider,MobileNetV3,0,synth_group,L50_G50,50,50,tralo,2,0.8855,0.9373,0.9437,0.0495,0.1043,0.0,1.0,65.0,paperv2_phase1
aider,MobileNetV3,0,synth_group,L50_G50,50,50,tralo,3,0.8887,0.9398,0.9462,0.0466,0.0976,0.0,1.0,64.0,paperv2_phase1
aider,MobileNetV3,0,synth_group,L50_G50,50,50,tralo,4,0.8915,0.9414,0.9479,0.0472,0.0956,0.0,1.0,69.0,paperv2_phase1
aider,MobileNetV3,0,synth_group,L50_G50,50,50,tralo_bounded,1,0.8783,0.933,0.9395,0.0569,0.1188,7.0,1.0,74.0,paperv2_phase1
aider,MobileNetV3,0,synth_group,L50_G50,50,50,tralo_bounded,2,0.8841,0.9364,0.9429,0.0516,0.1092,5.0,0.0,,paperv2_phase1
aider,MobileNetV3,0,synth_group,L50_G50,50,50,tralo_bounded,3,0.8901,0.9406,0.9471,0.053,0.1106,14.0,1.0,64.0,paperv2_phase1
aider,MobileNetV3,0,synth_group,L50_G50,50,50,tralo_bounded,4,0.8922,0.9406,0.9471,0.0515,0.1061,7.0,0.0,,paperv2_phase1
aider,MobileNetV3,0,synth_group,L70_G70,70,70,danits_lp,1,0.9311,0.9627,0.9647,0.0134,0.0309,40.0,0.0,,expansion_aider_baselines
aider,MobileNetV3,0,synth_group,L70_G70,70,70,danits_lp,2,0.9337,0.9651,0.9672,0.0123,0.0225,32.0,0.0,,expansion_aider_baselines
aider,MobileNetV3,0,synth_group,L70_G70,70,70,danits_lp,3,0.9337,0.9643,0.9664,0.0101,0.0206,32.0,0.0,,expansion_aider_baselines
aider,MobileNetV3,0,synth_group,L70_G70,70,70,danits_lp,4,0.9441,0.9677,0.9697,0.0106,0.0207,30.0,0.0,,paperv2_phase1
aider,MobileNetV3,0,synth_group,L70_G70,70,70,fioretto_ldf,1,0.9249,0.9567,0.9588,0.0324,0.0742,3.0,1.0,22.0,paperv2_phase1
aider,MobileNetV3,0,synth_group,L70_G70,70,70,fioretto_ldf,2,0.9261,0.9592,0.9613,0.0354,0.0743,3.0,1.0,14.0,paperv2_phase1
aider,MobileNetV3,0,synth_group,L70_G70,70,70,fioretto_ldf,3,0.9348,0.9626,0.9647,0.0296,0.0602,1.0,1.0,13.0,paperv2_phase1
aider,MobileNetV3,0,synth_group,L70_G70,70,70,fioretto_ldf,4,0.9349,0.9626,0.9647,0.0279,0.0634,2.0,1.0,16.0,paperv2_phase1
aider,MobileNetV3,0,synth_group,L70_G70,70,70,heuristic,1,0.9311,0.9627,0.9647,0.0134,0.0309,40.0,0.0,,expansion_aider_baselines
aider,MobileNetV3,0,synth_group,L70_G70,70,70,heuristic,2,0.9337,0.9651,0.9672,0.0123,0.0225,32.0,0.0,,expansion_aider_baselines
aider,MobileNetV3,0,synth_group,L70_G70,70,70,heuristic,3,0.9337,0.9643,0.9664,0.0101,0.0206,32.0,0.0,,expansion_aider_baselines
aider,MobileNetV3,0,synth_group,L70_G70,70,70,heuristic,4,0.9441,0.9677,0.9697,0.0106,0.0207,30.0,0.0,,paperv2_phase1
aider,MobileNetV3,0,synth_group,L70_G70,70,70,hounie_rcl,1,0.9205,0.9541,0.9563,0.055,0.1113,26.0,1.0,145.0,paperv2_phase1
aider,MobileNetV3,0,synth_group,L70_G70,70,70,hounie_rcl,2,0.9206,0.9541,0.9563,0.0621,0.1292,33.0,1.0,57.0,paperv2_phase1
aider,MobileNetV3,0,synth_group,L70_G70,70,70,hounie_rcl,3,0.9299,0.9591,0.9613,0.0536,0.1153,34.0,1.0,60.0,paperv2_phase1
aider,MobileNetV3,0,synth_group,L70_G70,70,70,hounie_rcl,4,0.9358,0.9626,0.9647,0.0503,0.105,29.0,1.0,105.0,paperv2_phase1
aider,MobileNetV3,0,synth_group,L70_G70,70,70,tralo,1,0.9292,0.9593,0.9613,0.0333,0.0681,0.0,1.0,72.0,paperv2_phase1
aider,MobileNetV3,0,synth_group,L70_G70,70,70,tralo,2,0.9261,0.9592,0.9613,0.0337,0.0733,2.0,1.0,63.0,paperv2_phase1
aider,MobileNetV3,0,synth_group,L70_G70,70,70,tralo,3,0.9362,0.9635,0.9655,0.0268,0.0597,0.0,1.0,62.0,paperv2_phase1
aider,MobileNetV3,0,synth_group,L70_G70,70,70,tralo,4,0.9363,0.9635,0.9655,0.0283,0.0596,0.0,1.0,66.0,paperv2_phase1
aider,MobileNetV3,0,synth_group,L70_G70,70,70,tralo_bounded,1,0.9249,0.9567,0.9588,0.0327,0.0708,3.0,0.0,,paperv2_phase1
aider,MobileNetV3,0,synth_group,L70_G70,70,70,tralo_bounded,2,0.9281,0.9592,0.9613,0.0381,0.0811,8.0,1.0,63.0,paperv2_phase1
aider,MobileNetV3,0,synth_group,L70_G70,70,70,tralo_bounded,3,0.9348,0.9626,0.9647,0.0305,0.0614,2.0,1.0,62.0,paperv2_phase1
aider,MobileNetV3,0,synth_group,L70_G70,70,70,tralo_bounded,4,0.9349,0.9626,0.9647,0.0352,0.0735,10.0,1.0,66.0,paperv2_phase1
aider,MobileNetV3,0,synth_group,L80_G30,80,30,danits_lp,1,0.8331,0.9164,0.9311,0.0134,0.0309,80.0,0.0,,expansion_aider_baselines
aider,MobileNetV3,0,synth_group,L80_G30,80,30,danits_lp,2,0.8347,0.9188,0.9336,0.0123,0.0225,72.0,0.0,,expansion_aider_baselines
aider,MobileNetV3,0,synth_group,L80_G30,80,30,danits_lp,3,0.8396,0.9181,0.9328,0.0101,0.0206,72.0,0.0,,expansion_aider_baselines
