ds,tight,method,n,F1m_mean,F1m_std,Acc_mean,Acc_std,ECE_mean,ECE_std,Brier_mean,Brier_std,Flips_mean,Flips_std,Sat%_mean,Sat%_std,SatEp_mean,SatEp_std,Time_mean,Time_std
tissuemnist,L20_G20,fioretto_ldf,4,0.3531,0.00788416,0.502725,0.00577661,0.3968,0.0100721,0.866,0.0168373,7.75,2.5,0.75,0.5,19.3333,5.03322,46.6427,31.7876
tissuemnist,L20_G20,heuristic,4,0.33855,0.0208989,0.475225,0.00814304,0.4105,0.00863674,0.900825,0.0141236,117,59.324,0,0,,,0.47945,0.0942829
tissuemnist,L20_G20,hounie_rcl,4,0.350525,0.00640696,0.503,0.00542955,0.396575,0.00935428,0.86725,0.0143491,7.5,4.50925,1,0,78.25,20.8387,80.0747,18.2489
tissuemnist,L20_G20,tralo,4,0.353775,0.00863419,0.50105,0.00540648,0.3984,0.012676,0.871125,0.0149029,4.5,5.06623,1,0,69.75,4.19325,39.8674,7.53348
tissuemnist,L20_G20,tralo_bounded,4,0.35235,0.00600694,0.502825,0.00653318,0.39735,0.0107112,0.86565,0.0154791,7.5,4.20317,1,0,69.75,4.19325,36.672,5.19309
tissuemnist,L30_G30,danits_lp,4,0.345825,0.0237357,0.4772,0.00865486,0.4105,0.00863674,0.900825,0.0141236,100,59.324,0,0,,,0.545025,0.098966
tissuemnist,L30_G30,fioretto_ldf,4,0.359975,0.00962614,0.504075,0.0053369,0.3936,0.0123099,0.860425,0.0168798,10,4.54606,1,0,16.25,3.5,40.7685,10.6958
tissuemnist,L30_G30,heuristic,4,0.3461,0.024215,0.477325,0.00872749,0.4105,0.00863674,0.900825,0.0141236,100,59.324,0,0,,,0.48765,0.106215
tissuemnist,L30_G30,hounie_rcl,4,0.36015,0.00889363,0.504275,0.00777619,0.39275,0.0124645,0.862,0.0146007,10.5,3.87298,1,0,68.25,15.1079,137.785,31.2159
tissuemnist,L30_G30,tralo,4,0.364125,0.00899125,0.506675,0.00545183,0.39395,0.0108125,0.85805,0.0120953,5,2.16025,1,0,66,4.24264,80.6033,75.5455
tissuemnist,L30_G30,tralo_bounded,4,0.361525,0.0115315,0.504075,0.00577776,0.393475,0.0113995,0.8599,0.0160505,9.75,3.86221,0.75,0.5,64.3333,3.21455,87.7002,93.4148
tissuemnist,L50_G50,danits_lp,4,0.355725,0.0251448,0.480225,0.00998278,0.4105,0.00863674,0.900825,0.0141236,66.5,56.9942,0.25,0.5,,,0.55255,0.110057
tissuemnist,L50_G50,fioretto_ldf,4,0.3699,0.0129507,0.5047,0.00498598,0.387575,0.0111042,0.851925,0.0173108,11,5.88784,1,0,10,4.6188,32.3071,9.47857
tissuemnist,L50_G50,heuristic,4,0.35585,0.0257884,0.480325,0.010043,0.4105,0.00863674,0.900825,0.0141236,68.5,53.9907,0.25,0.5,,,0.488225,0.103156
tissuemnist,L50_G50,hounie_rcl,4,0.37035,0.0126165,0.5052,0.00388844,0.387675,0.00926512,0.852125,0.0151073,10.75,3.77492,1,0,52.25,14.0801,117.352,23.9252
tissuemnist,L50_G50,tralo,4,0.372325,0.00996138,0.5074,0.00254558,0.3874,0.00889494,0.84925,0.0101497,4.25,2.98608,1,0,60,4.69042,55.7044,42.3094
tissuemnist,L50_G50,tralo_bounded,4,0.36775,0.0119782,0.5028,0.00682691,0.389975,0.00789699,0.853575,0.0158855,11,3.16228,1,0,59.5,5.19615,41.7871,10.1284
tissuemnist,L70_G70,danits_lp,4,0.3585,0.0218154,0.480325,0.00858463,0.4105,0.00863674,0.900825,0.0141236,41.25,45.0287,0.25,0.5,,,0.5424,0.097506
