ds,tight,seed,tralo__F1m,tralo__Acc,tralo__ECE,tralo__Brier,tralo__Flips,tralo__Sat%,tralo__SatEp,tralo__Time,tralo_bounded__F1m,tralo_bounded__Acc,tralo_bounded__ECE,tralo_bounded__Brier,tralo_bounded__Flips,tralo_bounded__Sat%,tralo_bounded__SatEp,tralo_bounded__Time,fioretto_ldf__F1m,fioretto_ldf__Acc,fioretto_ldf__ECE,fioretto_ldf__Brier,fioretto_ldf__Flips,fioretto_ldf__Sat%,fioretto_ldf__SatEp,fioretto_ldf__Time,hounie_rcl__F1m,hounie_rcl__Acc,hounie_rcl__ECE,hounie_rcl__Brier,hounie_rcl__Flips,hounie_rcl__Sat%,hounie_rcl__SatEp,hounie_rcl__Time,danits_lp__F1m,danits_lp__Acc,danits_lp__ECE,danits_lp__Brier,danits_lp__Flips,danits_lp__Sat%,danits_lp__SatEp,danits_lp__Time,heuristic__F1m,heuristic__Acc,heuristic__ECE,heuristic__Brier,heuristic__Flips,heuristic__Sat%,heuristic__SatEp,heuristic__Time
dermmnist,L70_G70,4,0.7938,0.8782,0.0965,0.2196,6,1,57,20.2965,0.7885,0.8752,0.0996,0.2243,10,1,56,12.0832,0.791,0.8757,0.0989,0.2249,13,1,7,12.1389,0.7885,0.8752,0.1004,0.225,16,1,46,43.9807,0.7524,0.8637,0.1012,0.2354,55,0,,0.4043,0.7529,0.8637,0.1012,0.2354,55,0,,0.3527
dermmnist,L80_G80,1,0.7814,0.8722,0.0995,0.2218,1,1,57,33.9303,0.7877,0.8737,0.0953,0.2213,14,1,56,11.3416,0.7877,0.8737,0.0959,0.2214,15,1,6,10.745,0.7877,0.8737,0.0952,0.2212,13,1,53,49.1177,0.7808,0.8672,0.1047,0.2319,18,0,,0.5192,0.7808,0.8672,0.1047,0.2319,18,0,,0.4906
dermmnist,L80_G80,2,0.7829,0.8687,0.1027,0.2243,6,1,55,17.3809,0.7786,0.8687,0.1,0.2245,11,1,54,9.9661,0.7845,0.8692,0.0998,0.2254,19,1,5,10.9079,0.7842,0.8707,0.0985,0.2242,12,1,38,37.9273,0.7531,0.8607,0.108,0.2387,21,0,,0.5162,0.7533,0.8607,0.108,0.2387,21,0,,0.4711
dermmnist,L80_G80,3,0.7908,0.8697,0.0972,0.2163,5,1,54,15.7416,0.7914,0.8712,0.0967,0.2166,12,1,54,10.3919,0.7916,0.8712,0.0972,0.217,14,1,5,10.6599,0.7911,0.8702,0.0957,0.2151,5,1,26,28.6765,0.7782,0.8717,0.0908,0.2199,30,0,,0.5173,0.7804,0.8727,0.0908,0.2199,30,0,,0.4737
dermmnist,L80_G80,4,0.8015,0.8812,0.0923,0.2124,6,1,52,14.1379,0.7921,0.8782,0.0947,0.2178,13,1,52,8.3477,0.7915,0.8772,0.0934,0.2174,12,1,4,9.3882,0.794,0.8777,0.0927,0.216,6,1,12,19.0117,0.7548,0.8637,0.1012,0.2354,35,0,,0.3434,0.7584,0.8657,0.1012,0.2354,37,0,,0.3059
tissuemnist,L20_G20,1,0.355,0.5067,0.3857,0.8501,11,1,71,39.1455,0.356,0.5092,0.3867,0.851,12,1,71,37.4493,0.3509,0.5058,0.3881,0.849,9,0,,93.6277,0.3534,0.5079,0.3881,0.8527,14,1,68,71.0571,0.3346,0.4838,0.405,0.8891,172,0,,0.5845,0.3346,0.4838,0.405,0.8891,172,0,,0.5223
tissuemnist,L20_G20,2,0.3612,0.4958,0.3893,0.8713,0,1,74,46.2751,0.3568,0.4988,0.3901,0.8587,2,1,74,42.5726,0.3587,0.4992,0.3886,0.8578,4,1,24,38.4008,0.358,0.4983,0.3891,0.862,4,1,79,80.9814,0.3691,0.4771,0.4032,0.8881,160,0,,0.5986,0.3691,0.4771,0.4032,0.8881,160,0,,0.5348
tissuemnist,L20_G20,3,0.3414,0.4971,0.4097,0.8834,6,1,64,29.5239,0.3437,0.4958,0.4093,0.887,9,1,64,29.9282,0.3429,0.4967,0.4083,0.888,9,1,14,25.6397,0.3437,0.4983,0.4065,0.8867,7,1,59,63.1059,0.3221,0.4637,0.4115,0.9128,89,0,,0.596,0.3233,0.4642,0.4115,0.9128,89,0,,0.5224
tissuemnist,L20_G20,4,0.3575,0.5046,0.4089,0.8797,1,1,70,44.5249,0.3529,0.5075,0.4033,0.8659,7,1,70,36.7381,0.3599,0.5092,0.4022,0.8692,9,1,20,28.9025,0.347,0.5075,0.4026,0.8676,5,1,107,105.154,0.3272,0.4758,0.4223,0.9133,47,0,,0.3973,0.3272,0.4758,0.4223,0.9133,47,0,,0.3383
tissuemnist,L30_G30,1,0.3669,0.5129,0.3829,0.8455,6,1,68,84.4883,0.3605,0.5062,0.3859,0.846,12,1,68,58.3217,0.3598,0.5071,0.3835,0.8447,11,1,18,47.8332,0.3617,0.5129,0.3808,0.847,14,1,62,136.228,0.3383,0.4842,0.405,0.8891,155,0,,0.6003,0.3384,0.4842,0.405,0.8891,155,0,,0.5362
tissuemnist,L30_G30,2,0.3703,0.5021,0.3865,0.851,2,1,71,186.063,0.3726,0.5038,0.3819,0.8499,4,0,,226.649,0.3697,0.5029,0.3829,0.8509,4,1,20,51.8881,0.3688,0.4979,0.3835,0.8558,5,1,74,159.69,0.3807,0.4808,0.4032,0.8881,143,0,,0.5958,0.3817,0.4813,0.4032,0.8881,143,0,,0.5433
tissuemnist,L30_G30,3,0.3508,0.5021,0.4042,0.8723,7,1,62,27.7215,0.3459,0.4963,0.4058,0.8817,12,1,62,31.1695,0.3469,0.4971,0.4073,0.883,15,1,12,30.2083,0.3477,0.4975,0.4059,0.8813,11,1,51,94.189,0.3275,0.4646,0.4115,0.9128,72,0,,0.5872,0.3275,0.4646,0.4115,0.9128,72,0,,0.5427
tissuemnist,L30_G30,4,0.3685,0.5096,0.4022,0.8634,5,1,63,24.1405,0.3671,0.51,0.4003,0.862,11,1,63,34.6603,0.3635,0.5092,0.4007,0.8631,10,1,15,33.1445,0.3624,0.5088,0.4008,0.8639,12,1,86,161.032,0.3368,0.4792,0.4223,0.9133,30,0,,0.3968,0.3368,0.4792,0.4223,0.9133,30,0,,0.3284
tissuemnist,L50_G50,1,0.3724,0.5096,0.3796,0.8418,1,1,64,110.909,0.3658,0.5054,0.3814,0.8394,9,1,64,48.9644,0.369,0.5075,0.3782,0.8376,5,1,14,39.8583,0.3659,0.5062,0.3797,0.8397,14,1,49,111.292,0.3482,0.4871,0.405,0.8891,120,0,,0.5932,0.3483,0.4871,0.405,0.8891,120,0,,0.5412
tissuemnist,L50_G50,2,0.3853,0.505,0.3798,0.8431,3,1,64,66.8096,0.3778,0.4983,0.3865,0.846,8,1,64,51.9301,0.3842,0.5042,0.3781,0.8404,7,1,14,40.8433,0.3844,0.5038,0.3797,0.8423,7,1,52,117.408,0.392,0.4846,0.4032,0.8881,108,0,,0.6286,0.3931,0.485,0.4032,0.8881,108,0,,0.5386
tissuemnist,L50_G50,3,0.3611,0.5054,0.3948,0.8639,5,1,55,21.922,0.3516,0.4963,0.3998,0.8759,12,1,55,34.4242,0.353,0.4979,0.3997,0.8755,15,1,6,26.5264,0.3552,0.5008,0.3969,0.8729,8,1,37,91.5233,0.3339,0.4654,0.4115,0.9128,37,0,,0.5993,0.3336,0.4654,0.4115,0.9128,37,0,,0.5396
tissuemnist,L50_G50,4,0.3705,0.5096,0.3954,0.8482,8,1,57,23.1764,0.3758,0.5112,0.3922,0.853,15,1,55,31.8297,0.3734,0.5092,0.3943,0.8542,17,1,6,22.0005,0.3759,0.51,0.3944,0.8536,14,1,71,149.186,0.3488,0.4838,0.4223,0.9133,1,1,,0.3891,0.3484,0.4838,0.4223,0.9133,9,1,,0.3335
tissuemnist,L70_G70,1,0.3734,0.5075,0.3782,0.8382,4,1,61,25.287,0.3753,0.5075,0.3778,0.8376,8,1,61,18.6793,0.375,0.5075,0.3782,0.8355,14,1,11,18.598,0.3745,0.5067,0.3794,0.8363,17,1,46,51.2634,0.3533,0.4875,0.405,0.8891,86,0,,0.5861,0.3537,0.4879,0.405,0.8891,86,0,,0.4614
tissuemnist,L70_G70,2,0.4032,0.5175,0.3665,0.8252,3,1,60,32.2931,0.3925,0.5058,0.3743,0.8354,7,1,60,17.4492,0.3907,0.5025,0.3785,0.8361,10,1,10,17.1302,0.3917,0.5038,0.3771,0.8368,10,1,47,52.093,0.3904,0.4821,0.4032,0.8881,74,0,,0.5901,0.3916,0.4829,0.4032,0.8881,74,0,,0.5454
tissuemnist,L70_G70,3,0.3565,0.4942,0.3994,0.8756,8,1,51,12.4923,0.356,0.4975,0.3995,0.8741,28,1,51,8.5437,0.356,0.4975,0.3995,0.8741,28,1,1,8.6526,0.356,0.4975,0.3995,0.8741,28,1,1,9.177,0.3415,0.4679,0.4115,0.9128,4,0,,0.5971,0.3431,0.4683,0.4115,0.9128,11,0,,0.5291
tissuemnist,L70_G70,4,0.3868,0.5154,0.3878,0.8451,19,1,51,12.8918,0.3771,0.51,0.3945,0.8517,39,1,51,9.1281,0.3771,0.51,0.3945,0.8517,39,1,1,9.3019,0.3771,0.51,0.3945,0.8517,39,1,1,9.0707,0.3488,0.4838,0.4223,0.9133,1,1,,0.3963,0.3538,0.4846,0.4223,0.9133,40,1,,0.3358
tissuemnist,L80_G80,1,0.377,0.5062,0.3769,0.8374,4,1,59,29.6663,0.3751,0.5062,0.374,0.8371,12,1,59,16.6208,0.3772,0.5071,0.3769,0.835,8,1,10,17.1016,0.3775,0.5071,0.3763,0.8354,14,1,43,48.5626,0.3558,0.4875,0.405,0.8891,69,0,,0.5799,0.3542,0.4871,0.405,0.8891,69,0,,0.5291
tissuemnist,L80_G80,2,0.3937,0.5158,0.374,0.8265,5,1,57,125.816,0.3936,0.5054,0.3742,0.8354,9,1,57,15.1113,0.3955,0.5046,0.3746,0.8352,5,1,8,14.3829,0.3925,0.5029,0.3765,0.8359,11,1,45,50.3713,0.3925,0.4829,0.4032,0.8881,57,0,,0.5885,0.3929,0.4829,0.4032,0.8881,57,0,,0.526
tissuemnist,L80_G80,3,0.3551,0.4913,0.4026,0.8777,20,1,51,12.253,0.3568,0.4971,0.3995,0.8741,45,1,51,8.8641,0.3568,0.4971,0.3995,0.8741,45,1,1,8.9556,0.3568,0.4971,0.3995,0.8741,45,1,1,8.8456,0.3414,0.4679,0.4115,0.9128,0,1,,0.5908,0.3406,0.4671,0.4115,0.9128,16,1,,0.5326
tissuemnist,L80_G80,4,0.3813,0.5129,0.3895,0.8486,42,1,51,13.1642,0.3787,0.5108,0.3945,0.8517,56,1,51,8.5717,0.3787,0.5108,0.3945,0.8517,56,1,1,8.7767,0.3787,0.5108,0.3945,0.8517,56,1,1,8.8115,0.3488,0.4838,0.4223,0.9133,1,1,,0.388,0.3552,0.485,0.4223,0.9133,57,1,,0.3354
