binding_gap,cls_cstr,d_conf_gap,d_f1_cstr,d_f1_uncstr,d_flips,d_macro_f1,d_pre_cstr,d_rec_cstr,data_dir,dataset,model,n_classes,ph_acc,ph_conf_gap,ph_f1_cstr,ph_f1_uncstr_mean,ph_macro_f1,ph_mean_entropy,ph_pre_cstr,ph_rec_cstr,ph_sup_cstr,pretrained,seed,sweep,tight,tight_pct
85.5,4,-0.010099999999999998,0.023400000000000004,0.03302857142857146,-41.0,0.031799999999999995,0.0348,0.017500000000000016,data/tissuemnist_sigma10/slice_1,tissuemnist,MobileNetV3,8,0.4533,0.0696,0.2412,0.3636857142857143,0.3484,0.1346,0.3605,0.1813,171.0,True,2,contamination_tissuemnist,L50_G50,50
136.8,4,0.005400000000000002,-0.03900000000000001,0.016000000000000014,-113.0,0.009099999999999997,-0.11759999999999993,-0.023400000000000004,data/tissuemnist_sigma30/slice_1,tissuemnist,MobileNetV3,8,0.3904,0.0501,0.1951,0.34648571428571423,0.3276,0.1276,0.5882,0.117,171.0,True,1,contamination_tissuemnist,L20_G20,20
136.8,4,-0.007199999999999998,0.009700000000000014,0.0026428571428572245,-58.0,0.003599999999999992,0.02939999999999998,0.0058,data/tissuemnist_sigma30/slice_1,tissuemnist,MobileNetV3,8,0.4533,0.063,0.1366,0.36147142857142855,0.3333,0.1133,0.4118,0.0819,171.0,True,2,contamination_tissuemnist,L20_G20,20
51.3,4,0.012699999999999996,-0.06190000000000001,0.022442857142857098,-19.0,0.01200000000000001,-0.07500000000000001,-0.05259999999999998,data/tissuemnist_sigma30/slice_1,tissuemnist,MobileNetV3,8,0.3971,0.0501,0.3368,0.34782857142857143,0.3464,0.1276,0.4083,0.2865,171.0,True,1,contamination_tissuemnist,L70_G70,70
51.3,4,0.0034000000000000002,0.0041999999999999815,0.004228571428571415,8.0,0.004200000000000037,-0.04560000000000003,0.023400000000000004,data/tissuemnist_sigma30/slice_1,tissuemnist,MobileNetV3,8,0.4567,0.063,0.2707,0.36019999999999996,0.349,0.1133,0.3789,0.2105,171.0,True,2,contamination_tissuemnist,L70_G70,70
119.7,4,0.0034000000000000002,-0.063,0.01600000000000007,-95.0,0.006099999999999994,-0.1372,-0.040900000000000006,data/tissuemnist_sigma30/slice_1,tissuemnist,MobileNetV3,8,0.3933,0.0501,0.2432,0.3483,0.3352,0.1276,0.5294,0.1579,171.0,True,1,contamination_tissuemnist,L30_G30,30
119.7,4,0.0010000000000000009,-0.017999999999999988,0.010371428571428476,-41.0,0.006899999999999962,-0.03920000000000001,-0.011700000000000002,data/tissuemnist_sigma30/slice_1,tissuemnist,MobileNetV3,8,0.4562,0.063,0.2072,0.3619857142857143,0.3426,0.1133,0.451,0.1345,171.0,True,2,contamination_tissuemnist,L30_G30,30
85.5,4,0.006499999999999999,-0.09339999999999998,0.02131428571428573,-62.0,0.007000000000000006,-0.1395,-0.07019999999999998,data/tissuemnist_sigma30/slice_1,tissuemnist,MobileNetV3,8,0.3954,0.0501,0.3035,0.34762857142857145,0.3421,0.1276,0.4535,0.2281,171.0,True,1,contamination_tissuemnist,L50_G50,50
85.5,4,0.003799999999999998,-0.015600000000000003,-0.005971428571428572,2.0,-0.007199999999999984,-0.023300000000000043,-0.011699999999999988,data/tissuemnist_sigma30/slice_1,tissuemnist,MobileNetV3,8,0.4579,0.063,0.2802,0.36042857142857143,0.3504,0.1133,0.4186,0.2105,171.0,True,2,contamination_tissuemnist,L50_G50,50
178.4,4,-0.008499999999999994,0.014999999999999986,0.011783333333333312,-79.0,0.012199999999999989,0.044499999999999984,0.009000000000000008,data/dermmnist_sigma20/slice_1,dermmnist,MobileNetV3,7,0.7319,0.0726,0.1716,0.48705,0.442,0.0481,0.5111,0.1031,223.0,True,1,contamination_dermmnist,L20_G20,20
178.4,4,-0.015100000000000002,0.0,-0.028483333333333416,-87.0,-0.024400000000000033,0.0,0.0,data/dermmnist_sigma20/slice_1,dermmnist,MobileNetV3,7,0.7379,0.0998,0.1866,0.5316166666666667,0.4823,0.0656,0.5556,0.1121,223.0,True,2,contamination_dermmnist,L20_G20,20
66.9,4,-0.0030999999999999917,0.03489999999999999,0.017616666666666725,2.0,0.020100000000000007,-0.01820000000000005,0.053800000000000014,data/dermmnist_sigma20/slice_1,dermmnist,MobileNetV3,7,0.7424,0.0726,0.3714,0.48501666666666665,0.4688,0.0481,0.5118,0.2915,223.0,True,1,contamination_dermmnist,L70_G70,70
66.9,4,-0.013999999999999999,0.015500000000000014,-0.007333333333333414,3.0,-0.0040000000000000036,-0.025000000000000022,0.03140000000000004,data/dermmnist_sigma20/slice_1,dermmnist,MobileNetV3,7,0.7419,0.0998,0.3539,0.537,0.5108,0.0656,0.4737,0.2825,223.0,True,2,contamination_dermmnist,L70_G70,70
156.1,4,-0.004699999999999996,0.013800000000000034,0.015733333333333377,-54.0,0.015400000000000025,0.029899999999999927,0.009000000000000008,data/dermmnist_sigma20/slice_1,dermmnist,MobileNetV3,7,0.7374,0.0726,0.2552,0.48849999999999993,0.4552,0.0481,0.5522,0.1659,223.0,True,1,contamination_dermmnist,L30_G30,30
156.1,4,-0.017,-0.027600000000000013,-0.009433333333333405,-61.0,-0.0121,-0.059700000000000086,-0.0179,data/dermmnist_sigma20/slice_1,dermmnist,MobileNetV3,7,0.7424,0.0998,0.2621,0.5308666666666667,0.4925,0.0656,0.5672,0.1704,223.0,True,2,contamination_dermmnist,L30_G30,30
