dataset,model,cap,method,seed,warmup_epochs,satisfied,sat_epoch,cep
dermmnist,RegNetY400MF,20,tralo,2,50,True,63.0,13.0
dermmnist,RegNetY400MF,20,tralo,3,50,True,65.0,15.0
dermmnist,RegNetY400MF,20,tralo,4,50,True,68.0,18.0
dermmnist,RegNetY400MF,30,fioretto_ldf,1,50,True,20.0,20.0
dermmnist,RegNetY400MF,30,fioretto_ldf,2,50,False,,
dermmnist,RegNetY400MF,30,fioretto_ldf,3,50,True,22.0,22.0
dermmnist,RegNetY400MF,30,fioretto_ldf,4,50,True,24.0,24.0
dermmnist,RegNetY400MF,30,hounie_rcl,1,50,True,34.0,34.0
dermmnist,RegNetY400MF,30,hounie_rcl,2,50,True,39.0,39.0
dermmnist,RegNetY400MF,30,hounie_rcl,3,50,True,38.0,38.0
dermmnist,RegNetY400MF,30,hounie_rcl,4,50,True,46.0,46.0
dermmnist,RegNetY400MF,30,tralo,1,50,True,61.0,11.0
dermmnist,RegNetY400MF,30,tralo,2,50,True,62.0,12.0
dermmnist,RegNetY400MF,30,tralo,3,50,True,63.0,13.0
dermmnist,RegNetY400MF,30,tralo,4,50,True,65.0,15.0
dermmnist,RegNetY400MF,70,fioretto_ldf,1,50,True,11.0,11.0
dermmnist,RegNetY400MF,70,fioretto_ldf,2,50,True,13.0,13.0
dermmnist,RegNetY400MF,70,fioretto_ldf,3,50,True,13.0,13.0
dermmnist,RegNetY400MF,70,fioretto_ldf,4,50,True,15.0,15.0
dermmnist,RegNetY400MF,70,hounie_rcl,1,50,True,28.0,28.0
dermmnist,RegNetY400MF,70,hounie_rcl,2,50,True,41.0,41.0
dermmnist,RegNetY400MF,70,hounie_rcl,3,50,True,37.0,37.0
dermmnist,RegNetY400MF,70,hounie_rcl,4,50,True,39.0,39.0
dermmnist,RegNetY400MF,70,tralo,1,50,True,55.0,5.0
dermmnist,RegNetY400MF,70,tralo,2,50,True,56.0,6.0
dermmnist,RegNetY400MF,70,tralo,3,50,True,57.0,7.0
dermmnist,RegNetY400MF,70,tralo,4,50,True,58.0,8.0
dermmnist,RegNetY400MF,80,fioretto_ldf,1,50,True,1.0,1.0
dermmnist,RegNetY400MF,80,fioretto_ldf,2,50,True,2.0,2.0
dermmnist,RegNetY400MF,80,fioretto_ldf,3,50,True,1.0,1.0
dermmnist,RegNetY400MF,80,fioretto_ldf,4,50,True,10.0,10.0
dermmnist,RegNetY400MF,80,hounie_rcl,1,50,True,1.0,1.0
dermmnist,RegNetY400MF,80,hounie_rcl,2,50,True,2.0,2.0
dermmnist,RegNetY400MF,80,hounie_rcl,3,50,True,1.0,1.0
dermmnist,RegNetY400MF,80,hounie_rcl,4,50,True,56.0,56.0
dermmnist,RegNetY400MF,80,tralo,1,50,True,51.0,1.0
dermmnist,RegNetY400MF,80,tralo,2,50,True,52.0,2.0
