path,model,constraint,learning_rate,lambda_strategy,lambda_global,lambda_local,lambda_step,batch_size,warmup_epochs,max_epochs,constraint_threshold,status,converged,final_epoch,global_constraint_satisfied,local_constraint_satisfied,test_accuracy,,,,
FTTransformer\constraint_0.8_0.2\lr_lambda_test\lr_0.0001_lambda_linear,FTTransformer,0.8_0.2,0.0001,linear,0.1,0.1,0.005,64,50,1000,0.02,converged,TRUE,584,TRUE,TRUE,0.5747,,,,
FTTransformer\constraint_0.8_0.2\lr_lambda_test\lr_0.0001_lambda_transfer,FTTransformer,0.8_0.2,0.0001,transfer,0.1,0.1,0.005,64,50,1000,0.02,converged,TRUE,638,TRUE,TRUE,0.5633,,,,
FTTransformer\constraint_0.8_0.2\lr_lambda_test\lr_0.0005_lambda_balanced,FTTransformer,0.8_0.2,0.0005,balanced,0.1,0.1,0.005,64,50,1000,0.02,converged,TRUE,283,TRUE,TRUE,0.5611,,,,
FTTransformer\constraint_0.8_0.2\lr_lambda_test\lr_0.0005_lambda_combined,FTTransformer,0.8_0.2,0.0005,combined,0.1,0.1,0.005,64,50,1000,0.02,converged,TRUE,204,TRUE,TRUE,0.5498,,,,
FTTransformer\constraint_0.8_0.2\lr_lambda_test\lr_0.0005_lambda_linear,FTTransformer,0.8_0.2,0.0005,linear,0.1,0.1,0.005,64,50,1000,0.02,converged,TRUE,336,TRUE,TRUE,0.543,,,,
FTTransformer\constraint_0.8_0.2\lr_lambda_test\lr_0.0005_lambda_transfer,FTTransformer,0.8_0.2,0.0005,transfer,0.1,0.1,0.005,64,50,1000,0.02,converged,TRUE,258,TRUE,TRUE,0.5498,,,,
FTTransformer\constraint_0.8_0.2\lr_lambda_test\lr_0.001_lambda_balanced,FTTransformer,0.8_0.2,0.001,balanced,0.1,0.1,0.005,64,50,1000,0.02,converged,TRUE,291,TRUE,TRUE,0.5452,,,,
FTTransformer\constraint_0.8_0.2\lr_lambda_test\lr_0.001_lambda_combined,FTTransformer,0.8_0.2,0.001,combined,0.1,0.1,0.005,64,50,1000,0.02,converged,TRUE,285,TRUE,TRUE,0.5181,,,,
FTTransformer\constraint_0.8_0.2\lr_lambda_test\lr_0.001_lambda_linear,FTTransformer,0.8_0.2,0.001,linear,0.1,0.1,0.005,64,50,1000,0.02,converged,TRUE,260,TRUE,TRUE,0.5339,,,,
FTTransformer\constraint_0.8_0.2\lr_lambda_test\lr_0.001_lambda_transfer,FTTransformer,0.8_0.2,0.001,transfer,0.1,0.1,0.005,64,50,1000,0.02,converged,TRUE,311,TRUE,TRUE,0.5588,,,,
FTTransformer\constraint_0.8_0.2\lr_lambda_test\lr_5e-05_lambda_balanced,FTTransformer,0.8_0.2,5.00E-05,balanced,0.1,0.1,0.005,64,50,1000,0.02,converged,TRUE,837,TRUE,TRUE,0.5633,,,,
FTTransformer\constraint_0.8_0.2\lr_lambda_test\lr_5e-05_lambda_combined,FTTransformer,0.8_0.2,5.00E-05,combined,0.1,0.1,0.005,64,50,1000,0.02,converged,TRUE,342,TRUE,TRUE,0.5611,,,,
FTTransformer\constraint_0.8_0.2\lr_lambda_test\lr_5e-05_lambda_linear,FTTransformer,0.8_0.2,5.00E-05,linear,0.1,0.1,0.005,64,50,1000,0.02,converged,TRUE,762,TRUE,TRUE,0.5701,,,,
FTTransformer\constraint_0.8_0.2\lr_lambda_test\lr_5e-05_lambda_transfer,FTTransformer,0.8_0.2,5.00E-05,transfer,0.1,0.1,0.005,64,50,1000,0.02,converged,TRUE,875,TRUE,TRUE,0.5724,,,,
FTTransformer\constraint_0.9_0.8\lr_lambda_test\lr_0.0001_lambda_balanced,FTTransformer,0.9_0.8,0.0001,balanced,0.1,0.1,0.005,64,50,1000,0.02,converged,TRUE,89,TRUE,TRUE,0.7059,,,,
FTTransformer\constraint_0.9_0.8\lr_lambda_test\lr_0.0001_lambda_combined,FTTransformer,0.9_0.8,0.0001,combined,0.1,0.1,0.005,64,50,1000,0.02,converged,TRUE,77,TRUE,TRUE,0.724,,,,
FTTransformer\constraint_0.9_0.8\lr_lambda_test\lr_0.0001_lambda_linear,FTTransformer,0.9_0.8,0.0001,linear,0.1,0.1,0.005,64,50,1000,0.02,converged,TRUE,81,TRUE,TRUE,0.7104,,,,
FTTransformer\constraint_0.9_0.8\lr_lambda_test\lr_0.0001_lambda_transfer,FTTransformer,0.9_0.8,0.0001,transfer,0.1,0.1,0.005,64,50,1000,0.02,converged,TRUE,96,TRUE,TRUE,0.7217,,,,
FTTransformer\constraint_0.9_0.8\lr_lambda_test\lr_0.0005_lambda_balanced,FTTransformer,0.9_0.8,0.0005,balanced,0.1,0.1,0.005,64,50,1000,0.02,converged,TRUE,84,TRUE,TRUE,0.7127,,,,
FTTransformer\constraint_0.9_0.8\lr_lambda_test\lr_0.0005_lambda_combined,FTTransformer,0.9_0.8,0.0005,combined,0.1,0.1,0.005,64,50,1000,0.02,converged,TRUE,84,TRUE,TRUE,0.7172,,,,
FTTransformer\constraint_0.9_0.8\lr_lambda_test\lr_0.0005_lambda_linear,FTTransformer,0.9_0.8,0.0005,linear,0.1,0.1,0.005,64,50,1000,0.02,converged,TRUE,89,TRUE,TRUE,0.724,,,,
FTTransformer\constraint_0.9_0.8\lr_lambda_test\lr_0.0005_lambda_transfer,FTTransformer,0.9_0.8,0.0005,transfer,0.1,0.1,0.005,64,50,1000,0.02,converged,TRUE,86,TRUE,TRUE,0.7149,,,,
FTTransformer\constraint_0.9_0.8\lr_lambda_test\lr_0.001_lambda_balanced,FTTransformer,0.9_0.8,0.001,balanced,0.1,0.1,0.005,64,50,1000,0.02,converged,TRUE,101,TRUE,TRUE,0.7014,,,,
FTTransformer\constraint_0.9_0.8\lr_lambda_test\lr_0.001_lambda_combined,FTTransformer,0.9_0.8,0.001,combined,0.1,0.1,0.005,64,50,1000,0.02,converged,TRUE,86,TRUE,TRUE,0.7059,,,,
FTTransformer\constraint_0.9_0.8\lr_lambda_test\lr_0.001_lambda_linear,FTTransformer,0.9_0.8,0.001,linear,0.1,0.1,0.005,64,50,1000,0.02,converged,TRUE,108,TRUE,TRUE,0.7195,,,,
FTTransformer\constraint_0.9_0.8\lr_lambda_test\lr_0.001_lambda_transfer,FTTransformer,0.9_0.8,0.001,transfer,0.1,0.1,0.005,64,50,1000,0.02,converged,TRUE,92,TRUE,TRUE,0.7149,,,,
FTTransformer\constraint_0.9_0.8\lr_lambda_test\lr_5e-05_lambda_balanced,FTTransformer,0.9_0.8,5.00E-05,balanced,0.1,0.1,0.005,64,50,1000,0.02,converged,TRUE,105,TRUE,TRUE,0.7104,,,,
FTTransformer\constraint_0.9_0.8\lr_lambda_test\lr_5e-05_lambda_combined,FTTransformer,0.9_0.8,5.00E-05,combined,0.1,0.1,0.005,64,50,1000,0.02,converged,TRUE,95,TRUE,TRUE,0.7081,,,,
FTTransformer\constraint_0.9_0.8\lr_lambda_test\lr_5e-05_lambda_linear,FTTransformer,0.9_0.8,5.00E-05,linear,0.1,0.1,0.005,64,50,1000,0.02,converged,TRUE,93,TRUE,TRUE,0.7081,,,,
