campaign,dataset,model,method,constraint_tag,seed,rep,cc_f1,f1_macro,acc,flips,sat,config_path
r2_seeds10,octmnist,MobileNetV3,fioretto_ldf,L30_G30,10,,0.359,0.6996,0.74,,,results/track_b/r2_seeds10/lane_gpu1/MobileNetV3/octmnist/L30_G30/fioretto_ldf/seed_10/config.json
r2_seeds10,octmnist,MobileNetV3,tralo_bounded,L30_G30,6,,0.3742,0.6814,0.72,,,results/track_b/r2_seeds10/lane_gpu1/MobileNetV3/octmnist/L30_G30/tralo_bounded/seed_6/config.json
r2_seeds10,octmnist,MobileNetV3,tralo_bounded,L30_G30,10,,0.359,0.6978,0.738,,,results/track_b/r2_seeds10/lane_gpu1/MobileNetV3/octmnist/L30_G30/tralo_bounded/seed_10/config.json
r2_seeds10,octmnist,MobileNetV3,fioretto_alm,L30_G30,6,,0.3689,0.6772,0.716,,,results/track_b/r2_seeds10/lane_gpu1/MobileNetV3/octmnist/L30_G30/fioretto_alm/seed_6/config.json
r2_seeds10,octmnist,MobileNetV3,fioretto_alm,L30_G30,10,,0.359,0.6996,0.74,,,results/track_b/r2_seeds10/lane_gpu1/MobileNetV3/octmnist/L30_G30/fioretto_alm/seed_10/config.json
r2_seeds10,octmnist,MobileNetV3,heuristic,L30_G30,6,,0.4308,0.7056,0.735,,,results/track_b/r2_seeds10/lane_gpu1/MobileNetV3/octmnist/L30_G30/heuristic/seed_6/config.json
r2_seeds10,octmnist,MobileNetV3,heuristic,L30_G30,10,,0.3262,0.6522,0.682,,,results/track_b/r2_seeds10/lane_gpu1/MobileNetV3/octmnist/L30_G30/heuristic/seed_10/config.json
r2_seeds10,octmnist,MobileNetV3,hounie_rcl,L40_G40,6,,0.3846,0.6814,0.718,,,results/track_b/r2_seeds10/lane_gpu1/MobileNetV3/octmnist/L40_G40/hounie_rcl/seed_6/config.json
r2_seeds10,octmnist,MobileNetV3,hounie_rcl,L40_G40,10,,0.3683,0.7021,0.741,,,results/track_b/r2_seeds10/lane_gpu1/MobileNetV3/octmnist/L40_G40/hounie_rcl/seed_10/config.json
r2_seeds10,octmnist,MobileNetV3,tralo,L40_G40,6,,0.52,0.7213,0.742,,,results/track_b/r2_seeds10/lane_gpu1/MobileNetV3/octmnist/L40_G40/tralo/seed_6/config.json
r2_seeds10,octmnist,MobileNetV3,tralo,L40_G40,10,,0.4529,0.7265,0.753,,,results/track_b/r2_seeds10/lane_gpu1/MobileNetV3/octmnist/L40_G40/tralo/seed_10/config.json
r2_seeds10,octmnist,MobileNetV3,danits_lp,L40_G40,6,,0.5143,0.7328,0.753,,,results/track_b/r2_seeds10/lane_gpu1/MobileNetV3/octmnist/L40_G40/danits_lp/seed_6/config.json
r2_seeds10,octmnist,MobileNetV3,danits_lp,L40_G40,10,,0.4057,0.676,0.696,,,results/track_b/r2_seeds10/lane_gpu1/MobileNetV3/octmnist/L40_G40/danits_lp/seed_10/config.json
r2_seeds10,octmnist,MobileNetV3,fioretto_ldf,L40_G40,6,,0.5217,0.7331,0.755,,,results/track_b/r2_seeds10/lane_gpu1/MobileNetV3/octmnist/L40_G40/fioretto_ldf/seed_6/config.json
r2_seeds10,octmnist,MobileNetV3,fioretto_ldf,L40_G40,10,,0.4337,0.723,0.753,,,results/track_b/r2_seeds10/lane_gpu1/MobileNetV3/octmnist/L40_G40/fioretto_ldf/seed_10/config.json
r2_seeds10,octmnist,MobileNetV3,tralo_bounded,L40_G40,6,,0.5159,0.728,0.75,,,results/track_b/r2_seeds10/lane_gpu1/MobileNetV3/octmnist/L40_G40/tralo_bounded/seed_6/config.json
r2_seeds10,octmnist,MobileNetV3,tralo_bounded,L40_G40,10,,0.4384,0.7254,0.755,,,results/track_b/r2_seeds10/lane_gpu1/MobileNetV3/octmnist/L40_G40/tralo_bounded/seed_10/config.json
r2_seeds10,octmnist,MobileNetV3,fioretto_alm,L40_G40,6,,0.5217,0.7323,0.754,,,results/track_b/r2_seeds10/lane_gpu1/MobileNetV3/octmnist/L40_G40/fioretto_alm/seed_6/config.json
r2_seeds10,octmnist,MobileNetV3,fioretto_alm,L40_G40,10,,0.429,0.7215,0.752,,,results/track_b/r2_seeds10/lane_gpu1/MobileNetV3/octmnist/L40_G40/fioretto_alm/seed_10/config.json
