campaign,arm,dataset,model,method,cap,seed,warmup,cc_f1,cc_prec,cc_rec,f1_macro,acc,ece,sat,flips,constrained_class,group_column,config_path
b2_derm,fioretto_ldf,dermmnist,RegNetY400MF,fioretto_ldf,L40_G40,1,50,0.5449,0.9551,0.3812,0.7345,0.8557,0.1234,,17.0,4,loc_group,results/track_b/b2_derm/derm/RegNetY400MF/warmup50/L40_G40/fioretto_ldf/seed_1/config.json
b2_derm,fioretto_ldf,dermmnist,RegNetY400MF,fioretto_ldf,L40_G40,2,50,0.4551,0.7978,0.3184,0.7317,0.8437,0.1254,,13.0,4,loc_group,results/track_b/b2_derm/derm/RegNetY400MF/warmup50/L40_G40/fioretto_ldf/seed_2/config.json
b2_derm,fioretto_ldf,dermmnist,RegNetY400MF,fioretto_ldf,L40_G40,3,50,0.4872,0.8539,0.3408,0.7176,0.8457,0.1258,,9.0,4,loc_group,results/track_b/b2_derm/derm/RegNetY400MF/warmup50/L40_G40/fioretto_ldf/seed_3/config.json
b2_derm,fioretto_ldf,dermmnist,RegNetY400MF,fioretto_ldf,L40_G40,4,50,0.4615,0.809,0.3229,0.7443,0.8477,0.1256,,16.0,4,loc_group,results/track_b/b2_derm/derm/RegNetY400MF/warmup50/L40_G40/fioretto_ldf/seed_4/config.json
b2_derm,hounie_rcl,dermmnist,RegNetY400MF,hounie_rcl,L40_G40,1,50,0.5321,0.9326,0.3722,0.7393,0.8537,0.1327,,37.0,4,loc_group,results/track_b/b2_derm/derm/RegNetY400MF/warmup50/L40_G40/hounie_rcl/seed_1/config.json
b2_derm,hounie_rcl,dermmnist,RegNetY400MF,hounie_rcl,L40_G40,2,50,0.4551,0.7978,0.3184,0.7279,0.8437,0.1282,,26.0,4,loc_group,results/track_b/b2_derm/derm/RegNetY400MF/warmup50/L40_G40/hounie_rcl/seed_2/config.json
b2_derm,hounie_rcl,dermmnist,RegNetY400MF,hounie_rcl,L40_G40,3,50,0.4872,0.8539,0.3408,0.718,0.8457,0.1282,,18.0,4,loc_group,results/track_b/b2_derm/derm/RegNetY400MF/warmup50/L40_G40/hounie_rcl/seed_3/config.json
b2_derm,hounie_rcl,dermmnist,RegNetY400MF,hounie_rcl,L40_G40,4,50,0.4551,0.7978,0.3184,0.733,0.8417,0.1388,,35.0,4,loc_group,results/track_b/b2_derm/derm/RegNetY400MF/warmup50/L40_G40/hounie_rcl/seed_4/config.json
b2_derm,tralo,dermmnist,RegNetY400MF,tralo,L40_G40,1,50,0.5256,0.9213,0.3677,0.738,0.8482,0.125,,3.0,4,loc_group,results/track_b/b2_derm/derm/RegNetY400MF/warmup50/L40_G40/tralo/seed_1/config.json
b2_derm,tralo,dermmnist,RegNetY400MF,tralo,L40_G40,2,50,0.4423,0.7753,0.3094,0.7247,0.8402,0.1292,,2.0,4,loc_group,results/track_b/b2_derm/derm/RegNetY400MF/warmup50/L40_G40/tralo/seed_2/config.json
