method,model,tag,seed,cc_f1,macro_f1,flips,ctime_min
fioretto_ldf,RegNetY400MF,L40_G40,3,0.4269005847953216,0.6952382188846183,18,1.931810772418976
fioretto_ldf,RegNetY400MF,L40_G40,4,0.43843843843843844,0.7164983609605025,36,0.8073525031407675
fioretto_restart,RegNetY400MF,L40_G40,1,0.4897959183673469,0.7352696054339858,16,2.3267741004625955
fioretto_restart,RegNetY400MF,L40_G40,2,0.45161290322580644,0.7035316411069981,21,3.471209232012431
fioretto_restart,RegNetY400MF,L40_G40,3,0.4269005847953216,0.6952382188846183,18,1.7760308305422465
fioretto_restart,RegNetY400MF,L40_G40,4,0.43843843843843844,0.7164983609605025,36,0.8134447375933329
fioretto_rh,RegNetY400MF,L40_G40,1,0.5142857142857142,0.7476939004168252,2,2.779179871082306
fioretto_rh,RegNetY400MF,L40_G40,2,0.47093023255813954,0.7138523849074265,14,1.7744470755259196
fioretto_rh,RegNetY400MF,L40_G40,3,0.44508670520231214,0.7009052826894122,10,2.1832550764083862
fioretto_rh,RegNetY400MF,L40_G40,4,0.45103857566765576,0.7217712544262203,28,0.9673991322517395
hounie_rcl,RegNetY400MF,L40_G40,1,0.43558282208588955,0.7149010874684821,50,2.1557525873184202
hounie_rcl,RegNetY400MF,L40_G40,2,0.4024767801857585,0.6852294218395532,56,1.781129781405131
hounie_rcl,RegNetY400MF,L40_G40,3,0.3715170278637771,0.6785185824046115,56,1.99450656970342
hounie_rcl,RegNetY400MF,L40_G40,4,0.4316109422492401,0.7143599660244168,44,0.9593211770057678
hounie_rh,RegNetY400MF,L40_G40,1,0.38461538461538464,0.7015000734302059,78,2.265491565068563
hounie_rh,RegNetY400MF,L40_G40,2,0.3682539682539683,0.6770418372632592,72,1.876278777917226
hounie_rh,RegNetY400MF,L40_G40,3,0.3300970873786408,0.6697089889727263,84,2.02335133155187
hounie_rh,RegNetY400MF,L40_G40,4,0.44837758112094395,0.7237540873960224,24,1.001272205511729
tralo,RegNetY400MF,L40_G40,1,0.5100286532951289,0.7430699228021734,4,3.132053061326345
