campaign,arm,dataset,model,method,cap,seed,warmup,cc_f1,cc_prec,cc_rec,f1_macro,acc,ece,sat,flips,constrained_class,group_column,config_path
b1,danits_lp,dermmnist,RegNetY400MF,danits_lp,L30_G30,3,50,0.4345,0.9403,0.2825,0.6825,0.8412,0.1149,,0.0,4,loc_group,results/track_b/b1/dermmnist/RegNetY400MF/warmup50/L30_G30/danits_lp/seed_3/config.json
b1,danits_lp,dermmnist,RegNetY400MF,danits_lp,L30_G30,4,5,0.3586,0.7761,0.2332,0.6826,0.8293,0.0755,,0.0,4,loc_group,results/track_b/b1/dermmnist/RegNetY400MF/warmup5/L30_G30/danits_lp/seed_4/config.json
b1,danits_lp,dermmnist,RegNetY400MF,danits_lp,L30_G30,4,50,0.4138,0.8955,0.2691,0.7062,0.8397,0.1108,,0.0,4,loc_group,results/track_b/b1/dermmnist/RegNetY400MF/warmup50/L30_G30/danits_lp/seed_4/config.json
b1,focal,dermmnist,RegNetY400MF,focal,L30_G30,1,5,0.3517,0.7612,0.2287,0.6252,0.8093,0.0282,,0.0,4,loc_group,results/track_b/b1/dermmnist/RegNetY400MF/warmup5/L30_G30/focal/seed_1/config.json
b1,focal,dermmnist,RegNetY400MF,focal,L30_G30,1,50,0.4069,0.8806,0.2646,0.6963,0.8352,0.059,,0.0,4,loc_group,results/track_b/b1/dermmnist/RegNetY400MF/warmup50/L30_G30/focal/seed_1/config.json
b1,focal,dermmnist,RegNetY400MF,focal,L30_G30,2,5,0.3655,0.791,0.2377,0.6706,0.8258,0.0464,,0.0,4,loc_group,results/track_b/b1/dermmnist/RegNetY400MF/warmup5/L30_G30/focal/seed_2/config.json
b1,focal,dermmnist,RegNetY400MF,focal,L30_G30,2,50,0.4,0.8657,0.2601,0.7069,0.8372,0.0502,,0.0,4,loc_group,results/track_b/b1/dermmnist/RegNetY400MF/warmup50/L30_G30/focal/seed_2/config.json
b1,focal,dermmnist,RegNetY400MF,focal,L30_G30,3,5,0.4276,0.9254,0.278,0.6708,0.8303,0.0479,,0.0,4,loc_group,results/track_b/b1/dermmnist/RegNetY400MF/warmup5/L30_G30/focal/seed_3/config.json
b1,focal,dermmnist,RegNetY400MF,focal,L30_G30,3,50,0.4138,0.8955,0.2691,0.7147,0.8442,0.0595,,0.0,4,loc_group,results/track_b/b1/dermmnist/RegNetY400MF/warmup50/L30_G30/focal/seed_3/config.json
b1,focal,dermmnist,RegNetY400MF,focal,L30_G30,4,5,0.3517,0.7612,0.2287,0.6786,0.8218,0.0281,,0.0,4,loc_group,results/track_b/b1/dermmnist/RegNetY400MF/warmup5/L30_G30/focal/seed_4/config.json
