dataset,cap,method,n_runs,n_campaigns,single_campaign,campaigns,seeds
tissuemnist,L50_G50,heuristic,27,3,False,tissue_lowwarm_validation(20); paperv2_phase3_v3(4); tablef_shortwarm(3),"1,2,3,4"
tissuemnist,L50_G50,hounie_rcl,7,3,False,paperv2_phase3_v3(3); tablef_shortwarm(3); l50fill_g0(1),"1,2,3,4"
tissuemnist,L50_G50,tralo,27,4,False,tissue_lowwarm_validation(20); paperv2_phase3_v3(3); tablef_shortwarm(3); l50fill_g0(1),"1,2,3,4"
tissuemnist,L50_G50,tralo_bounded,24,2,False,tissue_lowwarm_validation(20); paperv2_phase3_v3(4),"1,2,3,4"
tissuemnist,L60_G60,danits_lp,4,1,True,grid_l40_l60(4),"1,2,3,4"
tissuemnist,L60_G60,fioretto_ldf,3,1,True,grid_l40_l60(3),"2,3,4"
tissuemnist,L60_G60,heuristic,4,1,True,grid_l40_l60(4),"1,2,3,4"
tissuemnist,L60_G60,hounie_rcl,3,1,True,grid_l40_l60(3),"2,3,4"
tissuemnist,L60_G60,tralo,3,1,True,grid_l40_l60(3),"2,3,4"
tissuemnist,L60_G60,tralo_bounded,4,1,True,grid_l40_l60(4),"1,2,3,4"
tissuemnist,L70_G70,danits_lp,4,1,True,paper_backbones(4),"1,2,3,4"
tissuemnist,L70_G70,fioretto_ldf,4,1,True,paper_backbones(4),"1,2,3,4"
tissuemnist,L70_G70,heuristic,4,1,True,paper_backbones(4),"1,2,3,4"
tissuemnist,L70_G70,hounie_rcl,4,1,True,paper_backbones(4),"1,2,3,4"
tissuemnist,L70_G70,tralo,4,1,True,paper_backbones(4),"1,2,3,4"
tissuemnist,L70_G70,tralo_bounded,4,1,True,paper_backbones(4),"1,2,3,4"
tissuemnist,L80_G80,danits_lp,4,1,True,paper_backbones(4),"1,2,3,4"
tissuemnist,L80_G80,fioretto_ldf,4,1,True,paper_backbones(4),"1,2,3,4"
tissuemnist,L80_G80,heuristic,4,1,True,paper_backbones(4),"1,2,3,4"
tissuemnist,L80_G80,hounie_rcl,4,1,True,paper_backbones(4),"1,2,3,4"
tissuemnist,L80_G80,tralo,4,1,True,paper_backbones(4),"1,2,3,4"
tissuemnist,L80_G80,tralo_bounded,4,1,True,paper_backbones(4),"1,2,3,4"
