campaign,dataset,cap,model,seed,method,N,K,frac_shift,mu_c,mu_top1,top1_share,top1_class,n_infl_classes,dL2,cnt_before,cnt_after,cnt_shift_only,AP_before,AP_after,AP_shift_only
results/pending_runs/aider_asym,aider,L70_G30,MobileNetV3,2,hounie_rcl,1190,31,0.22760787175881558,-2.2096922023948413,3.0335681237523273,0.9894540648234963,3,1,8.069040139319936,103,4,97,0.9952585860619059,0.5728616301949628,0.994870279030564
results/pending_runs/aider_asym,aider,L70_G30,MobileNetV3,3,tralo,1190,31,0.3240021738392582,-2.2594314941494,2.421890910892577,1.0,3,1,5.8230370939969935,103,31,99,0.995734272439451,0.9220313957375023,0.994988096440347
results/pending_runs/aider_asym,aider,L70_G30,MobileNetV3,3,tralo_bounded,1190,31,0.32328096502192555,-2.2609411577723812,2.3642465667701718,1.0,3,1,5.755479609699554,103,31,99,0.995734272439451,0.9299398100887833,0.9950346904204048
results/pending_runs/aider_asym,aider,L70_G30,MobileNetV3,3,fioretto_ldf,1190,31,0.33249222254354005,-2.312366429963849,2.53991809454461,1.0,3,1,5.963427563062462,103,28,98,0.995734272439451,0.9240446898339231,0.9949421321086683
results/pending_runs/aider_asym,aider,L70_G30,MobileNetV3,3,hounie_rcl,1190,31,0.25213831539926557,-2.496419069057511,2.3335983316759714,0.9347782832619485,3,1,6.811335662701783,103,4,98,0.995734272439451,0.7897742447274876,0.9950346904204048
results/pending_runs/aider_asym,aider,L70_G30,MobileNetV3,4,tralo,1190,31,0.2421079454085065,-2.135849762684655,2.4857828146503067,1.0,3,1,6.693037474827385,101,30,96,0.9808180499733947,0.8216191168239517,0.9776744840555539
results/pending_runs/aider_asym,aider,L70_G30,MobileNetV3,4,tralo_bounded,1190,31,0.24078573909523965,-2.1575117776743977,2.49422368759268,1.0,3,1,6.7532037033301435,101,30,96,0.9808180499733947,0.816284516570593,0.97766633107266
results/pending_runs/aider_asym,aider,L70_G30,MobileNetV3,4,fioretto_ldf,1190,31,0.24183263928134432,-2.1419783235729764,2.4781227640410552,1.0,3,1,6.689821032018441,101,31,96,0.9808180499733947,0.825695497800113,0.9776744840555539
results/pending_runs/aider_asym,aider,L70_G30,MobileNetV3,4,hounie_rcl,1190,31,0.22952058989539506,-2.4910420609573434,2.8696876685622463,1.0,3,1,7.968483469984173,101,8,95,0.9808180499733947,0.5843960354353296,0.9771507220761431
results/pending_runs/aider_asym,aider,L80_G20,MobileNetV3,1,tralo,1190,20,0.31736137629670824,-2.2753327505924643,3.241826037612719,1.0,3,1,7.145755825748128,111,17,98,0.9917600917072933,0.81288331663639,0.9896812349312676
results/pending_runs/aider_asym,aider,L80_G20,MobileNetV3,1,tralo_bounded,1190,20,0.3179148920555456,-2.267453694608996,3.2430241368258534,1.0,3,1,7.134658217821794,111,17,98,0.9917600917072933,0.8151351414421246,0.9896812349312674
results/pending_runs/aider_asym,aider,L80_G20,MobileNetV3,1,fioretto_ldf,1190,20,0.31673211411211194,-2.2819222215850323,3.181676326848858,1.0,3,1,7.060527250078612,111,17,98,0.9917600917072933,0.8230655478982136,0.9898469135336074
