model,scenario,constraint_pair,local_pct,global_pct,class,class_name,precision,recall,f1,n_pred,limit,n_true,f1_macro,accuracy
ConvNeXtTiny,multi_AKIEC_NV,L50_G30,0.5,0.3,0,AKIEC,1.0,0.3076923076923077,0.47058823529411764,20,20,65,0.521711935673019,0.473290064902646
ConvNeXtTiny,multi_AKIEC_NV,L50_G30,0.5,0.3,5,NV,1.0,0.29977628635346754,0.4612736660929431,402,402,1341,0.521711935673019,0.473290064902646
ResNet18,multi_AKIEC_NV,L80_G30,0.8,0.3,0,AKIEC,0.95,0.2923076923076923,0.44705882352941173,20,20,65,0.4222647990141618,0.4463305042436346
ResNet18,multi_AKIEC_NV,L80_G30,0.8,0.3,5,NV,0.9776119402985075,0.2930648769574944,0.450946643717728,402,402,1341,0.4222647990141618,0.4463305042436346
MobileNetV3,multi_AKIEC_NV,L80_G30,0.8,0.3,0,AKIEC,1.0,0.3076923076923077,0.47058823529411764,20,20,65,0.43747657140516777,0.4558162755866201
MobileNetV3,multi_AKIEC_NV,L80_G30,0.8,0.3,5,NV,0.9950248756218906,0.29828486204325133,0.45897877223178435,402,402,1341,0.43747657140516777,0.4558162755866201
EfficientNetB0,multi_AKIEC_NV,L80_G30,0.8,0.3,0,AKIEC,0.95,0.2923076923076923,0.44705882352941173,20,20,65,0.44906087798200556,0.4618072890664004
EfficientNetB0,multi_AKIEC_NV,L80_G30,0.8,0.3,5,NV,0.9925373134328358,0.2975391498881432,0.4578313253012048,402,402,1341,0.44906087798200556,0.4618072890664004
ConvNeXtTiny,multi_AKIEC_NV,L80_G30,0.8,0.3,0,AKIEC,1.0,0.3076923076923077,0.47058823529411764,20,20,65,0.521711935673019,0.473290064902646
ConvNeXtTiny,multi_AKIEC_NV,L80_G30,0.8,0.3,5,NV,1.0,0.29977628635346754,0.4612736660929431,402,402,1341,0.521711935673019,0.473290064902646
ResNet18,multi_AKIEC_NV,L80_G50,0.8,0.5,0,AKIEC,0.875,0.4307692307692308,0.5773195876288659,32,32,65,0.5201508228258531,0.580629056415377
ResNet18,multi_AKIEC_NV,L80_G50,0.8,0.5,5,NV,0.982089552238806,0.4906785980611484,0.6544007956240676,670,670,1341,0.5201508228258531,0.580629056415377
MobileNetV3,multi_AKIEC_NV,L80_G50,0.8,0.5,0,AKIEC,0.875,0.4307692307692308,0.5773195876288659,32,32,65,0.5257721790670681,0.5876185721417874
MobileNetV3,multi_AKIEC_NV,L80_G50,0.8,0.5,5,NV,0.9895522388059701,0.49440715883668906,0.6593734460467429,670,670,1341,0.5257721790670681,0.5876185721417874
EfficientNetB0,multi_AKIEC_NV,L80_G50,0.8,0.5,0,AKIEC,0.875,0.4307692307692308,0.5773195876288659,32,32,65,0.5439275472341356,0.5981028457314029
EfficientNetB0,multi_AKIEC_NV,L80_G50,0.8,0.5,5,NV,0.9940298507462687,0.4966442953020134,0.662357036300348,670,670,1341,0.5439275472341356,0.5981028457314029
ConvNeXtTiny,multi_AKIEC_NV,L80_G50,0.8,0.5,0,AKIEC,0.875,0.4307692307692308,0.5773195876288659,32,32,65,0.613000254262964,0.6080878681977034
ConvNeXtTiny,multi_AKIEC_NV,L80_G50,0.8,0.5,5,NV,0.9970149253731343,0.4981357196122297,0.6643460964694182,670,670,1341,0.613000254262964,0.6080878681977034
ResNet18,multi_AKIEC_NV,L30_G80,0.3,0.8,0,AKIEC,0.9,0.27692307692307694,0.42352941176470593,20,52,65,0.4180333059174966,0.4453320019970045
ResNet18,multi_AKIEC_NV,L30_G80,0.3,0.8,5,NV,0.9776119402985075,0.2930648769574944,0.450946643717728,402,1073,1341,0.4180333059174966,0.4453320019970045
MobileNetV3,multi_AKIEC_NV,L30_G80,0.3,0.8,0,AKIEC,0.9,0.27692307692307694,0.42352941176470593,20,52,65,0.42965086062873015,0.45381927109335995
MobileNetV3,multi_AKIEC_NV,L30_G80,0.3,0.8,5,NV,0.9950248756218906,0.29828486204325133,0.45897877223178435,402,1073,1341,0.42965086062873015,0.45381927109335995
EfficientNetB0,multi_AKIEC_NV,L30_G80,0.3,0.8,0,AKIEC,0.95,0.2923076923076923,0.44705882352941173,20,52,65,0.451251572684956,0.46280579131303046
EfficientNetB0,multi_AKIEC_NV,L30_G80,0.3,0.8,5,NV,0.9950248756218906,0.29828486204325133,0.45897877223178435,402,1073,1341,0.451251572684956,0.46280579131303046
ConvNeXtTiny,multi_AKIEC_NV,L30_G80,0.3,0.8,0,AKIEC,0.85,0.26153846153846155,0.4,20,52,65,0.5112623486361275,0.4702945581627559
ConvNeXtTiny,multi_AKIEC_NV,L30_G80,0.3,0.8,5,NV,0.9975124378109452,0.29903057419835943,0.46012621916236374,402,1073,1341,0.5112623486361275,0.4702945581627559
ResNet18,multi_AKIEC_NV,L30_G50,0.3,0.5,0,AKIEC,0.9,0.27692307692307694,0.42352941176470593,20,32,65,0.4180333059174966,0.4453320019970045
ResNet18,multi_AKIEC_NV,L30_G50,0.3,0.5,5,NV,0.9776119402985075,0.2930648769574944,0.450946643717728,402,670,1341,0.4180333059174966,0.4453320019970045
MobileNetV3,multi_AKIEC_NV,L30_G50,0.3,0.5,0,AKIEC,0.9,0.27692307692307694,0.42352941176470593,20,32,65,0.42965086062873015,0.45381927109335995
MobileNetV3,multi_AKIEC_NV,L30_G50,0.3,0.5,5,NV,0.9950248756218906,0.29828486204325133,0.45897877223178435,402,670,1341,0.42965086062873015,0.45381927109335995
EfficientNetB0,multi_AKIEC_NV,L30_G50,0.3,0.5,0,AKIEC,0.95,0.2923076923076923,0.44705882352941173,20,32,65,0.451251572684956,0.46280579131303046
EfficientNetB0,multi_AKIEC_NV,L30_G50,0.3,0.5,5,NV,0.9950248756218906,0.29828486204325133,0.45897877223178435,402,670,1341,0.451251572684956,0.46280579131303046
ConvNeXtTiny,multi_AKIEC_NV,L30_G50,0.3,0.5,0,AKIEC,0.85,0.26153846153846155,0.4,20,32,65,0.5112623486361275,0.4702945581627559
ConvNeXtTiny,multi_AKIEC_NV,L30_G50,0.3,0.5,5,NV,0.9975124378109452,0.29903057419835943,0.46012621916236374,402,670,1341,0.5112623486361275,0.4702945581627559
ResNet18,multi_AKIEC_VASC,L20_G20,0.2,0.2,0,AKIEC,1.0,0.18461538461538463,0.3116883116883117,12,13,65,0.5840726677564392,0.8372441337993011
ResNet18,multi_AKIEC_VASC,L20_G20,0.2,0.2,6,VASC,1.0,0.17857142857142858,0.30303030303030304,5,6,28,0.5840726677564392,0.8372441337993011
MobileNetV3,multi_AKIEC_VASC,L20_G20,0.2,0.2,0,AKIEC,0.9166666666666666,0.16923076923076924,0.28571428571428575,12,13,65,0.5653783967258924,0.8312531203195207
MobileNetV3,multi_AKIEC_VASC,L20_G20,0.2,0.2,6,VASC,1.0,0.17857142857142858,0.30303030303030304,5,6,28,0.5653783967258924,0.8312531203195207
EfficientNetB0,multi_AKIEC_VASC,L20_G20,0.2,0.2,0,AKIEC,1.0,0.18461538461538463,0.3116883116883117,12,13,65,0.6047716470009525,0.854218671992012
EfficientNetB0,multi_AKIEC_VASC,L20_G20,0.2,0.2,6,VASC,1.0,0.17857142857142858,0.30303030303030304,5,6,28,0.6047716470009525,0.854218671992012
ConvNeXtTiny,multi_AKIEC_VASC,L20_G20,0.2,0.2,0,AKIEC,0.9166666666666666,0.16923076923076924,0.28571428571428575,12,13,65,0.6094494976529626,0.8587119321018473
ConvNeXtTiny,multi_AKIEC_VASC,L20_G20,0.2,0.2,6,VASC,1.0,0.17857142857142858,0.30303030303030304,5,6,28,0.6094494976529626,0.8587119321018473
ResNet18,multi_AKIEC_VASC,L30_G30,0.3,0.3,0,AKIEC,0.9,0.27692307692307694,0.42352941176470593,20,20,65,0.6243401810101287,0.8417373939091363
ResNet18,multi_AKIEC_VASC,L30_G30,0.3,0.3,6,VASC,1.0,0.2857142857142857,0.4444444444444445,8,8,28,0.6243401810101287,0.8417373939091363
MobileNetV3,multi_AKIEC_VASC,L30_G30,0.3,0.3,0,AKIEC,0.9,0.27692307692307694,0.42352941176470593,20,20,65,0.6079026768803996,0.835746380429356
MobileNetV3,multi_AKIEC_VASC,L30_G30,0.3,0.3,6,VASC,1.0,0.2857142857142857,0.4444444444444445,8,8,28,0.6079026768803996,0.835746380429356
EfficientNetB0,multi_AKIEC_VASC,L30_G30,0.3,0.3,0,AKIEC,0.95,0.2923076923076923,0.44705882352941173,20,20,65,0.6499372382953392,0.8592111832251622
EfficientNetB0,multi_AKIEC_VASC,L30_G30,0.3,0.3,6,VASC,1.0,0.2857142857142857,0.4444444444444445,8,8,28,0.6499372382953392,0.8592111832251622
ConvNeXtTiny,multi_AKIEC_VASC,L30_G30,0.3,0.3,0,AKIEC,0.85,0.26153846153846155,0.4,20,20,65,0.6510830695230422,0.8632051922116825
