dataset,model,warmup_epochs,constrained_class,constraint_tag,method,seed,acc,f1m,ccf1,ccrec,ccprec,flips,sat
octmnist,MobileNetV3,50,2,L70_G70,hounie_rcl,3,0.791,0.7844,0.6509,0.552,0.7931,15.0,1.0
octmnist,MobileNetV3,50,2,L70_G70,hounie_rcl,4,0.8,0.7931,0.6604,0.56,0.8046,17.0,1.0
octmnist,MobileNetV3,50,2,L70_G70,tralo,1,0.785,0.778,0.6509,0.552,0.7931,0.0,1.0
octmnist,MobileNetV3,50,2,L70_G70,tralo,2,0.795,0.7887,0.6745,0.572,0.8218,20.0,1.0
octmnist,MobileNetV3,50,2,L70_G70,tralo,3,0.771,0.7645,0.6132,0.52,0.7471,8.0,1.0
octmnist,MobileNetV3,50,2,L70_G70,tralo,4,0.801,0.7941,0.6604,0.56,0.8046,15.0,1.0
octmnist,MobileNetV3,50,2,L70_G70,tralo_bounded,1,0.774,0.7669,0.6321,0.536,0.7701,19.0,0.0
octmnist,MobileNetV3,50,2,L70_G70,tralo_bounded,2,0.799,0.7931,0.684,0.58,0.8333,21.0,1.0
octmnist,MobileNetV3,50,2,L70_G70,tralo_bounded,3,0.791,0.7847,0.6557,0.556,0.7989,18.0,1.0
octmnist,MobileNetV3,50,2,L70_G70,tralo_bounded,4,0.8,0.7931,0.6604,0.56,0.8046,20.0,1.0
octmnist,MobileNetV3,50,2,L80_G80,danits_lp,1,0.759,0.7563,0.7156,0.644,0.805,60.0,0.0
octmnist,MobileNetV3,50,2,L80_G80,danits_lp,2,0.71,0.6987,0.5966,0.488,0.7673,0.0,1.0
octmnist,MobileNetV3,50,2,L80_G80,danits_lp,3,0.725,0.715,0.597,0.48,0.7895,0.0,1.0
octmnist,MobileNetV3,50,2,L80_G80,danits_lp,4,0.792,0.7847,0.6619,0.552,0.8263,0.0,1.0
octmnist,MobileNetV3,50,2,L80_G80,fioretto_ldf,1,0.783,0.7787,0.6756,0.608,0.76,39.0,1.0
octmnist,MobileNetV3,50,2,L80_G80,fioretto_ldf,2,0.804,0.8,0.7111,0.64,0.8,47.0,1.0
octmnist,MobileNetV3,50,2,L80_G80,fioretto_ldf,3,0.784,0.7794,0.6489,0.584,0.73,29.0,1.0
octmnist,MobileNetV3,50,2,L80_G80,fioretto_ldf,4,0.796,0.7911,0.6667,0.6,0.75,41.0,1.0
octmnist,MobileNetV3,50,2,L80_G80,heuristic,1,0.757,0.7543,0.7111,0.64,0.8,60.0,0.0
octmnist,MobileNetV3,50,2,L80_G80,heuristic,2,0.722,0.7114,0.64,0.576,0.72,41.0,1.0
octmnist,MobileNetV3,50,2,L80_G80,heuristic,3,0.724,0.7158,0.6267,0.564,0.705,48.0,1.0
octmnist,MobileNetV3,50,2,L80_G80,heuristic,4,0.802,0.7982,0.7022,0.632,0.79,33.0,1.0
octmnist,MobileNetV3,50,2,L80_G80,hounie_rcl,1,0.783,0.7787,0.6756,0.608,0.76,39.0,1.0
octmnist,MobileNetV3,50,2,L80_G80,hounie_rcl,2,0.804,0.8,0.7111,0.64,0.8,47.0,1.0
octmnist,MobileNetV3,50,2,L80_G80,hounie_rcl,3,0.784,0.7794,0.6489,0.584,0.73,29.0,1.0
octmnist,MobileNetV3,50,2,L80_G80,hounie_rcl,4,0.796,0.7911,0.6667,0.6,0.75,41.0,1.0
octmnist,MobileNetV3,50,2,L80_G80,tralo,1,0.781,0.7767,0.6756,0.608,0.76,39.0,1.0
octmnist,MobileNetV3,50,2,L80_G80,tralo,2,0.805,0.8009,0.7111,0.64,0.8,45.0,1.0
octmnist,MobileNetV3,50,2,L80_G80,tralo,3,0.781,0.7763,0.6444,0.58,0.725,25.0,1.0
octmnist,MobileNetV3,50,2,L80_G80,tralo,4,0.801,0.7965,0.6756,0.608,0.76,38.0,1.0
octmnist,MobileNetV3,50,2,L80_G80,tralo_bounded,1,0.783,0.7787,0.6756,0.608,0.76,39.0,1.0
octmnist,MobileNetV3,50,2,L80_G80,tralo_bounded,2,0.804,0.8,0.7111,0.64,0.8,47.0,1.0
octmnist,MobileNetV3,50,2,L80_G80,tralo_bounded,3,0.784,0.7794,0.6489,0.584,0.73,29.0,1.0
octmnist,MobileNetV3,50,2,L80_G80,tralo_bounded,4,0.796,0.7911,0.6667,0.6,0.75,41.0,1.0
