dataset,seed,method,policy,accuracy,macro_f1,cc_f1,raw_feasible,task_updates,constraint_updates,joint_constraint_updates
cifar,1004,alm_0.005,upper_bound_correction,0.606,0.5969414431818028,0.38155923818410414,True,800,0,600
cifar,1004,alm_0.005,capped_first,0.619,0.6153631375701534,0.53791249423788,True,800,0,600
cifar,1004,alm_0.015,raw,0.6075,0.5979149494167197,0.3869570671397425,False,800,0,600
cifar,1004,alm_0.015,upper_bound_correction,0.607,0.597302784832781,0.3830531632358386,False,800,0,600
cifar,1004,alm_0.015,capped_first,0.6195,0.6156693920503176,0.53791249423788,False,800,0,600
cifar,1004,alm_0.05,raw,0.6045,0.5945578925645701,0.3687517575477051,True,800,0,600
cifar,1004,alm_0.05,upper_bound_correction,0.6045,0.5945578925645701,0.3687517575477051,True,800,0,600
cifar,1004,alm_0.05,capped_first,0.616,0.6121064983871886,0.530327953175078,True,800,0,600
cifar,1004,alm_0.15,raw,0.604,0.5931420763786245,0.3577260363961131,True,800,0,600
cifar,1004,alm_0.15,upper_bound_correction,0.604,0.5931420763786245,0.3577260363961131,True,800,0,600
cifar,1004,alm_0.15,capped_first,0.614,0.6088674008331391,0.4998659192347832,True,800,0,600
cifar,1004,alm_0.5,raw,0.6015,0.5887921278539943,0.3475042859243627,True,800,0,600
cifar,1004,alm_0.5,upper_bound_correction,0.6015,0.5887921278539943,0.3475042859243627,True,800,0,600
cifar,1004,alm_0.5,capped_first,0.614,0.6086521179153493,0.5145489676678315,True,800,0,600
cifar,1004,alm_1.5,raw,0.605,0.5947920577586617,0.3933446998570338,True,800,0,600
cifar,1004,alm_1.5,upper_bound_correction,0.605,0.5947920577586617,0.3933446998570338,True,800,0,600
cifar,1004,alm_1.5,capped_first,0.613,0.6077544588913538,0.5058533154939185,True,800,0,600
cifar,1004,alm_5,raw,0.6035,0.5936226439393395,0.4071143290996232,False,800,0,600
cifar,1004,alm_5,upper_bound_correction,0.602,0.592023339729531,0.3952450572303513,False,800,0,600
cifar,1004,alm_5,capped_first,0.6105,0.606063539670628,0.5151427679898928,False,800,0,600
cifar,1004,clipper,raw,0.6275,0.6245343632386833,0.6076637107771536,False,800,0,0
cifar,1004,clipper,upper_bound_correction,0.616,0.6133408601200546,0.53791249423788,False,800,0,0
cifar,1004,clipper,capped_first,0.616,0.6133408601200546,0.53791249423788,False,800,0,0
cifar,1004,tralo_0.0001,raw,0.6275,0.6247049378960499,0.5989145940711835,False,800,15,0
cifar,1004,tralo_0.0001,upper_bound_correction,0.6175,0.6145485226448718,0.5358835087306335,False,800,15,0
cifar,1004,tralo_0.0001,capped_first,0.618,0.615606624815506,0.5445791609045466,False,800,15,0
cifar,1004,tralo_0.0003,raw,0.63,0.6270889684021461,0.6058578108162955,False,800,15,0
cifar,1004,tralo_0.0003,upper_bound_correction,0.618,0.6152522692044766,0.5370692794816218,False,800,15,0
cifar,1004,tralo_0.0003,capped_first,0.618,0.6158160715091632,0.5445791609045466,False,800,15,0
cifar,1004,tralo_0.001,raw,0.6265,0.6225681507316101,0.582547064047064,False,800,15,0
cifar,1004,tralo_0.001,upper_bound_correction,0.616,0.6118798604886662,0.5099897889238703,False,800,15,0
cifar,1004,tralo_0.001,capped_first,0.6185,0.6162582351924601,0.5445791609045466,False,800,15,0
cifar,1004,tralo_0.003,raw,0.6125,0.6016491457225517,0.40508121845331146,False,800,15,0
cifar,1004,tralo_0.003,upper_bound_correction,0.607,0.5961661948475862,0.3664973914973915,False,800,15,0
cifar,1004,tralo_0.003,capped_first,0.6175,0.6141643998531249,0.5197804491493131,False,800,15,0
cifar,1004,tralo_0.01,raw,0.588,0.5637499886108421,0.11155555555555556,True,800,15,0
cifar,1004,tralo_0.01,upper_bound_correction,0.588,0.5637499886108421,0.11155555555555556,True,800,15,0
cifar,1004,tralo_0.01,capped_first,0.61,0.6055786168295549,0.47815975412048345,True,800,15,0
cifar,1004,tralo_1e-05,raw,0.628,0.6257368905173983,0.6033047731369501,False,800,15,0
cifar,1004,tralo_1e-05,upper_bound_correction,0.618,0.615606624815506,0.5445791609045466,False,800,15,0
cifar,1004,tralo_1e-05,capped_first,0.618,0.615606624815506,0.5445791609045466,False,800,15,0
cifar,1004,tralo_3e-05,raw,0.6275,0.625435989282897,0.5997685712062666,False,800,15,0
cifar,1004,tralo_3e-05,upper_bound_correction,0.618,0.615606624815506,0.5445791609045466,False,800,15,0
