ds,tight,method,n,F1m_mean,F1m_std,Acc_mean,Acc_std,ECE_mean,ECE_std,Brier_mean,Brier_std,Flips_mean,Flips_std,Sat%_mean,Sat%_std,SatEp_mean,SatEp_std,Time_mean,Time_std
dermmnist,L70_G70,tralo_bounded,4,0.785575,0.006068154579441741,0.8720749999999999,0.0021746647251166466,0.10035,0.0034317148288671422,0.2244,0.004282522621072772,9.5,3.696845502136472,0.75,0.5,56.666666666666664,0.5773502691896257,24.32035,23.416835470020285
dermmnist,L80_G80,danits_lp,4,0.766725,0.01480571398706145,0.8658250000000001,0.004732423621500227,0.101175,0.007453131332981234,0.231475,0.008200965390326508,26.0,7.874007874011811,0.0,0.0,,0.0,0.474025,0.08709214947399105
dermmnist,L80_G80,fioretto_ldf,4,0.788825,0.003407222720437671,0.872825,0.0034490336810958206,0.096575,0.002666302058407237,0.2203,0.0039378505134992905,15.0,2.943920288775949,1.0,0.0,5.0,0.816496580927726,10.42525,0.6989812610745252
dermmnist,L80_G80,heuristic,4,0.7682249999999999,0.014441231480267446,0.866575,0.00493921383757915,0.101175,0.007453131332981234,0.231475,0.008200965390326508,26.5,8.660254037844387,0.0,0.0,,0.0,0.435325,0.08671533409188174
dermmnist,L80_G80,hounie_rcl,4,0.78925,0.00423831727615259,0.873075,0.0034490336810958314,0.095525,0.0023781995991365677,0.21912500000000001,0.004321554504265027,9.0,4.08248290463863,1.0,0.0,32.25,17.44276354251241,33.6833,12.865407522500014
dermmnist,L80_G80,tralo,4,0.78915,0.00920814856526543,0.87295,0.0056935636175128885,0.097925,0.004375976081592163,0.2187,0.00536718424005238,4.5,2.3804761428476167,1.0,0.0,54.5,2.0816659994661326,20.297675,9.184346978192481
dermmnist,L80_G80,tralo_bounded,4,0.78745,0.006207790804035439,0.87295,0.004051748593714394,0.096675,0.002369774954153525,0.22005,0.0035744463440743825,12.5,1.2909944487358056,1.0,0.0,54.0,1.632993161855452,10.011825,1.2495547670403782
tissuemnist,L20_G20,danits_lp,4,0.33825,0.021197248249084904,0.4751,0.00836938866743962,0.4105,0.00863674321334919,0.900825,0.0141235913751897,117.0,59.3239692985334,0.0,0.0,,0.0,0.435025,0.10796624086568293
tissuemnist,L20_G20,fioretto_ldf,4,0.35309999999999997,0.007884161337770822,0.502725,0.005776605116040633,0.3968,0.010072073603119997,0.866,0.016837260268028575,7.75,2.5,0.75,0.5,19.333333333333332,5.033222956847166,39.63285,24.290412861113193
tissuemnist,L20_G20,heuristic,4,0.33855,0.020898883542747763,0.475225,0.008143044066359136,0.4105,0.00863674321334919,0.900825,0.0141235913751897,117.0,59.3239692985334,0.0,0.0,,0.0,0.37395,0.09944956845892627
tissuemnist,L20_G20,hounie_rcl,4,0.350525,0.006406962358767734,0.503,0.005429548784199271,0.396575,0.009354277096601311,0.8672500000000001,0.014349099855623946,7.5,4.509249752822894,1.0,0.0,78.25,20.838665984174707,80.074675,18.248887858784713
tissuemnist,L20_G20,tralo,4,0.353775,0.008634185929586348,0.50105,0.005406477596365329,0.3984,0.012675961501992667,0.8711249999999999,0.01490288003485681,4.5,5.066228051190222,1.0,0.0,69.75,4.193248541803041,38.849625,7.149049073070254
tissuemnist,L20_G20,tralo_bounded,4,0.35235,0.006006940430313362,0.502825,0.006533184522114743,0.39735,0.010711209082078456,0.86565,0.015479125728972344,7.5,4.203173404306164,1.0,0.0,69.75,4.193248541803041,36.67205,5.193087819078999
tissuemnist,L30_G30,danits_lp,4,0.345825,0.02373567989335885,0.4772,0.008654863757833897,0.4105,0.00863674321334919,0.900825,0.0141235913751897,100.0,59.3239692985334,0.0,0.0,,0.0,0.43025,0.10548192578193988
tissuemnist,L30_G30,fioretto_ldf,4,0.359975,0.0096261362965626,0.504075,0.00533689984916337,0.3936,0.012309887624724,0.860425,0.01687984498349042,10.0,4.546060565661952,1.0,0.0,16.25,3.5,27.96805,4.551009506691894
tissuemnist,L30_G30,heuristic,4,0.34609999999999996,0.024215009119689927,0.477325,0.008727494867753672,0.4105,0.00863674321334919,0.900825,0.0141235913751897,100.0,59.3239692985334,0.0,0.0,,0.0,0.3755,0.11163431372118518
tissuemnist,L30_G30,hounie_rcl,4,0.35960000000000003,0.009133454987024342,0.504075,0.005036119537898211,0.394875,0.010061270628835434,0.862375,0.014479727207375125,14.25,3.304037933599835,1.0,0.0,55.5,24.71841418861655,95.853725,52.0782275037195
tissuemnist,L30_G30,tralo,4,0.36412500000000003,0.008991245742387428,0.506675,0.005451834553615898,0.39395,0.010812492774564053,0.85805,0.012095315897762488,5.0,2.160246899469287,1.0,0.0,66.0,4.242640687119285,39.5945,22.581456430590713
tissuemnist,L30_G30,tralo_bounded,4,0.361525,0.011531514789191111,0.504075,0.005777759081166323,0.393475,0.011399524843898817,0.8599,0.016050545162080973,9.75,3.8622100754188224,0.75,0.5,64.33333333333333,3.214550253664318,73.514675,75.55908067900134
tissuemnist,L50_G50,danits_lp,4,0.355725,0.02514483048262606,0.480225,0.009982776834795686,0.4105,0.00863674321334919,0.900825,0.0141235913751897,66.5,56.9941517467655,0.25,0.5,,0.0,0.43375,0.11061797623653523
tissuemnist,L50_G50,fioretto_ldf,4,0.3699,0.012950675658049665,0.5046999999999999,0.004985980344927147,0.387575,0.011104165884928057,0.851925,0.017310762548195233,11.0,5.887840577551898,1.0,0.0,10.0,4.618802153517006,22.0934,3.1276213464335254
