dataset,sigma,tight,method,n,macro_f1,f1_constrained,f1_unconstrained_mean,pre_constrained,rec_constrained,acc,ece,brier,conf_correct,conf_incorrect,conf_gap,flips,sat
dermmnist,0.00,L70_G70,hounie_rcl,2,0.7788,0.6411,0.8017,0.7789,0.5449,0.8695,0.1067,0.2343,0.9855,0.8787,0.1069,29.5000,1.0000
dermmnist,0.00,L70_G70,tralo,2,0.7842,0.6543,0.8058,0.7949,0.5560,0.8722,0.1013,0.2272,0.9842,0.8941,0.0901,2.0000,1.0000
dermmnist,0.10,L20_G20,danits_lp,2,0.5825,0.2425,0.6392,0.7223,0.1457,0.7731,0.1783,0.3900,0.9759,0.8822,0.0937,126.5000,0.0000
dermmnist,0.10,L20_G20,fioretto_ldf,2,0.5763,0.2650,0.6283,0.7889,0.1592,0.7741,0.1963,0.4162,0.9835,0.9143,0.0691,7.0000,1.0000
dermmnist,0.10,L20_G20,heuristic,2,0.5825,0.2425,0.6392,0.7223,0.1457,0.7731,0.1783,0.3900,0.9759,0.8822,0.0937,126.5000,0.0000
dermmnist,0.10,L20_G20,hounie_rcl,2,0.5683,0.2575,0.6201,0.7667,0.1547,0.7733,0.1996,0.4257,0.9836,0.9166,0.0670,25.0000,1.0000
dermmnist,0.10,L20_G20,tralo,2,0.5729,0.2575,0.6254,0.7667,0.1547,0.7733,0.1955,0.4139,0.9845,0.9148,0.0698,0.0000,1.0000
dermmnist,0.10,L30_G30,danits_lp,2,0.5943,0.3137,0.6411,0.6791,0.2041,0.7768,0.1783,0.3900,0.9759,0.8822,0.0937,104.5000,0.0000
dermmnist,0.10,L30_G30,fioretto_ldf,2,0.5876,0.3345,0.6298,0.7239,0.2175,0.7791,0.1905,0.4022,0.9822,0.9036,0.0786,12.5000,0.5000
dermmnist,0.10,L30_G30,heuristic,2,0.5943,0.3137,0.6412,0.6791,0.2041,0.7768,0.1783,0.3900,0.9759,0.8822,0.0937,104.5000,0.0000
dermmnist,0.10,L30_G30,hounie_rcl,2,0.5712,0.3138,0.6140,0.6791,0.2040,0.7733,0.2016,0.4263,0.9845,0.9147,0.0698,42.0000,1.0000
dermmnist,0.10,L30_G30,tralo,2,0.5909,0.3310,0.6342,0.7164,0.2152,0.7801,0.1897,0.4029,0.9820,0.9143,0.0678,2.0000,1.0000
dermmnist,0.10,L50_G50,danits_lp,2,0.6053,0.3895,0.6413,0.5962,0.2893,0.7793,0.1783,0.3900,0.9759,0.8822,0.0937,63.5000,0.0000
dermmnist,0.10,L50_G50,fioretto_ldf,2,0.6058,0.4072,0.6389,0.6126,0.3049,0.7828,0.1779,0.3859,0.9782,0.8953,0.0830,17.0000,0.5000
dermmnist,0.10,L50_G50,heuristic,2,0.6053,0.3952,0.6402,0.5946,0.2960,0.7791,0.1783,0.3900,0.9759,0.8822,0.0937,66.5000,0.0000
dermmnist,0.10,L50_G50,hounie_rcl,2,0.5981,0.4012,0.6310,0.6036,0.3004,0.7778,0.1930,0.4083,0.9828,0.9029,0.0799,62.0000,1.0000
dermmnist,0.10,L50_G50,tralo,2,0.6054,0.4102,0.6380,0.6171,0.3072,0.7833,0.1757,0.3846,0.9780,0.8936,0.0844,11.0000,1.0000
dermmnist,0.10,L70_G70,danits_lp,2,0.6073,0.4004,0.6417,0.5450,0.3206,0.7778,0.1783,0.3900,0.9759,0.8822,0.0937,40.0000,0.5000
dermmnist,0.10,L70_G70,fioretto_ldf,2,0.6140,0.4459,0.6421,0.5417,0.3790,0.7835,0.1720,0.3788,0.9765,0.8858,0.0907,24.5000,1.0000
dermmnist,0.10,L70_G70,heuristic,2,0.6120,0.4380,0.6410,0.5321,0.3722,0.7781,0.1783,0.3900,0.9759,0.8822,0.0937,64.5000,0.5000
dermmnist,0.10,L70_G70,hounie_rcl,2,0.6130,0.4406,0.6417,0.5353,0.3744,0.7823,0.1772,0.3854,0.9778,0.8916,0.0862,49.5000,1.0000
dermmnist,0.10,L70_G70,tralo,2,0.6178,0.4380,0.6477,0.5321,0.3722,0.7833,0.1754,0.3800,0.9781,0.8857,0.0925,9.5000,1.0000
dermmnist,0.20,L20_G20,danits_lp,2,0.4622,0.1791,0.5093,0.5333,0.1076,0.7349,0.2146,0.4572,0.9780,0.8918,0.0862,86.0000,0.0000
dermmnist,0.20,L20_G20,fioretto_ldf,2,0.4623,0.1791,0.5095,0.5333,0.1076,0.7427,0.2220,0.4715,0.9828,0.9110,0.0718,15.0000,1.0000
dermmnist,0.20,L20_G20,heuristic,2,0.4620,0.1791,0.5092,0.5333,0.1076,0.7347,0.2146,0.4572,0.9780,0.8918,0.0862,86.0000,0.0000
dermmnist,0.20,L20_G20,hounie_rcl,2,0.4397,0.1717,0.4844,0.5111,0.1031,0.7376,0.2325,0.4888,0.9859,0.9204,0.0655,33.5000,1.0000
dermmnist,0.20,L20_G20,tralo,2,0.4560,0.1866,0.5010,0.5556,0.1121,0.7409,0.2229,0.4703,0.9836,0.9091,0.0744,3.0000,1.0000
dermmnist,0.20,L30_G30,danits_lp,2,0.4738,0.2586,0.5097,0.5597,0.1681,0.7399,0.2146,0.4572,0.9780,0.8918,0.0862,64.0000,0.0000
dermmnist,0.20,L30_G30,fioretto_ldf,2,0.4717,0.2483,0.5088,0.5373,0.1614,0.7451,0.2190,0.4647,0.9817,0.9094,0.0723,18.5000,0.5000
dermmnist,0.20,L30_G30,heuristic,2,0.4727,0.2517,0.5095,0.5448,0.1636,0.7389,0.2146,0.4572,0.9780,0.8918,0.0862,64.0000,0.0000
dermmnist,0.20,L30_G30,hounie_rcl,2,0.4668,0.2414,0.5044,0.5224,0.1569,0.7431,0.2244,0.4738,0.9834,0.9108,0.0726,42.0000,1.0000
dermmnist,0.20,L30_G30,tralo,2,0.4755,0.2518,0.5128,0.5448,0.1637,0.7454,0.2205,0.4646,0.9835,0.9081,0.0754,6.5000,1.0000
dermmnist,0.20,L50_G50,danits_lp,2,0.4854,0.3190,0.5131,0.5050,0.2332,0.7416,0.2146,0.4572,0.9780,0.8918,0.0862,28.0000,0.0000
dermmnist,0.20,L50_G50,fioretto_ldf,2,0.4854,0.3323,0.5108,0.5000,0.2489,0.7474,0.2145,0.4556,0.9807,0.9021,0.0786,22.5000,1.0000
dermmnist,0.20,L50_G50,heuristic,2,0.4869,0.3324,0.5127,0.5000,0.2489,0.7421,0.2146,0.4572,0.9780,0.8918,0.0862,36.0000,0.0000
dermmnist,0.20,L50_G50,hounie_rcl,2,0.4878,0.3353,0.5131,0.5045,0.2511,0.7484,0.2202,0.4656,0.9825,0.9087,0.0737,56.5000,1.0000
dermmnist,0.20,L50_G50,tralo,2,0.4854,0.3234,0.5124,0.4865,0.2421,0.7469,0.2157,0.4524,0.9824,0.9000,0.0824,6.5000,1.0000
dermmnist,0.20,L70_G70,danits_lp,2,0.4898,0.3627,0.5110,0.4928,0.2870,0.7421,0.2146,0.4572,0.9780,0.8918,0.0862,1.0000,0.5000
dermmnist,0.20,L70_G70,fioretto_ldf,2,0.4965,0.3879,0.5147,0.4711,0.3296,0.7479,0.2105,0.4489,0.9792,0.8946,0.0846,32.5000,1.0000
dermmnist,0.20,L70_G70,heuristic,2,0.4935,0.3931,0.5103,0.4776,0.3341,0.7431,0.2146,0.4572,0.9780,0.8918,0.0862,29.0000,0.5000
dermmnist,0.20,L70_G70,hounie_rcl,2,0.4920,0.3773,0.5111,0.4583,0.3206,0.7469,0.2126,0.4514,0.9798,0.8961,0.0837,47.5000,1.0000
dermmnist,0.20,L70_G70,tralo,2,0.4979,0.3879,0.5161,0.4711,0.3296,0.7481,0.2128,0.4505,0.9814,0.9038,0.0776,3.5000,1.0000
dermmnist,0.30,L20_G20,danits_lp,2,0.4448,0.1865,0.4879,0.5555,0.1121,0.7211,0.2298,0.4916,0.9757,0.8933,0.0824,176.0000,0.0000
dermmnist,0.30,L20_G20,fioretto_ldf,2,0.4162,0.1828,0.4550,0.5444,0.1099,0.7249,0.2447,0.5080,0.9855,0.9225,0.0630,11.0000,0.5000
dermmnist,0.30,L20_G20,heuristic,2,0.4448,0.1865,0.4879,0.5555,0.1121,0.7211,0.2298,0.4916,0.9757,0.8933,0.0824,176.0000,0.0000
dermmnist,0.30,L20_G20,hounie_rcl,2,0.3970,0.1829,0.4327,0.5444,0.1099,0.7234,0.2539,0.5265,0.9873,0.9353,0.0520,35.0000,1.0000
dermmnist,0.30,L20_G20,tralo,2,0.4102,0.1866,0.4474,0.5555,0.1121,0.7224,0.2483,0.5108,0.9884,0.9235,0.0648,1.0000,1.0000
dermmnist,0.30,L30_G30,danits_lp,2,0.4533,0.2483,0.4874,0.5373,0.1614,0.7227,0.2298,0.4916,0.9757,0.8933,0.0824,154.0000,0.0000
dermmnist,0.30,L30_G30,fioretto_ldf,2,0.4525,0.2518,0.4859,0.5448,0.1637,0.7329,0.2329,0.4929,0.9822,0.9168,0.0654,5.5000,1.0000
dermmnist,0.30,L30_G30,heuristic,2,0.4533,0.2483,0.4874,0.5373,0.1614,0.7227,0.2298,0.4916,0.9757,0.8933,0.0824,154.0000,0.0000
dermmnist,0.30,L30_G30,hounie_rcl,2,0.4175,0.2242,0.4498,0.4850,0.1457,0.7262,0.2478,0.5176,0.9854,0.9297,0.0557,48.0000,1.0000
dermmnist,0.30,L30_G30,tralo,2,0.4431,0.2483,0.4756,0.5373,0.1614,0.7297,0.2369,0.4968,0.9838,0.9163,0.0675,3.5000,1.0000
dermmnist,0.30,L50_G50,danits_lp,2,0.4671,0.3264,0.4906,0.4910,0.2444,0.7244,0.2298,0.4916,0.9757,0.8933,0.0824,110.0000,0.0000
dermmnist,0.30,L50_G50,fioretto_ldf,2,0.4725,0.3174,0.4983,0.4775,0.2377,0.7337,0.2282,0.4840,0.9806,0.9095,0.0711,22.0000,1.0000
dermmnist,0.30,L50_G50,heuristic,2,0.4671,0.3264,0.4906,0.4910,0.2444,0.7244,0.2298,0.4916,0.9757,0.8933,0.0824,110.0000,0.0000
dermmnist,0.30,L50_G50,hounie_rcl,2,0.4449,0.3114,0.4671,0.4685,0.2332,0.7299,0.2400,0.5009,0.9845,0.9161,0.0684,60.0000,1.0000
dermmnist,0.30,L50_G50,tralo,2,0.4728,0.3234,0.4977,0.4865,0.2421,0.7339,0.2323,0.4884,0.9829,0.9193,0.0637,0.5000,1.0000
