sweep,dataset,model,constraint_tag,data_dir,constrained_class,seed,tight_L_pct,tight_G_pct,is_asymmetric,sigma,tralo_macro_f1,heuristic_macro_f1,d_macro_f1,d_f1_cstr,d_f1_unc,d_acc,d_flips,d_ece,tralo_sat,heuristic_sat,tralo_path,heuristic_path
contamination_dermmnist,dermmnist,MobileNetV3,L70_G70,data/dermmnist_sigma20/slice_1,4,2,70,70,0,0.2,0.5068,0.5166,-0.00979999999999992,-0.031700000000000006,-0.0061500000000001,0.0025000000000000577,-20.0,0.0007999999999999952,1,0,results/pending_runs/contamination_dermmnist/sigma20/L70_G70/tralo/seed_2,results/pending_runs/contamination_dermmnist/sigma20/L70_G70/heuristic/seed_2
contamination_dermmnist,dermmnist,MobileNetV3,L30_G30,data/dermmnist_sigma20/slice_1,4,1,30,30,0,0.2,0.4706,0.4551,0.015500000000000014,0.013800000000000034,0.015849999999999975,0.007499999999999951,-54.0,0.002999999999999975,1,0,results/pending_runs/contamination_dermmnist/sigma20/L30_G30/tralo/seed_1,results/pending_runs/contamination_dermmnist/sigma20/L30_G30/heuristic/seed_1
contamination_dermmnist,dermmnist,MobileNetV3,L30_G30,data/dermmnist_sigma20/slice_1,4,2,30,30,0,0.2,0.4804,0.4902,-0.009800000000000031,-0.013800000000000007,-0.009116666666666662,0.005499999999999949,-61.0,0.009000000000000008,1,0,results/pending_runs/contamination_dermmnist/sigma20/L30_G30/tralo/seed_2,results/pending_runs/contamination_dermmnist/sigma20/L30_G30/heuristic/seed_2
contamination_dermmnist,dermmnist,MobileNetV3,L50_G50,data/dermmnist_sigma20/slice_1,4,1,50,50,0,0.2,0.4737,0.465,0.008699999999999986,0.011899999999999966,0.008199999999999985,0.005499999999999949,-35.0,-0.0015000000000000013,1,0,results/pending_runs/contamination_dermmnist/sigma20/L50_G50/tralo/seed_1,results/pending_runs/contamination_dermmnist/sigma20/L50_G50/heuristic/seed_1
contamination_dermmnist,dermmnist,MobileNetV3,L50_G50,data/dermmnist_sigma20/slice_1,4,2,50,50,0,0.2,0.497,0.5089,-0.011900000000000022,-0.029899999999999982,-0.008866666666666578,0.0040000000000000036,-24.0,0.003799999999999998,1,0,results/pending_runs/contamination_dermmnist/sigma20/L50_G50/tralo/seed_2,results/pending_runs/contamination_dermmnist/sigma20/L50_G50/heuristic/seed_2
contamination_dermmnist,dermmnist,MobileNetV3,L20_G20,data/dermmnist_sigma10/slice_1,4,1,20,20,0,0.1,0.5644,0.5593,0.005099999999999993,0.029900000000000038,0.0008999999999999009,-0.0024999999999999467,-191.0,0.023499999999999993,1,0,results/pending_runs/contamination_dermmnist/sigma10/L20_G20/tralo/seed_1,results/pending_runs/contamination_dermmnist/sigma10/L20_G20/heuristic/seed_1
contamination_dermmnist,dermmnist,MobileNetV3,L20_G20,data/dermmnist_sigma10/slice_1,4,2,20,20,0,0.1,0.5813,0.6057,-0.024399999999999977,0.0,-0.028416666666666646,0.0030000000000000027,-62.0,0.010899999999999993,1,0,results/pending_runs/contamination_dermmnist/sigma10/L20_G20/tralo/seed_2,results/pending_runs/contamination_dermmnist/sigma10/L20_G20/heuristic/seed_2
contamination_dermmnist,dermmnist,MobileNetV3,L70_G70,data/dermmnist_sigma10/slice_1,4,1,70,70,0,0.1,0.6161,0.5965,0.01959999999999995,-0.01050000000000001,0.02468333333333339,0.0020000000000000018,-70.0,0.0030000000000000027,1,0,results/pending_runs/contamination_dermmnist/sigma10/L70_G70/tralo/seed_1,results/pending_runs/contamination_dermmnist/sigma10/L70_G70/heuristic/seed_1
contamination_dermmnist,dermmnist,MobileNetV3,L70_G70,data/dermmnist_sigma10/slice_1,4,2,70,70,0,0.1,0.6194,0.6276,-0.008200000000000096,0.010599999999999998,-0.011266666666666758,0.008500000000000063,-40.0,-0.008800000000000002,1,1,results/pending_runs/contamination_dermmnist/sigma10/L70_G70/tralo/seed_2,results/pending_runs/contamination_dermmnist/sigma10/L70_G70/heuristic/seed_2
contamination_dermmnist,dermmnist,MobileNetV3,L30_G30,data/dermmnist_sigma10/slice_1,4,1,30,30,0,0.1,0.5877,0.5705,0.017199999999999993,0.027600000000000013,0.01536666666666664,0.0025000000000000577,-166.0,0.016699999999999993,1,0,results/pending_runs/contamination_dermmnist/sigma10/L30_G30/tralo/seed_1,results/pending_runs/contamination_dermmnist/sigma10/L30_G30/heuristic/seed_1
